no_train_inputs,max_seqs,train_size,epoch,train_loss,valid_loss,accuracy,time
38427,1,38k,0,1.386503,1.419094,0.314608,2:00:40
38427,1,38k,1,1.355587,1.318831,0.37455,2:00:18
38427,1,38k,2,1.350064,1.313308,0.372714,2:00:14
38427,1,38k,3,1.349835,1.311205,0.375037,2:00:07
38427,1,38k,4,1.346578,1.310385,0.375209,2:01:24
38427,1,38k,5,1.342823,1.306428,0.379462,2:01:31
38427,1,38k,6,1.341633,1.30361,0.381192,1:57:41
38427,1,38k,7,1.335579,1.300678,0.384047,2:00:18
38427,1,38k,8,1.331845,1.29852,0.385196,2:00:13
38427,1,38k,9,1.331979,1.298362,0.38537,2:00:09
229944,10,200k,0,1.335559,1.304623,0.382122,2:07:48
229944,10,200k,1,1.348571,1.312473,0.374216,2:06:47
229944,10,200k,2,1.357666,1.327115,0.362042,2:06:47
229944,10,200k,3,1.35821,1.321747,0.36766,2:06:55
229944,10,200k,4,1.348057,1.312103,0.373445,2:06:52
229944,10,200k,5,1.344381,1.309562,0.376501,2:06:57
229944,10,200k,6,1.338994,1.303597,0.380852,2:06:48
229944,10,200k,7,1.336977,1.299914,0.382493,2:06:53
229944,10,200k,8,1.335251,1.298483,0.384238,2:07:24
229944,10,200k,9,1.335577,1.298284,0.384416,2:07:30
6641723,class,class (6.6M),0,1.321175,1.281661,0.397914,2:51:14
6641723,class,class (6.6M),1,1.317301,1.281957,0.398357,2:50:20
6641723,class,class (6.6M),2,1.316383,1.278773,0.399731,2:50:13
6641723,class,class (6.6M),3,1.316443,1.278342,0.399693,2:49:56
6641723,class,class (6.6M),4,1.31705,1.27871,0.399619,2:49:56
6641723,class,class (6.6M),5,1.316453,1.278125,0.399916,2:49:52
6641723,class,class (6.6M),6,1.312624,1.276965,0.400366,2:49:59
6641723,class,class (6.6M),7,1.314176,1.276792,0.400544,2:49:57
1893401,100_2,2M,0,1.342751,1.309592,0.377537,2:20:34
1893401,100_2,2M,1,1.340149,1.310043,0.377297,2:19:50
1893401,100_2,2M,2,1.336107,1.297563,0.386069,2:20:12
1893401,100_2,2M,3,1.332988,1.29478,0.388208,2:20:21
1893401,100_2,2M,4,1.330873,1.293958,0.388874,2:20:45
1893401,100_2,2M,5,1.32927,1.293634,0.389439,2:20:07
1893401,100_2,2M,6,1.331182,1.292664,0.390181,2:20:12
1893401,100_2,2M,7,1.330075,1.292798,0.390137,2:20:08
1893401,100_2,2M,8,1.328949,1.293177,0.389917,2:20:11
1893401,100_2,2M,9,1.329672,1.291544,0.390748,2:20:08
1893401,100_2,2M,10,1.326559,1.290815,0.391612,2:20:17
1893401,100_2,2M,11,1.326499,1.290184,0.392,2:20:26
1893401,100_2,2M,12,1.325225,1.290096,0.391995,2:20:25
18127471,order_2,order (18M),0,1.354748,1.312954,0.370783,7:32:57
18127471,order_2,order (18M),1,1.351083,1.306683,0.375854,7:33:44
18127471,order_2,order (18M),2,1.342991,1.295866,0.384737,7:31:59
18127471,order_2,order (18M),3,1.338362,1.292679,0.388101,7:31:03
18127471,order_2,order (18M),4,1.337929,1.292651,0.388719,7:33:10
18127471,order_2,order (18M),5,1.333876,1.287255,0.392463,7:31:43
10452000,500_2,10M,0,1.384245,1.344017,0.351528,5:57:54
10452000,500_2,10M,1,1.339709,1.300182,0.383882,5:59:03
10452000,500_2,10M,2,1.333184,1.295103,0.387414,5:56:50
10452000,500_2,10M,3,1.331151,1.291747,0.389122,5:58:46
10452000,500_2,10M,4,1.330861,1.292882,0.389573,5:58:29
10452000,500_2,10M,5,1.327612,1.291353,0.391309,5:58:07
10452000,500_2,10M,6,1.326866,1.287282,0.393189,5:58:42
10452000,500_2,10M,7,1.324062,1.286931,0.393395,5:59:05
