,t-SNE1,t-SNE2,metaseek_env_package
0,-5.5494246,-7.616396,host-associated
1,-5.0026555,9.752756,host-associated
2,-8.164938,-4.649411,host-associated
3,-5.282286,-7.057932,host-associated
4,-7.6605625,-6.2376423,host-associated
5,-3.8989685,7.981344,host-associated
6,6.4810705,-5.8120565,host-associated
7,-0.80986446,9.188298,host-associated
8,-1.523183,7.62306,host-associated
9,-7.805957,-5.8476086,host-associated
10,-0.669047,8.283923,host-associated
11,-1.8486081,6.9688597,host-associated
12,-5.321789,-6.458337,host-associated
13,-1.4372368,3.628144,host-associated
14,-1.6914457,-6.2854075,host-associated
15,-5.1279144,4.5641613,host-associated
16,-0.86676097,8.524736,host-associated
17,-1.9868176,4.9356894,host-associated
18,-3.1168249,3.9610147,host-associated
19,8.02792,-3.2954702,host-associated
20,-0.8017088,-6.342493,host-associated
21,-0.796984,9.039468,host-associated
22,-0.71009994,9.4240055,host-associated
23,-1.6704768,-3.876309,host-associated
24,-0.74914014,8.935494,host-associated
25,-0.95131874,8.056249,host-associated
26,7.301564,-5.4798675,host-associated
27,-2.4810047,-4.842385,host-associated
28,-1.4729418,10.200114,host-associated
29,-1.3724315,10.025147,host-associated
30,2.6022744,0.9193596,host-associated
31,-1.6150641,2.0769477,host-associated
32,-4.8634095,9.039221,host-associated
33,4.5090775,-5.2016344,host-associated
34,-0.65166515,7.820294,host-associated
35,-1.3660185,10.113644,host-associated
36,-2.7260587,6.638009,host-associated
37,-1.7848948,3.2609687,host-associated
38,-0.7995856,8.962388,host-associated
39,-1.3221694,10.194084,host-associated
40,-1.8223153,1.7839112,host-associated
41,-1.2695552,9.775667,host-associated
42,-1.9332176,-1.7064054,host-associated
43,-3.4611144,7.357383,host-associated
44,-0.8259556,8.195251,host-associated
45,-1.8467904,-6.264731,host-associated
46,-4.8903193,9.556423,host-associated
47,0.08658046,1.1702982,host-associated
48,-1.6116239,-7.8796654,host-associated
49,-1.3872375,9.92904,host-associated
50,-5.256542,4.6730366,host-associated
51,-5.0597987,8.560501,host-associated
52,-4.9202657,4.8115096,host-associated
53,5.8397675,-5.0187716,host-associated
54,-3.3503888,7.84339,host-associated
55,-1.4508559,3.696936,host-associated
56,2.9763021,-1.4338225,host-associated
57,-2.5744057,-8.139995,host-associated
58,-5.0684505,5.5667925,host-associated
59,7.141157,-5.6017866,host-associated
60,-1.4951752,-8.367849,host-associated
61,1.3211968,1.5956931,host-associated
62,-1.4703667,-7.035797,host-associated
63,-3.3838394,6.4768066,host-associated
64,-3.8352146,6.0034447,host-associated
65,-1.2940065,10.102935,host-associated
66,-0.8150579,9.155278,host-associated
67,6.2550178,-5.8900228,host-associated
68,-1.6918242,-8.532693,host-associated
69,-5.045746,9.6580715,host-associated
70,-2.9846718,6.7873335,host-associated
71,-3.7986746,8.330516,host-associated
72,-0.41963333,-5.998464,host-associated
73,5.495467,-6.239409,host-associated
74,-1.3459882,7.59041,host-associated
75,-2.8065438,4.1284375,host-associated
76,-3.660952,5.3293643,host-associated
77,-1.5630955,-8.560997,host-associated
78,-3.988992,8.018203,host-associated
79,-1.2301922,9.760135,host-associated
80,4.6350126,-0.09779602,host-associated
81,-6.332619,-5.195829,host-associated
82,-0.6464847,8.760668,host-associated
83,-2.6216185,-6.1974187,host-associated
84,-1.5711166,10.33171,host-associated
85,-1.2813911,7.9637723,host-associated
86,-4.2235928,2.8254304,host-associated
87,-5.0308013,4.594017,host-associated
88,-1.4485079,6.797596,host-associated
89,-2.5779643,-6.0765696,host-associated
90,-1.3265996,8.151704,host-associated
91,-1.6286918,-7.18978,host-associated
92,-2.5202491,-7.761272,host-associated
93,-5.087496,4.5515614,host-associated
94,-1.2429534,9.50971,host-associated
95,-3.3837867,7.731718,host-associated
96,-0.7846786,7.5265946,host-associated
97,-5.184236,9.594801,host-associated
98,-3.3930178,7.4057994,host-associated
99,-0.87497354,9.155163,host-associated
100,8.559858,-2.750014,host-associated
101,-4.84248,9.033627,host-associated
102,-1.5105544,10.3417015,host-associated
103,-3.8414373,7.8619385,host-associated
104,-1.4723767,3.678655,host-associated
105,-0.8982382,7.834919,host-associated
106,7.1572847,-6.162074,host-associated
107,-3.056866,7.2379947,host-associated
108,-2.5445957,4.9578648,host-associated
109,-6.313168,-7.130627,host-associated
110,-6.1562347,-7.8241763,host-associated
111,-0.7051398,8.260244,host-associated
112,-3.7124257,1.1240016,host-associated
113,-4.017932,8.117086,host-associated
114,0.05588617,8.706833,host-associated
115,-0.6250229,8.174622,host-associated
116,-2.4474285,-8.114618,host-associated
117,-3.3034885,7.7231913,host-associated
118,-0.84150887,9.626687,host-associated
119,-3.4070551,7.163059,host-associated
120,-6.0754123,-7.3716965,host-associated
121,-0.8952009,8.11733,host-associated
122,5.4328704,-5.7672677,host-associated
123,-3.9834461,7.9397917,host-associated
124,-3.6207874,7.3752575,host-associated
125,-1.4535267,10.348652,host-associated
126,-1.7157342,9.739726,host-associated
127,-1.4227457,-8.496424,host-associated
