ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.2531660199165344
ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.2531660199165344
1,1,4,576,1.0,0.1,(0.8, 0.7),56,100,0.002,1024,0.2564106583595276
1,1,4,576,1.0,0.1,(0.8, 0.7),56,100,0.002,1024,0.2564106583595276
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,125,0.01,512,0.32646048069000244
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,125,0.01,512,0.32646048069000244
1,1,4,1152,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.2537950873374939
1,1,4,1152,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.2537950873374939
1,1,4,576,1.0,0.001,(0.8, 0.7),128,75,0.01,1024,0.25309547781944275
1,1,4,576,1.0,0.001,(0.8, 0.7),128,75,0.01,1024,0.25309547781944275
1,1,3,576,1.0,0.1,(0.98, 0.9),56,75,0.01,512,0.3315655291080475
1,1,3,576,1.0,0.1,(0.98, 0.9),56,75,0.01,512,0.3315655291080475
1,1,2,576,0.1,0.01,(0.9, 0.8),56,100,0.002,512,0.3175717890262604
1,1,2,576,0.1,0.01,(0.9, 0.8),56,100,0.002,512,0.3175717890262604
1,1,3,1152,1.0,0.01,(0.8, 0.7),128,125,0.01,512,0.2531660199165344
1,1,3,1152,1.0,0.01,(0.8, 0.7),128,125,0.01,512,0.2531660199165344
1,1,2,576,0.1,0.01,(0.98, 0.9),104,100,0.002,1024,0.3071821331977844
1,1,2,576,0.1,0.01,(0.98, 0.9),104,100,0.002,1024,0.3071821331977844
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,100,0.005,512,0.3309291899204254
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,100,0.005,512,0.3309291899204254
1,1,4,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.253167986869812
1,1,4,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.253167986869812
1,1,4,1152,0.1,0.1,(0.9, 0.8),128,125,0.01,512,0.2531660199165344
1,1,4,1152,0.1,0.1,(0.9, 0.8),128,125,0.01,512,0.2531660199165344
1,1,4,576,1.0,0.001,(0.98, 0.9),56,75,0.01,512,0.25305187702178955
1,1,4,576,1.0,0.001,(0.98, 0.9),56,75,0.01,512,0.25305187702178955
1,1,2,1152,1.0,0.01,(0.9, 0.8),104,125,0.005,1024,0.30354154109954834
1,1,2,1152,1.0,0.01,(0.9, 0.8),104,125,0.005,1024,0.30354154109954834
1,1,3,1152,0.1,0.001,(0.8, 0.7),104,75,0.005,512,0.2531234920024872
1,1,3,1152,0.1,0.001,(0.8, 0.7),104,75,0.005,512,0.2531234920024872
1,1,4,1152,1.0,0.001,(0.9, 0.8),128,100,0.005,1024,0.24144431948661804
1,1,4,1152,1.0,0.001,(0.9, 0.8),128,100,0.005,1024,0.24144431948661804
1,1,4,576,0.1,0.1,(0.98, 0.9),104,75,0.002,512,0.3024253845214844
1,1,4,576,0.1,0.1,(0.98, 0.9),104,75,0.002,512,0.3024253845214844
1,1,2,576,0.1,0.01,(0.8, 0.7),104,100,0.005,1024,0.302853524684906
1,1,2,576,0.1,0.01,(0.8, 0.7),104,100,0.005,1024,0.302853524684906
1,1,4,1152,0.1,0.1,(0.98, 0.9),56,100,0.002,1024,0.25694483518600464
1,1,4,1152,0.1,0.1,(0.98, 0.9),56,100,0.002,1024,0.25694483518600464
1,1,4,576,0.1,0.001,(0.9, 0.8),104,100,0.002,512,0.29963624477386475
1,1,4,576,0.1,0.001,(0.9, 0.8),104,100,0.002,512,0.29963624477386475
1,1,3,576,1.0,0.01,(0.9, 0.8),128,75,0.01,1024,0.2534926235675812
1,1,3,576,1.0,0.01,(0.9, 0.8),128,75,0.01,1024,0.2534926235675812
1,1,3,1152,1.0,0.001,(0.8, 0.7),56,100,0.01,1024,0.25313282012939453
1,1,3,1152,1.0,0.001,(0.8, 0.7),56,100,0.01,1024,0.25313282012939453
1,1,2,576,0.1,0.001,(0.9, 0.8),56,100,0.002,1024,0.29423338174819946
1,1,2,576,0.1,0.001,(0.9, 0.8),56,100,0.002,1024,0.29423338174819946
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,125,0.005,512,0.2880273759365082
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,125,0.005,512,0.2880273759365082
1,1,2,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.32746535539627075
1,1,2,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.32746535539627075
1,1,3,576,0.1,0.01,(0.98, 0.9),56,75,0.01,1024,0.31029799580574036
1,1,3,576,0.1,0.01,(0.98, 0.9),56,75,0.01,1024,0.31029799580574036
1,1,3,576,0.1,0.1,(0.8, 0.7),56,100,0.01,1024,0.2531508803367615
1,1,3,576,0.1,0.1,(0.8, 0.7),56,100,0.01,1024,0.2531508803367615
1,1,3,1152,0.1,0.1,(0.98, 0.9),128,75,0.005,512,0.2531455457210541
1,1,3,1152,0.1,0.1,(0.98, 0.9),128,75,0.005,512,0.2531455457210541
1,1,3,1152,1.0,0.01,(0.98, 0.9),56,125,0.005,1024,0.274524450302124
1,1,3,1152,1.0,0.01,(0.98, 0.9),56,125,0.005,1024,0.274524450302124
1,1,3,576,0.1,0.001,(0.9, 0.8),104,75,0.002,512,0.3198617696762085
1,1,3,576,0.1,0.001,(0.9, 0.8),104,75,0.002,512,0.3198617696762085
1,1,4,1152,0.1,0.001,(0.9, 0.8),128,100,0.002,1024,0.2531508803367615
