ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,3,1152,0.1,0.01,(0.98, 0.9),104,100,0.01,512,0.29136717319488525
1,1,4,576,1.0,0.1,(0.8, 0.7),56,100,0.002,1024,0.24979296326637268
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,125,0.01,512,0.33383482694625854
1,1,4,1152,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.21024088561534882
1,1,4,576,1.0,0.001,(0.8, 0.7),128,75,0.01,1024,0.20924913883209229
1,1,3,576,1.0,0.1,(0.98, 0.9),56,75,0.01,512,0.3394574820995331
1,1,2,576,0.1,0.01,(0.9, 0.8),56,100,0.002,512,0.3195008337497711
1,1,3,1152,1.0,0.01,(0.8, 0.7),128,125,0.01,512,0.20733705163002014
1,1,2,576,0.1,0.01,(0.98, 0.9),104,100,0.002,1024,0.3078085780143738
1,1,2,1152,0.1,0.01,(0.9, 0.8),128,100,0.005,512,0.34838759899139404
1,1,4,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.20931856334209442
1,1,4,1152,0.1,0.1,(0.9, 0.8),128,125,0.01,512,0.20733705163002014
1,1,4,576,1.0,0.001,(0.98, 0.9),56,75,0.01,512,0.3240906894207001
1,1,2,1152,1.0,0.01,(0.9, 0.8),104,125,0.005,1024,0.2984062731266022
1,1,3,1152,0.1,0.001,(0.8, 0.7),104,75,0.005,512,0.20722438395023346
1,1,4,1152,1.0,0.001,(0.9, 0.8),128,100,0.005,1024,0.2073691338300705
1,1,4,576,0.1,0.1,(0.98, 0.9),104,75,0.002,512,0.33552733063697815
1,1,2,576,0.1,0.01,(0.8, 0.7),104,100,0.005,1024,0.31062889099121094
1,1,4,1152,0.1,0.1,(0.98, 0.9),56,100,0.002,1024,0.29762107133865356
1,1,4,576,0.1,0.001,(0.9, 0.8),104,100,0.002,512,0.31490883231163025
1,1,3,576,1.0,0.01,(0.9, 0.8),128,75,0.01,1024,0.32027342915534973
1,1,3,1152,1.0,0.001,(0.8, 0.7),56,100,0.01,1024,0.2073691338300705
1,1,2,576,0.1,0.001,(0.9, 0.8),56,100,0.002,1024,0.3111347556114197
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,125,0.005,512,0.31085270643234253
1,1,2,576,0.1,0.01,(0.98, 0.9),128,100,0.01,512,0.3443294167518616
1,1,3,576,0.1,0.01,(0.98, 0.9),56,75,0.01,1024,0.3262760639190674
1,1,3,576,0.1,0.1,(0.8, 0.7),56,100,0.01,1024,0.20737500488758087
1,1,3,1152,0.1,0.1,(0.98, 0.9),128,75,0.005,512,0.35104385018348694
1,1,3,1152,1.0,0.01,(0.98, 0.9),56,125,0.005,1024,0.2883945405483246
1,1,3,576,0.1,0.001,(0.9, 0.8),104,75,0.002,512,0.34675130248069763
1,1,4,1152,0.1,0.001,(0.9, 0.8),128,100,0.002,1024,0.22175781428813934
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,75,0.005,1024,0.20763671398162842
1,1,2,576,1.0,0.1,(0.98, 0.9),104,125,0.01,512,0.31611162424087524
1,1,4,1152,0.1,0.01,(0.8, 0.7),128,100,0.01,512,0.2169053852558136
1,1,2,1152,1.0,0.001,(0.98, 0.9),128,75,0.005,512,0.3438086211681366
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,100,0.01,512,0.20931856334209442
1,1,4,576,0.1,0.1,(0.9, 0.8),104,75,0.01,1024,0.20743924379348755
1,1,2,576,1.0,0.1,(0.98, 0.9),104,125,0.01,1024,0.26393556594848633
1,1,2,576,1.0,0.1,(0.9, 0.8),104,75,0.002,1024,0.3085915744304657
1,1,3,1152,1.0,0.001,(0.9, 0.8),56,75,0.01,512,0.3308463394641876
1,1,4,1152,1.0,0.001,(0.98, 0.9),128,125,0.002,512,0.3111339211463928
1,1,4,576,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.30921873450279236
1,1,3,1152,0.1,0.001,(0.98, 0.9),56,75,0.002,1024,0.2995269000530243
1,1,3,1152,0.1,0.01,(0.9, 0.8),104,125,0.01,1024,0.20916017889976501
1,1,4,576,1.0,0.001,(0.8, 0.7),56,125,0.002,1024,0.28929299116134644
1,1,4,1152,0.1,0.1,(0.8, 0.7),128,100,0.01,512,0.20726127922534943
1,1,3,576,1.0,0.01,(0.9, 0.8),56,125,0.01,512,0.33007141947746277
1,1,3,576,0.1,0.001,(0.98, 0.9),56,75,0.01,1024,0.3336068093776703
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.31647351384162903
1,1,4,1152,1.0,0.01,(0.98, 0.9),128,125,0.002,1024,0.2970527410507202
1,1,4,1152,1.0,0.01,(0.98, 0.9),104,75,0.002,512,0.33326172828674316
1,1,4,1152,0.1,0.1,(0.8, 0.7),56,100,0.002,512,0.20722439885139465
1,1,4,576,1.0,0.01,(0.9, 0.8),128,125,0.005,1024,0.20924024283885956
1,1,2,1152,0.1,0.001,(0.8, 0.7),56,100,0.002,1024,0.30244916677474976
1,1,4,576,0.1,0.1,(0.9, 0.8),128,100,0.01,1024,0.2073691338300705
1,1,4,1152,0.1,0.1,(0.8, 0.7),104,125,0.01,1024,0.2875586152076721
1,1,3,1152,1.0,0.1,(0.98, 0.9),128,125,0.01,1024,0.27119338512420654
1,1,2,1152,0.1,0.001,(0.9, 0.8),128,125,0.01,512,0.3444129526615143
1,1,2,1152,1.0,0.001,(0.9, 0.8),56,125,0.01,512,0.3389129638671875
1,1,2,576,1.0,0.001,(0.9, 0.8),128,125,0.005,512,0.33883926272392273
1,1,2,1152,1.0,0.001,(0.8, 0.7),104,100,0.01,512,0.3416232764720917
1,1,3,1152,0.1,0.1,(0.8, 0.7),56,75,0.002,1024,0.24190755188465118
1,1,4,576,1.0,0.1,(0.98, 0.9),104,125,0.01,512,0.20732365548610687
1,1,4,1152,0.1,0.01,(0.9, 0.8),104,100,0.002,512,0.20931856334209442
1,1,3,1152,0.1,0.01,(0.9, 0.8),56,75,0.005,512,0.22128254175186157
1,1,2,576,0.1,0.01,(0.8, 0.7),128,100,0.005,512,0.3462022542953491
1,1,3,576,0.1,0.001,(0.98, 0.9),104,100,0.005,512,0.3357096314430237
1,1,2,576,0.1,0.001,(0.8, 0.7),128,100,0.01,512,0.3479882478713989
1,1,2,576,1.0,0.001,(0.8, 0.7),128,75,0.002,1024,0.3119184076786041
1,1,4,576,1.0,0.001,(0.98, 0.9),56,125,0.01,1024,0.20916017889976501
1,1,3,1152,1.0,0.1,(0.8, 0.7),56,125,0.005,1024,0.28827735781669617
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.002,1024,0.3090212941169739
1,1,2,576,0.1,0.1,(0.9, 0.8),104,75,0.005,1024,0.31307727098464966
1,1,2,1152,1.0,0.1,(0.98, 0.9),128,100,0.005,512,0.34180986881256104
1,1,3,1152,1.0,0.01,(0.98, 0.9),128,100,0.002,1024,0.3089609146118164
1,1,3,576,0.1,0.1,(0.8, 0.7),128,75,0.005,512,0.34995225071907043
1,1,3,1152,1.0,0.001,(0.98, 0.9),128,100,0.002,512,0.32527127861976624
1,1,3,1152,0.1,0.1,(0.8, 0.7),128,75,0.01,512,0.2071961760520935
1,1,2,1152,0.1,0.1,(0.8, 0.7),104,125,0.005,1024,0.24529102444648743
1,1,2,1152,1.0,0.01,(0.9, 0.8),56,100,0.01,1024,0.30979296565055847
1,1,3,576,1.0,0.1,(0.9, 0.8),104,100,0.005,1024,0.3130136728286743
1,1,3,1152,1.0,0.1,(0.8, 0.7),128,125,0.005,512,0.20733705163002014
