ksize,stride,drop_mult,valid_loss1,valid_loss2,acc1,acc2
1,1,0.1,1.345,1.331,0.357,0.368
1,1,0.2,1.335,1.326,0.365,0.37
1,1,0.3,1.338,1.328,0.363,0.369
1,1,0.5,1.342,1.332,0.359,0.367
1,3,0.1,1.337,1.327,0.363,0.369
1,3,0.2,1.341,1.33,0.36,0.368
1,3,0.3,1.349,1.332,0.353,0.367
1,3,0.5,1.34,1.33,0.361,0.368
3,1,0.1,1.369,1.355,0.355,0.365
3,1,0.2,1.363,1.352,0.358,0.367
3,1,0.3,1.374,1.355,0.351,0.365
3,1,0.5,1.37,1.357,0.354,0.363
3,3,0.1,3.916,3.89,0.058,0.063
3,3,0.2,3.916,3.889,0.059,0.064
3,3,0.3,3.915,3.892,0.058,0.063
3,3,0.5,3.915,3.894,0.058,0.062
6,1,0.1,1.441,1.399,0.331,0.359
6,1,0.2,1.441,1.398,0.33,0.36
6,1,0.3,1.553,1.4,0.323,0.358
6,1,0.5,1.454,1.401,0.323,0.358
6,3,0.1,4.091,4.019,0.051,0.061
6,3,0.2,4.098,4.02,0.05,0.061
6,3,0.3,4.089,4.027,0.051,0.058
6,3,0.5,4.086,4.027,0.051,0.058
9,1,0.1,2.277,1.586,0.286,0.327
