epoch,train_loss,valid_loss,accuracy,time
0,1.356371,1.357674,0.355077,05:08
1,1.335515,1.342135,0.361872,05:09
2,1.333664,1.338218,0.362358,05:08
3,1.333642,1.335295,0.364605,05:08
4,1.333996,1.335563,0.365417,05:10
5,1.332809,1.334221,0.366609,05:10
6,1.331520,1.333570,0.366581,05:08
7,1.330596,1.331577,0.368440,05:10
8,1.327641,1.330166,0.369362,05:09
9,1.325098,1.327846,0.370885,05:08
10,1.323023,1.326041,0.371937,05:09
11,1.317556,1.325059,0.373021,05:09
12,1.316991,1.322854,0.373863,05:09
13,1.311077,1.321516,0.374502,05:10
14,1.309417,1.321417,0.374526,05:10
15,1.304308,1.321409,0.375092,05:09
16,1.296807,1.321472,0.374633,05:09
17,1.297281,1.322699,0.374420,05:10
18,1.292451,1.323135,0.374059,05:10
19,1.294301,1.323355,0.374039,05:08
epoch,train_loss,valid_loss,accuracy,time
0,1.357919,1.357470,0.355077,05:08
1,1.336452,1.341997,0.361872,05:09
2,1.332333,1.338358,0.362358,05:08
3,1.332911,1.335433,0.364605,05:08
4,1.334353,1.335456,0.365417,05:10
5,1.333531,1.334490,0.366609,05:10
6,1.332753,1.333572,0.366581,05:08
7,1.328503,1.331983,0.368440,05:09
8,1.326446,1.330261,0.369362,05:09
9,1.326163,1.328421,0.370885,05:08
10,1.319612,1.326761,0.371937,05:09
11,1.318225,1.325770,0.373021,05:09
12,1.316983,1.323985,0.373863,05:09
13,1.313799,1.322645,0.374502,05:10
14,1.309364,1.322841,0.374526,05:10
15,1.304959,1.322776,0.375092,05:09
16,1.302689,1.323127,0.374633,05:10
17,1.295538,1.324109,0.374420,05:10
18,1.295792,1.324786,0.374059,05:10
19,1.296039,1.324905,0.374039,05:08
