epoch,train_loss,valid_loss,accuracy,time
0,5.147263,#na#,00:09
epoch,train_loss,valid_loss,accuracy,time
0,1.372594,1.363370,0.358403,09:08
1,1.357562,1.351835,0.366994,09:08
epoch,train_loss,valid_loss,accuracy,time
0,5.828142,#na#,00:15
epoch,train_loss,valid_loss,accuracy,time
0,1.377835,1.375853,0.360031,07:55
1,1.364919,1.359137,0.364185,07:54
2,1.359020,1.354232,0.367500,07:54
3,1.360093,1.353726,0.367546,07:54
4,1.362497,1.357754,0.363797,07:54
5,1.365137,1.359891,0.363455,07:54
6,1.366577,1.358794,0.362501,07:53
7,1.368425,1.359684,0.361813,07:53
8,1.364624,1.358355,0.362227,07:53
9,1.360458,1.357123,0.363660,07:53
10,1.356616,1.354934,0.365391,07:53
11,1.360517,1.354473,0.366048,07:53
12,1.355976,1.351409,0.368055,07:54
13,1.353860,1.349848,0.369468,07:54
14,1.350230,1.348193,0.370709,07:53
15,1.348854,1.346864,0.371508,07:53
16,1.349285,1.345485,0.372656,07:53
17,1.344567,1.344782,0.372999,07:53
18,1.342864,1.344368,0.373282,07:53
19,1.342717,1.344340,0.373355,07:53
epoch,train_loss,valid_loss,accuracy,time
0,6.313153,#na#,00:14
epoch,train_loss,valid_loss,accuracy,time
0,1.341716,1.344731,0.373124,07:53
1,1.348278,1.345464,0.372635,07:53
2,1.349486,1.347475,0.371298,07:53
3,1.350072,1.350231,0.369313,07:53
4,1.354530,1.350018,0.369440,07:53
5,1.356873,1.353767,0.366050,07:53
6,1.353788,1.349663,0.369678,07:53
7,1.352453,1.349187,0.370370,07:53
8,1.349238,1.348256,0.370871,07:53
9,1.350078,1.348186,0.370618,07:53
10,1.348531,1.345387,0.372685,07:53
11,1.345146,1.343792,0.373741,07:53
12,1.341983,1.342052,0.375129,07:53
13,1.342909,1.340252,0.376237,07:53
14,1.335142,1.338662,0.377274,07:53
15,1.333234,1.337589,0.377707,07:53
16,1.328429,1.337199,0.378076,07:53
17,1.328757,1.336860,0.378174,07:53
18,1.326043,1.337092,0.378259,07:53
19,1.327145,1.337217,0.378117,07:53
