epoch,train_loss,valid_loss,accuracy,time
0,3.063715,#na#,00:26
epoch,train_loss,valid_loss,accuracy,time
0,1.384245,1.344017,0.351528,5:57:54
epoch,train_loss,valid_loss,accuracy,time
0,1.384629,1.345780,0.351528,5:57:56
epoch,train_loss,valid_loss,accuracy,time
0,1.339709,1.300182,0.383882,5:59:03
1,1.333184,1.295103,0.387414,5:56:50
2,1.331151,1.291747,0.389122,5:58:46
epoch,train_loss,valid_loss,accuracy,time
0,1.337379,1.302196,0.383882,5:59:02
1,1.333617,1.297225,0.387414,5:56:51
2,1.328600,1.293901,0.389122,5:58:45
epoch,train_loss,valid_loss,accuracy,time
0,1.330861,1.292882,0.389573,5:58:29
1,1.327612,1.291353,0.391309,5:58:07
2,1.326866,1.287282,0.393189,5:58:42
3,1.324062,1.286931,0.393395,5:59:05
epoch,train_loss,valid_loss,accuracy,time
0,1.332487,1.295039,0.389573,5:58:27
1,1.329561,1.293504,0.391309,5:58:05
2,1.324909,1.289359,0.393189,5:58:39
3,1.325889,1.289068,0.393395,5:59:04
