epoch,train_loss,valid_loss,accuracy,time
0,1.418131,#na#,00:20
epoch,train_loss,valid_loss,accuracy,time
0,1.406094,#na#,00:20
epoch,train_loss,valid_loss,accuracy,time
0,1.287142,1.262217,0.408672,2:58:13
1,1.288124,1.266890,0.406562,2:58:16
2,1.290874,1.268396,0.405456,2:58:14
3,1.299748,1.270252,0.404591,2:57:44
4,1.298281,1.268202,0.405528,2:58:25
5,1.299697,1.268583,0.405199,2:57:41
6,1.297356,1.267015,0.406076,2:57:08
7,1.298688,1.267037,0.405823,2:56:40
8,1.290181,1.265514,0.406721,2:57:44
9,1.289682,1.264543,0.407192,2:59:58
10,1.290104,1.262895,0.407976,3:00:51
11,1.287725,1.261994,0.408789,3:00:30
12,1.280575,1.260815,0.409404,2:57:41
13,1.282516,1.259784,0.409907,2:58:06
14,1.278600,1.259747,0.409912,2:59:06
epoch,train_loss,valid_loss,accuracy,time
0,1.280735,1.264701,0.408672,2:58:14
1,1.288602,1.269343,0.406562,2:58:16
2,1.295741,1.270910,0.405456,2:58:14
3,1.300151,1.272794,0.404591,2:57:44
4,1.299994,1.270752,0.405528,2:58:26
5,1.296144,1.271123,0.405199,2:57:39
6,1.295474,1.269580,0.406076,2:57:08
7,1.292354,1.269550,0.405823,2:56:41
8,1.291445,1.268062,0.406721,2:57:43
9,1.290101,1.267059,0.407192,2:59:59
10,1.288057,1.265366,0.407976,3:00:49
11,1.283695,1.264464,0.408789,3:00:30
12,1.282503,1.263250,0.409404,2:57:39
13,1.280191,1.262229,0.409907,2:58:03
14,1.282842,1.262193,0.409912,2:59:03
