ksize,stride,n_layers,n_hid,drop_mult,wd,moms,emb_sz,bptt,lrate,bs,accuracy
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",128,100,0.005,1024,0.25249138474464417
1,1,2,576,1.0,0.01,"(0.8, 0.7)",128,100,0.01,512,0.3571041524410248
1,1,3,576,1.0,0.01,"(0.8, 0.7)",104,125,0.002,1024,0.3131300210952759
1,1,4,1152,0.1,0.01,"(0.9, 0.8)",56,125,0.002,1024,0.2493668794631958
1,1,4,576,1.0,0.1,"(0.8, 0.7)",104,100,0.005,1024,0.256622314453125
1,1,4,576,0.1,0.0001,"(0.98, 0.9)",56,150,0.01,1024,0.2558266818523407
1,1,2,576,1.0,0.001,"(0.9, 0.8)",128,100,0.01,1024,0.3460090756416321
1,1,4,576,1.0,0.001,"(0.8, 0.7)",104,125,0.01,1024,0.2528562545776367
1,1,4,576,1.0,0.01,"(0.9, 0.8)",128,150,0.01,1024,0.2536695599555969
1,1,2,1152,0.1,0.001,"(0.8, 0.7)",104,125,0.002,512,0.3508242070674896
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",104,100,0.005,512,0.347901850938797
1,1,4,576,0.1,0.1,"(0.9, 0.8)",128,125,0.005,512,0.25234782695770264
1,1,4,1152,1.0,0.0001,"(0.98, 0.9)",56,100,0.005,1024,0.2544601559638977
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",128,125,0.01,1024,0.2525182664394379
1,1,4,576,0.1,0.1,"(0.8, 0.7)",56,100,0.002,1024,0.2516734600067139
1,1,4,1152,0.1,0.0001,"(0.98, 0.9)",128,150,0.01,1024,0.25246092677116394
1,1,2,576,0.1,0.1,"(0.8, 0.7)",56,125,0.005,512,0.3433000147342682
1,1,3,576,0.1,0.001,"(0.98, 0.9)",128,100,0.01,512,0.3625733256340027
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",104,125,0.002,512,0.3507439494132996
1,1,3,1152,1.0,0.1,"(0.9, 0.8)",104,150,0.01,1024,0.2524184584617615
1,1,3,1152,1.0,0.001,"(0.9, 0.8)",56,100,0.005,512,0.25250881910324097
1,1,4,1152,0.1,0.001,"(0.98, 0.9)",56,100,0.01,1024,0.2526061534881592
1,1,3,576,1.0,0.1,"(0.9, 0.8)",104,150,0.005,1024,0.3217127323150635
1,1,2,576,1.0,0.01,"(0.98, 0.9)",128,125,0.005,1024,0.3339689373970032
1,1,4,1152,0.1,0.1,"(0.8, 0.7)",128,150,0.002,512,0.002301277592778206
1,1,3,576,0.1,0.0001,"(0.98, 0.9)",104,100,0.01,512,0.35652339458465576
1,1,3,576,1.0,0.1,"(0.9, 0.8)",128,100,0.002,1024,0.3207319378852844
1,1,2,576,0.1,0.001,"(0.9, 0.8)",104,125,0.005,1024,0.3342188000679016
1,1,4,1152,0.1,0.01,"(0.8, 0.7)",104,100,0.01,1024,0.2524528801441193
1,1,4,1152,0.1,0.0001,"(0.9, 0.8)",104,150,0.002,512,0.2543953359127045
1,1,4,576,1.0,0.0001,"(0.98, 0.9)",56,150,0.002,1024,0.2866762578487396
1,1,2,576,0.1,0.1,"(0.9, 0.8)",104,150,0.002,1024,0.32912230491638184
1,1,2,576,1.0,0.0001,"(0.8, 0.7)",104,150,0.01,1024,0.3311956226825714
1,1,3,1152,1.0,0.01,"(0.8, 0.7)",128,100,0.005,1024,0.002284850925207138
1,1,4,1152,0.1,0.1,"(0.9, 0.8)",56,125,0.002,512,0.3197681307792664
1,1,3,1152,0.1,0.1,"(0.98, 0.9)",128,125,0.005,512,0.3577128350734711
1,1,4,576,1.0,0.1,"(0.9, 0.8)",128,150,0.005,1024,0.2525455951690674
1,1,3,576,1.0,0.01,"(0.9, 0.8)",128,100,0.005,512,0.35524919629096985
1,1,4,1152,1.0,0.01,"(0.9, 0.8)",104,125,0.002,512,0.2524167001247406
1,1,4,576,0.1,0.001,"(0.9, 0.8)",128,125,0.002,512,0.3239375352859497
1,1,4,576,1.0,0.001,"(0.98, 0.9)",128,150,0.005,1024,0.2424404472112656
1,1,2,1152,0.1,0.1,"(0.8, 0.7)",56,150,0.005,512,0.3393875360488892
1,1,4,576,0.1,0.1,"(0.98, 0.9)",56,100,0.005,1024,0.2524925172328949
1,1,4,1152,0.1,0.01,"(0.9, 0.8)",56,150,0.01,512,0.252446711063385
1,1,3,1152,1.0,0.001,"(0.98, 0.9)",104,125,0.005,512,0.3531534969806671
1,1,3,576,1.0,0.0001,"(0.98, 0.9)",128,100,0.002,1024,0.3207668960094452
1,1,3,576,0.1,0.01,"(0.8, 0.7)",56,100,0.002,512,0.34312567114830017
1,1,2,576,0.1,0.001,"(0.98, 0.9)",104,150,0.002,512,0.3374786078929901
1,1,3,1152,1.0,0.001,"(0.9, 0.8)",104,100,0.01,512,0.3602117300033569
1,1,4,576,1.0,0.01,"(0.8, 0.7)",104,150,0.01,1024,0.002297247294336557
1,1,2,576,1.0,0.1,"(0.98, 0.9)",56,125,0.002,512,0.33412766456604004
1,1,4,1152,1.0,0.001,"(0.8, 0.7)",104,150,0.002,512,0.25254493951797485
1,1,2,576,0.1,0.1,"(0.98, 0.9)",56,100,0.002,1024,0.3305375874042511
1,1,4,1152,0.1,0.0001,"(0.98, 0.9)",104,100,0.005,1024,0.2525697350502014
1,1,4,576,1.0,0.0001,"(0.8, 0.7)",128,125,0.002,512,0.3371905982494354
1,1,2,576,0.1,0.0001,"(0.8, 0.7)",104,125,0.005,512,0.3520209491252899
1,1,3,576,1.0,0.01,"(0.8, 0.7)",56,150,0.005,1024,0.3062332570552826
1,1,2,1152,1.0,0.01,"(0.98, 0.9)",56,125,0.01,512,0.3298816382884979
1,1,3,576,0.1,0.0001,"(0.8, 0.7)",104,150,0.002,512,0.3386450409889221
1,1,4,576,1.0,0.0001,"(0.98, 0.9)",56,125,0.002,512,0.3191298544406891
1,1,2,576,1.0,0.1,"(0.98, 0.9)",56,100,0.01,512,0.35554057359695435
1,1,2,1152,1.0,0.001,"(0.8, 0.7)",128,125,0.002,1024,0.331894725561142
1,1,2,1152,0.1,0.01,"(0.9, 0.8)",56,100,0.01,512,0.3564439117908478
1,1,2,1152,0.1,0.0001,"(0.98, 0.9)",128,125,0.002,512,0.35233813524246216
1,1,3,1152,1.0,0.0001,"(0.8, 0.7)",56,100,0.005,512,0.3496168255805969
1,1,3,1152,1.0,0.1,"(0.8, 0.7)",56,100,0.005,512,0.2525430917739868
1,1,2,1152,1.0,0.0001,"(0.8, 0.7)",104,150,0.01,1024,0.3311946392059326
1,1,3,1152,0.1,0.0001,"(0.8, 0.7)",128,125,0.005,1024,0.3276081383228302
