epoch,train_loss,valid_loss,accuracy,time
0,1.322008,1.283625,0.396454,3:39:21
1,1.326112,1.284252,0.396708,3:39:25
2,1.322891,1.284350,0.396832,3:38:37
3,1.325474,1.285389,0.395078,3:38:55
4,1.322969,1.284521,0.395907,3:38:38
5,1.319638,1.280865,0.398405,3:39:25
6,1.317308,1.280765,0.398550,3:39:12
7,1.315241,1.277825,0.399728,3:39:08
8,1.314675,1.277702,0.400618,3:39:38
9,1.312689,1.276530,0.400795,3:38:40
10,1.309944,1.274587,0.401649,3:39:17
11,1.306398,1.271570,0.403490,3:38:39
12,1.302495,1.270448,0.404028,3:39:32
13,1.298980,1.267163,0.405736,3:39:00
14,1.296705,1.266682,0.405949,3:39:13
epoch,train_loss,valid_loss,accuracy,time
0,1.298928,1.267162,0.405647,3:39:12
1,1.300823,1.268309,0.405242,3:39:22
2,1.303258,1.271214,0.403412,3:38:30
3,1.303804,1.270910,0.403421,3:38:51
4,1.303245,1.273796,0.403040,3:38:32
5,1.303203,1.271627,0.403525,3:39:30
6,1.301783,1.269448,0.404022,3:38:49
7,1.299769,1.269154,0.404480,3:38:59
8,1.297311,1.267190,0.405642,3:39:27
9,1.296654,1.266200,0.405966,3:38:39
10,1.295721,1.269647,0.405007,3:38:55
11,1.291417,1.263807,0.407677,3:38:42
12,1.288876,1.263062,0.408171,3:39:34
13,1.286474,1.262414,0.408396,3:38:59
14,1.286455,1.262457,0.408310,3:38:25
epoch,train_loss,valid_loss,accuracy,time
0,1.285682,1.262391,0.408314,3:39:17
1,1.286868,1.262539,0.408288,3:39:21
2,1.287380,1.262787,0.407974,3:38:34
3,1.287667,1.264112,0.407517,3:38:52
4,1.287837,1.263574,0.407845,3:38:35
5,1.288654,1.264081,0.407287,3:39:21
6,1.291806,1.264357,0.407510,3:38:51
7,1.290521,1.264107,0.407584,3:39:02
8,1.292110,1.264151,0.407568,3:39:31
9,1.293407,1.265542,0.406252,3:38:42
10,1.292396,1.265920,0.406399,3:39:02
11,1.291910,1.264814,0.407362,3:38:43
12,1.293357,1.264841,0.407054,3:39:36
13,1.293939,1.264848,0.407370,3:38:59
14,1.293267,1.265005,0.407202,3:39:07
15,1.292861,1.264842,0.406892,3:38:33
16,1.291052,1.264119,0.407406,3:38:03
17,1.291916,1.265085,0.406892,3:38:59
18,1.290753,1.264535,0.407124,3:38:15
19,1.291329,1.263483,0.407811,3:39:32
20,1.289891,1.263913,0.407382,3:39:16
21,1.289743,1.264314,0.407350,3:39:04
22,1.288532,1.264162,0.407741,3:38:20
23,1.288408,1.263039,0.407970,3:38:08
24,1.286942,1.262277,0.408628,3:38:57
25,1.287446,1.263508,0.407591,3:38:27
26,1.286531,1.261498,0.408881,3:39:30
27,1.285372,1.261732,0.408621,3:39:16
28,1.283800,1.260969,0.409583,3:38:59
29,1.283747,1.260972,0.409219,3:38:33
30,1.283982,1.260617,0.409480,3:38:44
31,1.282182,1.260266,0.409799,3:39:02
32,1.280752,1.260016,0.409993,3:38:47
33,1.279303,1.259469,0.410087,3:39:42
34,1.277799,1.259881,0.409825,3:39:02
35,1.276845,1.258884,0.410501,3:39:06
36,1.276549,1.259234,0.410063,3:39:26
37,1.276102,1.258508,0.410786,3:38:47
38,1.275465,1.258524,0.410520,3:38:57
39,1.274838,1.258342,0.410778,3:38:48
40,1.274226,1.258578,0.410608,3:39:33
41,1.272839,1.258127,0.410854,3:39:02
42,1.273477,1.258067,0.410859,3:39:20
43,1.272871,1.257991,0.410920,3:39:29
44,1.272902,1.258031,0.410884,3:38:53
