epoch,train_loss,valid_loss,accuracy,time
0,1.386503,1.419094,0.314608,2:00:40
1,1.355587,1.318831,0.374550,2:00:18
2,1.350064,1.313308,0.372714,2:00:14
3,1.349835,1.311205,0.375037,2:00:07
4,1.346578,1.310385,0.375209,2:01:24
5,1.342823,1.306428,0.379462,2:01:31
6,1.341633,1.303610,0.381192,1:57:41
7,1.335579,1.300678,0.384047,2:00:18
8,1.331845,1.298520,0.385196,2:00:13
9,1.331979,1.298362,0.385370,2:00:09
epoch,train_loss,valid_loss,accuracy,time
0,1.388607,1.417453,0.314608,2:00:40
1,1.353145,1.320630,0.374550,2:00:17
2,1.349956,1.315722,0.372714,2:00:14
3,1.352439,1.312915,0.375037,2:00:07
4,1.347925,1.312295,0.375209,2:01:25
5,1.344184,1.308418,0.379462,2:01:31
6,1.339328,1.305634,0.381192,1:57:41
7,1.335915,1.302640,0.384047,2:00:17
8,1.331989,1.300565,0.385196,2:00:13
9,1.333261,1.300428,0.385370,2:00:08
