PANGAEA Sample ID,Mean_Date [YY/MM/DD hh:mm]*,Mean_Lat*,Mean_Long*,Mean_Depth [m]*,Mean_Temperature [deg C]*,Mean Depth MLD Sigma [m]*,Mean_Salinity [PSU]*,Mean_Oxygen [umol/kg]*,Mean_Nitrates[umol/L]*,NO2 [umol/L]**,PO4 [umol/L]**,NO2NO3 [umol/L]**,SI [umol/L]**,"AMODIS:PAR8d,Einsteins/m-2/d-1",Okubo-Weiss,Lyapunov_exp.,grad_SST_adv,retention,Mean Depth Max Fluo [m]*,Mean Depth Max N2 [m]*,Mean Depth Max O2 [m]*,Mean Depth Min O2 [m]*,Mean Depth Nitracline [m]*,miTAG.SILVA.Taxo.Richness,miTAG.SILVA.Phylo.Diversity,miTAG.SILVA.Chao,miTAG.SILVA.ace,miTAG.SILVA.Shannon,OG.Shannon,OG.Richness,OG.Evenness,FC - heterotrophs [cells/mL],FC - autotrophs [cells/mL],FC - bacteria [cells/mL],FC - picoeukaryotes [cells/mL],minimum generation time [h]
TARA_B100000161,4/13/10 3:21,0.00,71.64,5.5,30.5,14,35.1,185.2,2.6,0.02,1.94,28.64,15.14,33.9,0.01,0.00,NA,0.00,48,47,28,869,132,2154,359,3345,3226,6.30,7.06,14553,0.736,393599,305984,699583,818,13
TARA_R100000406,4/15/10 2:38,-0.66,73.16,5.5,30.1,12,35.1,185.7,0.5,0.00,0.10,0.05,1.94,43.5,0.03,0.00,NA,1.19,64,58,28,64,51,NA,NA,NA,NA,NA,NA,NA,NA,773570,433402,1206972,16620,NA
TARA_R100000149,4/4/10 3:13,6.03,73.89,5.4,30.0,21,34.6,189.3,-1.5,0.00,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06,76,103,32,168,85,NA,NA,NA,NA,NA,NA,NA,NA,808564,188746,997310,909,NA
TARA_B100000123,4/4/10 3:13,6.03,73.89,5.4,30.0,21,34.6,189.3,-1.5,0.00,0.08,0.03,2.21,51.7,-0.03,0.04,NA,7.06,76,103,32,168,85,2331,388,3665,3569,6.51,7.09,15541,0.735,808564,188746,997310,909,14
TARA_Y100000114,4/19/10 7:54,-9.39,66.42,5.4,29.8,17,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19,59,30,28,111,61,NA,NA,NA,NA,NA,NA,NA,NA,313030,148147,461176,566,NA
TARA_B100000242,4/19/10 7:54,-9.39,66.42,5.4,29.8,17,34.2,187.3,-2.2,0.01,0.08,0.06,2.12,43.4,-0.07,0.05,1.99,6.19,59,30,28,111,61,1998,331,3066,2983,6.31,7.06,13177,0.744,313030,148147,461176,566,13
TARA_R100000455,3/30/10 2:56,14.60,69.98,5.5,29.1,5,36.0,187.4,-1.3,0.00,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64,65,57,30,422,75,NA,NA,NA,NA,NA,NA,NA,NA,491899,249308,741207,818,NA
TARA_Y100000052,3/30/10 2:56,14.60,69.98,5.5,29.1,5,36.0,187.4,-1.3,0.00,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64,65,57,30,422,75,NA,NA,NA,NA,NA,NA,NA,NA,491899,249308,741207,818,NA
TARA_B100000282,3/30/10 2:56,14.60,69.98,5.5,29.1,5,36.0,187.4,-1.3,0.00,0.14,0.09,1.47,47.6,-0.16,0.03,0.43,21.64,65,57,30,422,75,2520,407,3964,3812,6.56,7.10,16594,0.731,491899,249308,741207,818,14
TARA_B100000212,5/17/10 3:56,-16.96,53.99,5.5,27.9,47,34.6,191.7,NA,0.00,0.12,0.00,2.67,33.9,0.47,0.05,1.77,0.00,71,69,333,441,148,2127,349,3096,3016,6.26,7.08,14573,0.739,425006,206037,631044,3913,15
