level1	level2	level3	function	ERR599063	ERR599115	ERR599105	ERR3589586	ERR599052	ERR598981	ERR599048	ERR3589593	ERR598964	ERR599020	ERR599125	ERR598963	ERR598989	ERR599076	ERR599176
Metabolism	Biosynthesis of Other Secondary Metabolites	00941 Flavonoid biosynthesis [PATH:ko00941]	6DCS; 6'-deoxychalcone synthase [EC:2.3.1.170]	822	125	135	0	988	219	172	151	197	248	161	176	653	0	97
Organismal Systems	Immune system	04610 Complement and coagulation cascades [PATH:ko04610]	A2M; alpha-2-macroglobulin	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1
Metabolism	Carbohydrate metabolism	00650 Butanoate metabolism [PATH:ko00650]	"AACS, acsA; acetoacetyl-CoA synthetase [EC:6.2.1.16]"	3054	3776	1836	8	2837	5357	2535	3000	4104	3848	3158	3303	3207	7	3806
Metabolism	Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	"AADAT, KAT2; kynurenine/2-aminoadipate aminotransferase [EC:2.6.1.7 2.6.1.39]"	0	0	0	0	0	0	1	1	0	2	0	5	4	0	2
Metabolism	Amino acid metabolism	00380 Tryptophan metabolism [PATH:ko00380]	AAO1_2; indole-3-acetaldehyde oxidase [EC:1.2.3.7]	1	1	1	0	0	1	0	1	2	0	0	2	0	0	0
Metabolism	Metabolism of terpenoids and polyketides	00906 Carotenoid biosynthesis [PATH:ko00906]	AAO3; abscisic-aldehyde oxidase [EC:1.2.3.14]	0	3	0	0	0	4	1	8	5	3	2	2	0	0	2
Genetic Information Processing	Translation	00970 Aminoacyl-tRNA biosynthesis [PATH:ko00970]	"AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]"	14176	11119	9186	45	13513	12020	10730	10823	11416	12356	8182	11669	13607	69	14023
Metabolism	Amino acid metabolism	00300 Lysine biosynthesis [PATH:ko00300]	AASS; alpha-aminoadipic semialdehyde synthase [EC:1.5.1.8 1.5.1.9]	22	19	11	0	17	14	10	27	11	13	14	27	24	0	35
Metabolism	Metabolism of terpenoids and polyketides	00906 Carotenoid biosynthesis [PATH:ko00906]	ABA2; xanthoxin dehydrogenase [EC:1.1.1.288]	1	2	3	3	2	1	3	2	0	1	1	1	1	0	1
Metabolism	Amino acid metabolism	"00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]"	ABAT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22]	4	10	10	0	1	9	8	10	2	7	6	31	2	0	6
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.AB.A; antibiotic transport system ATP-binding protein	6571	6413	4414	4	6648	6211	5484	6554	6495	5992	5073	5424	6398	16	9882
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.AB.P; antibiotic transport system permease protein	3514	3499	2168	9	3050	2395	2986	3276	3415	2892	1719	2238	3193	19	4944
Environmental Information Processing	Membrane transport	02010 ABC transporters [PATH:ko02010]	ABC-2.CPSE.A; capsular polysaccharide transport system ATP-binding protein	46	68	60	0	44	75	166	28	90	44	24	25	27	0	16
