 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602813206.263305]      *** Running mifaser with up to 28 parallel thread(s)
[1602817675.754783]      *** Post-processing...
[1602813206.2638938]     *** Input: Uncompressed file ERR598963_cut20M.fastq
[1602813206.2639136]         Converting ERR598963_cut20M.fastq from fastq to fasta format...
[1602813279.0088408]         Getting input file statistics...
[1602813279.0089424]         Input file size: 3366MB
[1602813290.742083]          Input file reads: 20000000
[1602813292.8148353]         [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602813292.81492]           [Thread #1]      Creating output directories...
[1602813292.8186655]         [Thread #1]      Translating reads...
[1602813308.327825]          [Thread #1]      Running DIAMOND...
[1602813313.9966466]         [Thread #1]      Converting DIAMOND...
[1602813314.105515]          [Thread #1]      Parsing DIAMOND...
[1602813314.2557065]         [Thread #1]      Annotating...
[1602813314.6509604]         [Thread #1]      Analyzing...
[1602813314.99598]           [Thread #1]      Create read mapping...
[1602813331.5737422]         [Thread #1]    - [Thread #1] finished
[1602813310.3929565]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602813310.3930416]         [Thread #2]      Creating output directories...
[1602813310.3951778]         [Thread #2]      Translating reads...
[1602813331.6443217]         [Thread #2]      Running DIAMOND...
[1602813337.3752975]         [Thread #2]      Converting DIAMOND...
[1602813337.502508]          [Thread #2]      Parsing DIAMOND...
[1602813337.6724787]         [Thread #2]      Annotating...
[1602813337.994024]          [Thread #2]      Analyzing...
[1602813338.1949854]         [Thread #2]      Create read mapping...
[1602813352.3758454]         [Thread #2]    - [Thread #2] finished
[1602813333.700096]          [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602813333.700181]          [Thread #3]      Creating output directories...
[1602813333.7034855]         [Thread #3]      Translating reads...
[1602813352.3438447]         [Thread #3]      Running DIAMOND...
[1602813358.070453]          [Thread #3]      Converting DIAMOND...
[1602813358.1933594]         [Thread #3]      Parsing DIAMOND...
[1602813358.3447134]         [Thread #3]      Annotating...
[1602813358.565987]          [Thread #3]      Analyzing...
[1602813358.8717797]         [Thread #3]      Create read mapping...
[1602813374.0476556]         [Thread #3]    - [Thread #3] finished
[1602813354.7502224]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602813354.7503474]         [Thread #4]      Creating output directories...
[1602813354.752814]          [Thread #4]      Translating reads...
[1602813374.0049906]         [Thread #4]      Running DIAMOND...
[1602813379.745313]          [Thread #4]      Converting DIAMOND...
[1602813379.923859]          [Thread #4]      Parsing DIAMOND...
[1602813379.9924622]         [Thread #4]      Annotating...
[1602813380.0095494]         [Thread #4]      Analyzing...
[1602813380.1348495]         [Thread #4]      Create read mapping...
[1602813393.4679906]         [Thread #4]    - [Thread #4] finished
[1602813376.3965778]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602813376.3966596]         [Thread #5]      Creating output directories...
[1602813376.3987463]         [Thread #5]      Translating reads...
[1602813395.8744717]         [Thread #5]      Running DIAMOND...
[1602813401.6627975]         [Thread #5]      Converting DIAMOND...
[1602813401.7731388]         [Thread #5]      Parsing DIAMOND...
[1602813401.9061499]         [Thread #5]      Annotating...
[1602813402.2327905]         [Thread #5]      Analyzing...
[1602813402.2453814]         [Thread #5]      Create read mapping...
[1602813412.6390405]         [Thread #5]    - [Thread #5] finished
[1602813398.2143075]         [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602813398.2143943]         [Thread #6]      Creating output directories...
[1602813398.216096]          [Thread #6]      Translating reads...
[1602813417.3249538]         [Thread #6]      Running DIAMOND...
[1602813423.0767944]         [Thread #6]      Converting DIAMOND...
[1602813423.1913908]         [Thread #6]      Parsing DIAMOND...
[1602813423.3893807]         [Thread #6]      Annotating...
[1602813423.772654]          [Thread #6]      Analyzing...
[1602813424.108651]          [Thread #6]      Create read mapping...
[1602813438.3064423]         [Thread #6]    - [Thread #6] finished
[1602813419.6513002]         [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602813419.651387]          [Thread #7]      Creating output directories...
[1602813419.6538353]         [Thread #7]      Translating reads...
[1602813438.3661332]         [Thread #7]      Running DIAMOND...
[1602813444.0866096]         [Thread #7]      Converting DIAMOND...
[1602813444.176254]          [Thread #7]      Parsing DIAMOND...
[1602813444.3011541]         [Thread #7]      Annotating...
[1602813444.5254173]         [Thread #7]      Analyzing...
[1602813444.7315779]         [Thread #7]      Create read mapping...
[1602813461.1988518]         [Thread #7]    - [Thread #7] finished
[1602813441.0754766]         [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602813441.0755608]         [Thread #8]      Creating output directories...
[1602813441.0783844]         [Thread #8]      Translating reads...
[1602813461.1696258]         [Thread #8]      Running DIAMOND...
[1602813466.9927511]         [Thread #8]      Converting DIAMOND...
[1602813467.112788]          [Thread #8]      Parsing DIAMOND...
[1602813467.3058503]         [Thread #8]      Annotating...
[1602813467.3271706]         [Thread #8]      Analyzing...
[1602813467.3376048]         [Thread #8]      Create read mapping...
[1602813482.8076396]         [Thread #8]    - [Thread #8] finished
[1602813463.531448]          [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602813463.5315294]         [Thread #9]      Creating output directories...
[1602813463.533089]          [Thread #9]      Translating reads...
[1602813483.0937712]         [Thread #9]      Running DIAMOND...
[1602813488.9270484]         [Thread #9]      Converting DIAMOND...
[1602813489.010452]          [Thread #9]      Parsing DIAMOND...
[1602813489.1374068]         [Thread #9]      Annotating...
[1602813489.3091083]         [Thread #9]      Analyzing...
[1602813489.5847256]         [Thread #9]      Create read mapping...
[1602813504.9576225]         [Thread #9]    - [Thread #9] finished
[1602813485.4350865]         [Thread #10]    - [Thread #10] running on [1/28] CPUs
[1602813485.43517]           [Thread #10]      Creating output directories...
[1602813485.4377491]         [Thread #10]      Translating reads...
[1602813504.8995967]         [Thread #10]      Running DIAMOND...
[1602813510.6761985]         [Thread #10]      Converting DIAMOND...
[1602813510.7795146]         [Thread #10]      Parsing DIAMOND...
[1602813510.9456143]         [Thread #10]      Annotating...
[1602813511.1254132]         [Thread #10]      Analyzing...
[1602813511.4047325]         [Thread #10]      Create read mapping...
[1602813526.275362]          [Thread #10]    - [Thread #10] finished
[1602813507.3304472]         [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602813507.3305292]         [Thread #11]      Creating output directories...
[1602813507.332136]          [Thread #11]      Translating reads...
[1602813526.3479595]         [Thread #11]      Running DIAMOND...
[1602813532.0830524]         [Thread #11]      Converting DIAMOND...
[1602813532.1908002]         [Thread #11]      Parsing DIAMOND...
[1602813532.3776362]         [Thread #11]      Annotating...
[1602813532.7423031]         [Thread #11]      Analyzing...
[1602813532.9979284]         [Thread #11]      Create read mapping...
[1602813549.054812]          [Thread #11]    - [Thread #11] finished
[1602813528.7074146]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602813528.7074988]         [Thread #12]      Creating output directories...
[1602813528.7091525]         [Thread #12]      Translating reads...
[1602813549.8173168]         [Thread #12]      Running DIAMOND...
[1602813555.5714066]         [Thread #12]      Converting DIAMOND...
[1602813555.679382]          [Thread #12]      Parsing DIAMOND...
[1602813556.136496]          [Thread #12]      Annotating...
[1602813556.3162751]         [Thread #12]      Analyzing...
[1602813556.5751257]         [Thread #12]      Create read mapping...
[1602813571.6750824]         [Thread #12]    - [Thread #12] finished
[1602813552.06269]           [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602813552.0627778]         [Thread #13]      Creating output directories...
[1602813552.06488]           [Thread #13]      Translating reads...
[1602813571.6028218]         [Thread #13]      Running DIAMOND...
[1602813577.3542979]         [Thread #13]      Converting DIAMOND...
[1602813577.4553828]         [Thread #13]      Parsing DIAMOND...
[1602813577.5732603]         [Thread #13]      Annotating...
[1602813577.7006676]         [Thread #13]      Analyzing...
[1602813577.8894432]         [Thread #13]      Create read mapping...
[1602813592.1846204]         [Thread #13]    - [Thread #13] finished
[1602813573.9611976]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602813573.9613082]         [Thread #14]      Creating output directories...
[1602813573.9629374]         [Thread #14]      Translating reads...
[1602813592.3049242]         [Thread #14]      Running DIAMOND...
[1602813598.0071554]         [Thread #14]      Converting DIAMOND...
[1602813598.1233253]         [Thread #14]      Parsing DIAMOND...
[1602813598.3609087]         [Thread #14]      Annotating...
[1602813598.5514576]         [Thread #14]      Analyzing...
[1602813598.8424969]         [Thread #14]      Create read mapping...
[1602813613.4081864]         [Thread #14]    - [Thread #14] finished
