 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602808524.203459]      *** Running mifaser with up to 28 parallel thread(s)
[1602812974.202859]      *** Post-processing...
[1602808524.2040832]     *** Input: Uncompressed file ERR598964_cut20M.fastq
[1602808524.2041075]         Converting ERR598964_cut20M.fastq from fastq to fasta format...
[1602808596.1326277]         Getting input file statistics...
[1602808596.132711]          Input file size: 3360MB
[1602808607.7902486]         Input file reads: 20000000
[1602808609.8072684]         [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602808609.8073604]         [Thread #1]      Creating output directories...
[1602808609.809983]          [Thread #1]      Translating reads...
[1602808625.6138296]         [Thread #1]      Running DIAMOND...
[1602808631.418308]          [Thread #1]      Converting DIAMOND...
[1602808631.5122862]         [Thread #1]      Parsing DIAMOND...
[1602808631.7003627]         [Thread #1]      Annotating...
[1602808631.8521147]         [Thread #1]      Analyzing...
[1602808632.1647859]         [Thread #1]      Create read mapping...
[1602808648.7881937]         [Thread #1]    - [Thread #1] finished
[1602808627.6499624]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602808627.6500487]         [Thread #2]      Creating output directories...
[1602808627.6521113]         [Thread #2]      Translating reads...
[1602808648.6692586]         [Thread #2]      Running DIAMOND...
[1602808654.5579906]         [Thread #2]      Converting DIAMOND...
[1602808654.6411886]         [Thread #2]      Parsing DIAMOND...
[1602808654.8783998]         [Thread #2]      Annotating...
[1602808655.2352679]         [Thread #2]      Analyzing...
[1602808655.5192688]         [Thread #2]      Create read mapping...
[1602808670.1834612]         [Thread #2]    - [Thread #2] finished
[1602808651.024582]          [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602808651.0246706]         [Thread #3]      Creating output directories...
[1602808651.026436]          [Thread #3]      Translating reads...
[1602808670.1385806]         [Thread #3]      Running DIAMOND...
[1602808676.0127032]         [Thread #3]      Converting DIAMOND...
[1602808676.1127899]         [Thread #3]      Parsing DIAMOND...
[1602808676.2551358]         [Thread #3]      Annotating...
[1602808676.4557085]         [Thread #3]      Analyzing...
[1602808676.751621]          [Thread #3]      Create read mapping...
[1602808691.5012414]         [Thread #3]    - [Thread #3] finished
[1602808672.4635556]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602808672.4636261]         [Thread #4]      Creating output directories...
[1602808672.4659479]         [Thread #4]      Translating reads...
[1602808691.4871676]         [Thread #4]      Running DIAMOND...
[1602808697.4275806]         [Thread #4]      Converting DIAMOND...
[1602808697.5277572]         [Thread #4]      Parsing DIAMOND...
[1602808697.7634804]         [Thread #4]      Annotating...
[1602808698.090785]          [Thread #4]      Analyzing...
[1602808698.3789783]         [Thread #4]      Create read mapping...
[1602808714.252518]          [Thread #4]    - [Thread #4] finished
[1602808693.8276172]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602808693.8277073]         [Thread #5]      Creating output directories...
[1602808693.8294108]         [Thread #5]      Translating reads...
[1602808714.2048728]         [Thread #5]      Running DIAMOND...
[1602808720.2175887]         [Thread #5]      Converting DIAMOND...
[1602808720.325381]          [Thread #5]      Parsing DIAMOND...
[1602808720.4695742]         [Thread #5]      Annotating...
[1602808720.8027563]         [Thread #5]      Analyzing...
[1602808721.1013677]         [Thread #5]      Create read mapping...
[1602808736.235655]          [Thread #5]    - [Thread #5] finished
[1602808716.517887]          [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602808716.5179713]         [Thread #6]      Creating output directories...
[1602808716.5197463]         [Thread #6]      Translating reads...
[1602808736.224497]          [Thread #6]      Running DIAMOND...
[1602808742.1165726]         [Thread #6]      Converting DIAMOND...
[1602808742.2234416]         [Thread #6]      Parsing DIAMOND...
[1602808742.4084606]         [Thread #6]      Annotating...
[1602808742.6687248]         [Thread #6]      Analyzing...
[1602808742.9853642]         [Thread #6]      Create read mapping...
[1602808758.1242156]         [Thread #6]    - [Thread #6] finished
[1602808738.4374392]         [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602808738.4375212]         [Thread #7]      Creating output directories...
[1602808738.4397829]         [Thread #7]      Translating reads...
[1602808758.134096]          [Thread #7]      Running DIAMOND...
[1602808764.0806973]         [Thread #7]      Converting DIAMOND...
[1602808764.2141058]         [Thread #7]      Parsing DIAMOND...
[1602808764.5076857]         [Thread #7]      Annotating...
[1602808764.7651317]         [Thread #7]      Analyzing...
[1602808765.0434775]         [Thread #7]      Create read mapping...
[1602808778.4310195]         [Thread #7]    - [Thread #7] finished
[1602808760.3098667]         [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602808760.30995]           [Thread #8]      Creating output directories...
[1602808760.3122497]         [Thread #8]      Translating reads...
[1602808779.7098727]         [Thread #8]      Running DIAMOND...
[1602808785.5779567]         [Thread #8]      Converting DIAMOND...
[1602808785.6955543]         [Thread #8]      Parsing DIAMOND...
[1602808785.8499997]         [Thread #8]      Annotating...
[1602808786.2094529]         [Thread #8]      Analyzing...
[1602808786.5264685]         [Thread #8]      Create read mapping...
[1602808800.906563]          [Thread #8]    - [Thread #8] finished
[1602808782.0206983]         [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602808782.0207827]         [Thread #9]      Creating output directories...
[1602808782.0225546]         [Thread #9]      Translating reads...
[1602808800.8577297]         [Thread #9]      Running DIAMOND...
[1602808806.6674724]         [Thread #9]      Converting DIAMOND...
[1602808806.7777617]         [Thread #9]      Parsing DIAMOND...
[1602808806.9211006]         [Thread #9]      Annotating...
[1602808807.0856318]         [Thread #9]      Analyzing...
[1602808807.3654287]         [Thread #9]      Create read mapping...
[1602808821.9395282]         [Thread #9]    - [Thread #9] finished
[1602808803.2585807]         [Thread #10]    - [Thread #10] running on [1/28] CPUs
[1602808803.2586606]         [Thread #10]      Creating output directories...
[1602808803.2602365]         [Thread #10]      Translating reads...
[1602808821.905028]          [Thread #10]      Running DIAMOND...
[1602808827.7645872]         [Thread #10]      Converting DIAMOND...
[1602808827.8651767]         [Thread #10]      Parsing DIAMOND...
[1602808828.1196203]         [Thread #10]      Annotating...
[1602808828.472216]          [Thread #10]      Analyzing...
[1602808828.7612991]         [Thread #10]      Create read mapping...
[1602808844.016432]          [Thread #10]    - [Thread #10] finished
[1602808824.6293232]         [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602808824.6294076]         [Thread #11]      Creating output directories...
[1602808824.631138]          [Thread #11]      Translating reads...
[1602808844.501155]          [Thread #11]      Running DIAMOND...
[1602808850.3955355]         [Thread #11]      Converting DIAMOND...
[1602808850.486165]          [Thread #11]      Parsing DIAMOND...
[1602808850.6220186]         [Thread #11]      Annotating...
[1602808850.904735]          [Thread #11]      Analyzing...
[1602808851.1854863]         [Thread #11]      Create read mapping...
[1602808866.1168973]         [Thread #11]    - [Thread #11] finished
[1602808846.705868]          [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602808846.7059534]         [Thread #12]      Creating output directories...
[1602808846.708401]          [Thread #12]      Translating reads...
[1602808866.0604005]         [Thread #12]      Running DIAMOND...
[1602808871.972761]          [Thread #12]      Converting DIAMOND...
[1602808872.0847368]         [Thread #12]      Parsing DIAMOND...
[1602808872.2053928]         [Thread #12]      Annotating...
[1602808872.4189692]         [Thread #12]      Analyzing...
[1602808872.4289048]         [Thread #12]      Create read mapping...
[1602808887.6469417]         [Thread #12]    - [Thread #12] finished
[1602808868.3996475]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602808868.3997283]         [Thread #13]      Creating output directories...
[1602808868.401565]          [Thread #13]      Translating reads...
[1602808887.649855]          [Thread #13]      Running DIAMOND...
[1602808893.487825]          [Thread #13]      Converting DIAMOND...
[1602808893.5871959]         [Thread #13]      Parsing DIAMOND...
[1602808893.7242007]         [Thread #13]      Annotating...
[1602808894.0460863]         [Thread #13]      Analyzing...
[1602808894.3306344]         [Thread #13]      Create read mapping...
[1602808907.654607]          [Thread #13]    - [Thread #13] finished
[1602808889.9316323]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602808889.9317174]         [Thread #14]      Creating output directories...
[1602808889.9333694]         [Thread #14]      Translating reads...
[1602808909.2249758]         [Thread #14]      Running DIAMOND...
[1602808915.0492256]         [Thread #14]      Converting DIAMOND...
[1602808915.132846]          [Thread #14]      Parsing DIAMOND...
[1602808915.297427]          [Thread #14]      Annotating...
[1602808915.6404612]         [Thread #14]      Analyzing...
[1602808915.847183]          [Thread #14]      Create read mapping...
[1602808930.374507]          [Thread #14]    - [Thread #14] finished
[1602808911.8193152]         [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602808911.819402]          [Thread #15]      Creating output directories...
[1602808911.8220754]         [Thread #15]      Translating reads...
[1602808930.521394]          [Thread #15]      Running DIAMOND...
[1602808936.3607578]         [Thread #15]      Converting DIAMOND...
[1602808936.471336]          [Thread #15]      Parsing DIAMOND...
[1602808936.5893543]         [Thread #15]      Annotating...
[1602808936.7187805]         [Thread #15]      Analyzing...
[1602808936.96567]           [Thread #15]      Create read mapping...
[1602808951.0916398]         [Thread #15]    - [Thread #15] finished
[1602808932.8396485]         [Thread #16]    - [Thread #16] running on [1/28] CPUs
[1602808932.8397324]         [Thread #16]      Creating output directories...
[1602808932.8415687]         [Thread #16]      Translating reads...
[1602808952.3767526]         [Thread #16]      Running DIAMOND...
[1602808958.260732]          [Thread #16]      Converting DIAMOND...
[1602808958.3590748]         [Thread #16]      Parsing DIAMOND...
[1602808958.482782]          [Thread #16]      Annotating...
[1602808958.7599974]         [Thread #16]      Analyzing...
[1602808959.065155]          [Thread #16]      Create read mapping...
[1602808975.5498593]         [Thread #16]    - [Thread #16] finished
[1602808954.6441383]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602808954.6442256]         [Thread #17]      Creating output directories...
[1602808954.647274]          [Thread #17]      Translating reads...
[1602808975.5043428]         [Thread #17]      Running DIAMOND...
[1602808981.4088829]         [Thread #17]      Converting DIAMOND...
[1602808981.5012782]         [Thread #17]      Parsing DIAMOND...
[1602808981.5956306]         [Thread #17]      Annotating...
[1602808981.9409611]         [Thread #17]      Analyzing...
[1602808982.0886908]         [Thread #17]      Create read mapping...
[1602808994.1123848]         [Thread #17]    - [Thread #17] finished
[1602808977.8292782]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602808977.8293607]         [Thread #18]      Creating output directories...
[1602808977.8310547]         [Thread #18]      Translating reads...
[1602808996.6560402]         [Thread #18]      Running DIAMOND...
[1602809002.4986079]         [Thread #18]      Converting DIAMOND...
[1602809002.5511858]         [Thread #18]      Parsing DIAMOND...
[1602809002.6835656]         [Thread #18]      Annotating...
[1602809002.8103075]         [Thread #18]      Analyzing...
