 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602803813.73684]       *** Running mifaser with up to 28 parallel thread(s)
[1602808286.636633]      *** Post-processing...
[1602803813.7375216]     *** Input: Uncompressed file ERR598989_cut20M.fastq
[1602803813.7375438]         Converting ERR598989_cut20M.fastq from fastq to fasta format...
[1602803891.6206815]         Getting input file statistics...
[1602803891.621752]          Input file size: 3388MB
[1602803904.0022225]         Input file reads: 20000000
[1602803906.325794]          [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602803906.3258798]         [Thread #1]      Creating output directories...
[1602803906.3284004]         [Thread #1]      Translating reads...
[1602803921.957854]          [Thread #1]      Running DIAMOND...
[1602803927.4067507]         [Thread #1]      Converting DIAMOND...
[1602803927.4651353]         [Thread #1]      Parsing DIAMOND...
[1602803927.6166492]         [Thread #1]      Annotating...
[1602803927.80938]           [Thread #1]      Analyzing...
[1602803928.2247388]         [Thread #1]      Create read mapping...
[1602803943.5311992]         [Thread #1]    - [Thread #1] finished
[1602803923.9971142]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602803923.9972012]         [Thread #2]      Creating output directories...
[1602803923.999993]          [Thread #2]      Translating reads...
[1602803943.466895]          [Thread #2]      Running DIAMOND...
[1602803948.926649]          [Thread #2]      Converting DIAMOND...
[1602803949.0408013]         [Thread #2]      Parsing DIAMOND...
[1602803949.231987]          [Thread #2]      Annotating...
[1602803949.654012]          [Thread #2]      Analyzing...
[1602803949.9506636]         [Thread #2]      Create read mapping...
[1602803964.516278]          [Thread #2]    - [Thread #2] finished
[1602803945.7369006]         [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602803945.7369812]         [Thread #3]      Creating output directories...
[1602803945.739371]          [Thread #3]      Translating reads...
[1602803964.9571033]         [Thread #3]      Running DIAMOND...
[1602803970.4215138]         [Thread #3]      Converting DIAMOND...
[1602803970.5312514]         [Thread #3]      Parsing DIAMOND...
[1602803971.0273163]         [Thread #3]      Annotating...
[1602803971.277594]          [Thread #3]      Analyzing...
[1602803971.7438333]         [Thread #3]      Create read mapping...
[1602803987.1904714]         [Thread #3]    - [Thread #3] finished
[1602803967.1783774]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602803967.1784647]         [Thread #4]      Creating output directories...
[1602803967.1801481]         [Thread #4]      Translating reads...
[1602803987.1789281]         [Thread #4]      Running DIAMOND...
[1602803992.6559513]         [Thread #4]      Converting DIAMOND...
[1602803992.7721403]         [Thread #4]      Parsing DIAMOND...
[1602803992.9593725]         [Thread #4]      Annotating...
[1602803993.1226497]         [Thread #4]      Analyzing...
[1602803993.418988]          [Thread #4]      Create read mapping...
[1602804007.9488912]         [Thread #4]    - [Thread #4] finished
[1602803989.3230348]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602803989.3231187]         [Thread #5]      Creating output directories...
[1602803989.3248672]         [Thread #5]      Translating reads...
[1602804007.8866239]         [Thread #5]      Running DIAMOND...
[1602804013.5204203]         [Thread #5]      Converting DIAMOND...
[1602804013.6600664]         [Thread #5]      Parsing DIAMOND...
[1602804013.8116152]         [Thread #5]      Annotating...
[1602804014.0520408]         [Thread #5]      Analyzing...
[1602804014.390131]          [Thread #5]      Create read mapping...
[1602804028.5676537]         [Thread #5]    - [Thread #5] finished
[1602804010.2780926]         [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602804010.2781744]         [Thread #6]      Creating output directories...
[1602804010.2800007]         [Thread #6]      Translating reads...
[1602804030.2905104]         [Thread #6]      Running DIAMOND...
[1602804035.8064902]         [Thread #6]      Converting DIAMOND...
[1602804035.8983834]         [Thread #6]      Parsing DIAMOND...
[1602804036.072343]          [Thread #6]      Annotating...
[1602804036.4827034]         [Thread #6]      Analyzing...
[1602804036.8106074]         [Thread #6]      Create read mapping...
[1602804052.200235]          [Thread #6]    - [Thread #6] finished
[1602804032.476407]          [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602804032.4764948]         [Thread #7]      Creating output directories...
[1602804032.478102]          [Thread #7]      Translating reads...
[1602804052.1525989]         [Thread #7]      Running DIAMOND...
[1602804057.5707664]         [Thread #7]      Converting DIAMOND...
[1602804057.676459]          [Thread #7]      Parsing DIAMOND...
[1602804057.8400102]         [Thread #7]      Annotating...
[1602804058.2591913]         [Thread #7]      Analyzing...
[1602804058.4694898]         [Thread #7]      Create read mapping...
[1602804073.774557]          [Thread #7]    - [Thread #7] finished
[1602804054.455795]          [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602804054.4558775]         [Thread #8]      Creating output directories...
[1602804054.4574258]         [Thread #8]      Translating reads...
[1602804073.88742]           [Thread #8]      Running DIAMOND...
[1602804079.3228972]         [Thread #8]      Converting DIAMOND...
[1602804079.4443333]         [Thread #8]      Parsing DIAMOND...
[1602804079.584683]          [Thread #8]      Annotating...
[1602804080.0167623]         [Thread #8]      Analyzing...
[1602804080.355223]          [Thread #8]      Create read mapping...
[1602804095.623485]          [Thread #8]    - [Thread #8] finished
[1602804076.4455726]         [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602804076.4456596]         [Thread #9]      Creating output directories...
[1602804076.4471686]         [Thread #9]      Translating reads...
[1602804096.040693]          [Thread #9]      Running DIAMOND...
[1602804101.499914]          [Thread #9]      Converting DIAMOND...
[1602804101.6097567]         [Thread #9]      Parsing DIAMOND...
[1602804101.746319]          [Thread #9]      Annotating...
[1602804101.9950294]         [Thread #9]      Analyzing...
[1602804102.3295236]         [Thread #9]      Create read mapping...
[1602804116.9755692]         [Thread #9]    - [Thread #9] finished
[1602804098.2410202]         [Thread #10]    - [Thread #10] running on [1/28] CPUs
[1602804098.2411041]         [Thread #10]      Creating output directories...
[1602804098.2427492]         [Thread #10]      Translating reads...
[1602804116.9404414]         [Thread #10]      Running DIAMOND...
[1602804122.4208694]         [Thread #10]      Converting DIAMOND...
[1602804122.535779]          [Thread #10]      Parsing DIAMOND...
[1602804122.6973011]         [Thread #10]      Annotating...
[1602804123.1008043]         [Thread #10]      Analyzing...
[1602804123.427026]          [Thread #10]      Create read mapping...
[1602804138.969463]          [Thread #10]    - [Thread #10] finished
[1602804119.2986004]         [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602804119.298683]          [Thread #11]      Creating output directories...
[1602804119.3003936]         [Thread #11]      Translating reads...
[1602804138.8999245]         [Thread #11]      Running DIAMOND...
[1602804144.3755374]         [Thread #11]      Converting DIAMOND...
[1602804144.666691]          [Thread #11]      Parsing DIAMOND...
[1602804144.9037573]         [Thread #11]      Annotating...
[1602804145.2832649]         [Thread #11]      Analyzing...
[1602804145.635185]          [Thread #11]      Create read mapping...
[1602804160.9021673]         [Thread #11]    - [Thread #11] finished
[1602804141.219522]          [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602804141.219603]          [Thread #12]      Creating output directories...
[1602804141.2212093]         [Thread #12]      Translating reads...
[1602804160.8848271]         [Thread #12]      Running DIAMOND...
[1602804166.326345]          [Thread #12]      Converting DIAMOND...
[1602804166.4355638]         [Thread #12]      Parsing DIAMOND...
[1602804166.5868676]         [Thread #12]      Annotating...
[1602804166.7425857]         [Thread #12]      Analyzing...
[1602804167.041534]          [Thread #12]      Create read mapping...
[1602804182.8607755]         [Thread #12]    - [Thread #12] finished
[1602804163.109309]          [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602804163.1093917]         [Thread #13]      Creating output directories...
[1602804163.1110039]         [Thread #13]      Translating reads...
[1602804182.8026247]         [Thread #13]      Running DIAMOND...
[1602804188.3434007]         [Thread #13]      Converting DIAMOND...
[1602804188.455782]          [Thread #13]      Parsing DIAMOND...
[1602804188.633523]          [Thread #13]      Annotating...
[1602804189.0653722]         [Thread #13]      Analyzing...
[1602804189.405679]          [Thread #13]      Create read mapping...
[1602804204.8286922]         [Thread #13]    - [Thread #13] finished
[1602804185.1079893]         [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602804185.1080706]         [Thread #14]      Creating output directories...
[1602804185.1103945]         [Thread #14]      Translating reads...
[1602804204.7652662]         [Thread #14]      Running DIAMOND...
[1602804210.1876605]         [Thread #14]      Converting DIAMOND...
[1602804210.306553]          [Thread #14]      Parsing DIAMOND...
[1602804210.5034823]         [Thread #14]      Annotating...
[1602804210.8898845]         [Thread #14]      Analyzing...
[1602804211.196293]          [Thread #14]      Create read mapping...
[1602804226.279086]          [Thread #14]    - [Thread #14] finished
[1602804207.0826542]         [Thread #15]    - [Thread #15] running on [1/28] CPUs
[1602804207.082737]          [Thread #15]      Creating output directories...
[1602804207.0843573]         [Thread #15]      Translating reads...
[1602804226.252172]          [Thread #15]      Running DIAMOND...
[1602804231.720102]          [Thread #15]      Converting DIAMOND...
[1602804231.861556]          [Thread #15]      Parsing DIAMOND...
[1602804232.0172093]         [Thread #15]      Annotating...
[1602804232.2826552]         [Thread #15]      Analyzing...
[1602804232.5739985]         [Thread #15]      Create read mapping...
