 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775087.889404]      *** Running mifaser with up to 28 parallel thread(s)
[1602779322.894657]      *** Post-processing...
[1602774925.898368]      *** Input: Uncompressed file ERR599020_cut20M.fastq
[1602774925.8983989]         Converting ERR599020_cut20M.fastq from fastq to fasta format...
[1602774999.2242892]         Getting input file statistics...
[1602774999.2252808]         Input file size: 3362MB
[1602775011.4100163]         Input file reads: 20000000
[1602775052.5702307]         [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602775052.5703106]         [Thread #3]      Creating output directories...
[1602775052.5718126]         [Thread #3]      Translating reads...
[1602775072.8855863]         [Thread #3]      Running DIAMOND...
[1602775078.8597505]         [Thread #3]      Converting DIAMOND...
[1602775078.9661345]         [Thread #3]      Parsing DIAMOND...
[1602775079.1358612]         [Thread #3]      Annotating...
[1602775079.4450605]         [Thread #3]      Analyzing...
[1602775079.7006757]         [Thread #3]      Create read mapping...
[1602775093.6756916]         [Thread #3]    - [Thread #3] finished
[1602775074.9779859]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602775074.9780667]         [Thread #4]      Creating output directories...
[1602775074.980491]          [Thread #4]      Translating reads...
[1602775094.7982883]         [Thread #4]      Running DIAMOND...
[1602775100.644936]          [Thread #4]      Converting DIAMOND...
[1602775100.7383327]         [Thread #4]      Parsing DIAMOND...
[1602775100.8789208]         [Thread #4]      Annotating...
[1602775101.2412548]         [Thread #4]      Analyzing...
[1602775101.4417138]         [Thread #4]      Create read mapping...
[1602775118.4194238]         [Thread #4]    - [Thread #4] finished
[1602775096.8938406]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602775096.8939283]         [Thread #5]      Creating output directories...
[1602775096.899096]          [Thread #5]      Translating reads...
[1602775096.9024475]         [Thread #5]  >>> [Thread #5] ERROR. logs: /scratch/ah1114/LoL/TransferLearningTasks/EC1/mifaser_metagenomes/ERR599020_cut20M/splits/ERR599020_cut20M_5/analyzed/mifaser.err
[1602775099.0458236]         [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602775099.0459023]         [Thread #6]      Creating output directories...
[1602775099.0487804]         [Thread #6]      Translating reads...
[1602775118.3970757]         [Thread #6]      Running DIAMOND...
[1602775124.332716]          [Thread #6]      Converting DIAMOND...
[1602775124.4479327]         [Thread #6]      Parsing DIAMOND...
[1602775124.6791825]         [Thread #6]      Annotating...
[1602775125.0768569]         [Thread #6]      Analyzing...
[1602775125.3748465]         [Thread #6]      Create read mapping...
[1602775140.289505]          [Thread #6]    - [Thread #6] finished
[1602775120.5681534]         [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602775120.5682359]         [Thread #7]      Creating output directories...
[1602775120.5699384]         [Thread #7]      Translating reads...
[1602775140.2249827]         [Thread #7]      Running DIAMOND...
[1602775145.9878287]         [Thread #7]      Converting DIAMOND...
[1602775146.075905]          [Thread #7]      Parsing DIAMOND...
[1602775146.255442]          [Thread #7]      Annotating...
[1602775146.5864239]         [Thread #7]      Analyzing...
[1602775146.8306484]         [Thread #7]      Create read mapping...
[1602775162.245101]          [Thread #7]    - [Thread #7] finished
[1602775142.3548794]         [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602775142.354922]          [Thread #8]      Creating output directories...
[1602775142.3565955]         [Thread #8]      Translating reads...
[1602775162.2046413]         [Thread #8]      Running DIAMOND...
[1602775167.9659083]         [Thread #8]      Converting DIAMOND...
[1602775168.0839384]         [Thread #8]      Parsing DIAMOND...
[1602775168.213747]          [Thread #8]      Annotating...
[1602775168.4298925]         [Thread #8]      Analyzing...
[1602775168.7255013]         [Thread #8]      Create read mapping...
[1602775183.2645612]         [Thread #8]    - [Thread #8] finished
[1602775164.354755]          [Thread #9]    - [Thread #9] running on [1/28] CPUs
