 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602775091.009681]      *** Running mifaser with up to 28 parallel thread(s)
[1602779434.531843]      *** Post-processing...
[1602774996.0388758]     *** Input: Uncompressed file ERR599039_cut20M.fastq
[1602774996.0388992]         Converting ERR599039_cut20M.fastq from fastq to fasta format...
[1602775073.143028]          Getting input file statistics...
[1602775073.1447227]         Input file size: 3374MB
[1602775085.740683]          Input file reads: 20000000
[1602775178.8146474]         [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602775178.8147323]         [Thread #1]      Creating output directories...
[1602775178.818984]          [Thread #1]      Translating reads...
[1602775194.653135]          [Thread #1]      Running DIAMOND...
[1602775200.1752517]         [Thread #1]      Converting DIAMOND...
[1602775200.2739396]         [Thread #1]      Parsing DIAMOND...
[1602775200.4547656]         [Thread #1]      Annotating...
[1602775201.1372654]         [Thread #1]      Analyzing...
[1602775201.3718324]         [Thread #1]      Create read mapping...
[1602775217.22756]           [Thread #1]    - [Thread #1] finished
[1602775196.6901588]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602775196.6904082]         [Thread #2]      Creating output directories...
[1602775196.745776]          [Thread #2]      Translating reads...
[1602775217.1443024]         [Thread #2]      Running DIAMOND...
[1602775222.7904136]         [Thread #2]      Converting DIAMOND...
[1602775222.8947532]         [Thread #2]      Parsing DIAMOND...
[1602775223.0640302]         [Thread #2]      Annotating...
[1602775223.237881]          [Thread #2]      Analyzing...
[1602775223.559048]          [Thread #2]      Create read mapping...
[1602775239.9191842]         [Thread #2]    - [Thread #2] finished
[1602775219.1802711]         [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602775219.1803565]         [Thread #3]      Creating output directories...
[1602775220.1908107]         [Thread #3]      Translating reads...
[1602775239.745611]          [Thread #3]      Running DIAMOND...
[1602775245.3955495]         [Thread #3]      Converting DIAMOND...
[1602775245.5170615]         [Thread #3]      Parsing DIAMOND...
[1602775245.6764913]         [Thread #3]      Annotating...
[1602775245.9111855]         [Thread #3]      Analyzing...
[1602775246.1427376]         [Thread #3]      Create read mapping...
[1602775261.953708]          [Thread #3]    - [Thread #3] finished
[1602775240.9560018]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602775240.9561102]         [Thread #4]      Creating output directories...
[1602775241.921371]          [Thread #4]      Translating reads...
[1602775261.859777]          [Thread #4]      Running DIAMOND...
[1602775267.7824762]         [Thread #4]      Converting DIAMOND...
[1602775267.9229488]         [Thread #4]      Parsing DIAMOND...
[1602775268.1952643]         [Thread #4]      Annotating...
[1602775268.5707781]         [Thread #4]      Analyzing...
[1602775268.8888412]         [Thread #4]      Create read mapping...
[1602775281.0253959]         [Thread #4]    - [Thread #4] finished
[1602775263.3003364]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602775263.3004212]         [Thread #5]      Creating output directories...
[1602775264.2146983]         [Thread #5]      Translating reads...
[1602775284.5028312]         [Thread #5]      Running DIAMOND...
[1602775290.4014006]         [Thread #5]      Converting DIAMOND...
[1602775290.5859828]         [Thread #5]      Parsing DIAMOND...
[1602775290.7482514]         [Thread #5]      Annotating...
[1602775291.1135993]         [Thread #5]      Analyzing...
[1602775291.4363394]         [Thread #5]      Create read mapping...
[1602775306.2612789]         [Thread #5]    - [Thread #5] finished
[1602775285.8729775]         [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602775285.8730626]         [Thread #6]      Creating output directories...
[1602775286.9160624]         [Thread #6]      Translating reads...
[1602775306.7343218]         [Thread #6]      Running DIAMOND...
[1602775312.4768734]         [Thread #6]      Converting DIAMOND...
[1602775312.5927699]         [Thread #6]      Parsing DIAMOND...
[1602775312.7844982]         [Thread #6]      Annotating...
[1602775313.1462693]         [Thread #6]      Analyzing...
[1602775313.4626522]         [Thread #6]      Create read mapping...
[1602775328.0547879]         [Thread #6]    - [Thread #6] finished
[1602775307.8346672]         [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602775307.8347542]         [Thread #7]      Creating output directories...
[1602775308.7653556]         [Thread #7]      Translating reads...
[1602775329.3584726]         [Thread #7]      Running DIAMOND...
[1602775335.0670674]         [Thread #7]      Converting DIAMOND...
[1602775335.1881313]         [Thread #7]      Parsing DIAMOND...
[1602775335.8895743]         [Thread #7]      Annotating...
[1602775336.2284162]         [Thread #7]      Analyzing...
[1602775336.2400303]         [Thread #7]      Create read mapping...
[1602775350.5404084]         [Thread #7]    - [Thread #7] finished
[1602775330.65094]           [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602775330.6510262]         [Thread #8]      Creating output directories...
[1602775331.6169214]         [Thread #8]      Translating reads...
[1602775350.504877]          [Thread #8]      Running DIAMOND...
[1602775356.1841176]         [Thread #8]      Converting DIAMOND...
[1602775356.3030937]         [Thread #8]      Parsing DIAMOND...
[1602775356.4571896]         [Thread #8]      Annotating...
[1602775356.8784518]         [Thread #8]      Analyzing...
[1602775357.186543]          [Thread #8]      Create read mapping...
[1602775372.8700507]         [Thread #8]    - [Thread #8] finished
[1602775351.9100392]         [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602775351.9101236]         [Thread #9]      Creating output directories...
[1602775352.8491976]         [Thread #9]      Translating reads...
[1602775372.7817278]         [Thread #9]      Running DIAMOND...
[1602775378.5666022]         [Thread #9]      Converting DIAMOND...
[1602775378.6707768]         [Thread #9]      Parsing DIAMOND...
