 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602774953.979942]      *** Running mifaser with up to 28 parallel thread(s)
[1602774995.685522]      *** Post-processing...
[1602770579.365668]      *** Input: Uncompressed file ERR599052_cut20M.fastq
[1602770579.3656905]         Converting ERR599052_cut20M.fastq from fastq to fasta format...
[1602770652.302788]          Getting input file statistics...
[1602770652.30292]           Input file size: 3371MB
[1602770664.0127676]         Input file reads: 20000000
[1602770665.935422]          [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602770665.935529]          [Thread #1]      Creating output directories...
[1602770665.9388833]         [Thread #1]      Translating reads...
[1602770681.5386498]         [Thread #1]      Running DIAMOND...
[1602770687.173341]          [Thread #1]      Converting DIAMOND...
[1602770687.2781782]         [Thread #1]      Parsing DIAMOND...
[1602770687.4153268]         [Thread #1]      Annotating...
[1602770687.8728495]         [Thread #1]      Analyzing...
[1602770687.8882902]         [Thread #1]      Create read mapping...
[1602770702.0910704]         [Thread #1]    - [Thread #1] finished
[1602770747.108992]          [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602770747.1090739]         [Thread #5]      Creating output directories...
[1602770747.1108036]         [Thread #5]      Translating reads...
[1602770766.834081]          [Thread #5]      Running DIAMOND...
[1602770772.4824562]         [Thread #5]      Converting DIAMOND...
[1602770772.587045]          [Thread #5]      Parsing DIAMOND...
[1602770772.7667432]         [Thread #5]      Annotating...
[1602770773.081731]          [Thread #5]      Analyzing...
[1602770773.3833628]         [Thread #5]      Create read mapping...
[1602770787.961171]          [Thread #5]    - [Thread #5] finished
[1602770834.8930418]         [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602770834.8931255]         [Thread #9]      Creating output directories...
[1602770834.8945386]         [Thread #9]      Translating reads...
[1602770853.923565]          [Thread #9]      Running DIAMOND...
[1602770859.5294924]         [Thread #9]      Converting DIAMOND...
[1602770859.6497371]         [Thread #9]      Parsing DIAMOND...
[1602770859.787746]          [Thread #9]      Annotating...
[1602770859.9610262]         [Thread #9]      Analyzing...
[1602770860.1878076]         [Thread #9]      Create read mapping...
[1602770875.9942815]         [Thread #9]    - [Thread #9] finished
[1602770878.1829538]         [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602770878.1830363]         [Thread #11]      Creating output directories...
[1602770878.1847417]         [Thread #11]      Translating reads...
[1602770897.5221221]         [Thread #11]      Running DIAMOND...
[1602770903.0557144]         [Thread #11]      Converting DIAMOND...
[1602770903.1753492]         [Thread #11]      Parsing DIAMOND...
[1602770903.3332565]         [Thread #11]      Annotating...
[1602770903.7668474]         [Thread #11]      Analyzing...
[1602770904.2154953]         [Thread #11]      Create read mapping...
[1602770918.7372556]         [Thread #11]    - [Thread #11] finished
[1602770899.7556357]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602770899.7557175]         [Thread #12]      Creating output directories...
[1602770899.7574382]         [Thread #12]      Translating reads...
[1602770918.717549]          [Thread #12]      Running DIAMOND...
[1602770924.301338]          [Thread #12]      Converting DIAMOND...
[1602770924.4175997]         [Thread #12]      Parsing DIAMOND...
[1602770924.5746372]         [Thread #12]      Annotating...
[1602770924.9871855]         [Thread #12]      Analyzing...
[1602770925.3002417]         [Thread #12]      Create read mapping...
[1602770940.4542694]         [Thread #12]    - [Thread #12] finished
[1602770920.9575512]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602770920.9576337]         [Thread #13]      Creating output directories...
[1602770920.9592927]         [Thread #13]      Translating reads...
[1602770940.380041]          [Thread #13]      Running DIAMOND...
[1602770946.2290475]         [Thread #13]      Converting DIAMOND...
[1602770946.3376389]         [Thread #13]      Parsing DIAMOND...
[1602770946.5119238]         [Thread #13]      Annotating...
[1602770946.8380866]         [Thread #13]      Analyzing...
[1602770947.0522857]         [Thread #13]      Create read mapping...
[1602770961.700602]          [Thread #13]    - [Thread #13] finished
[1602770942.616929]          [Thread #14]    - [Thread #14] running on [1/28] CPUs
[1602770942.6170104]         [Thread #14]      Creating output directories...
[1602770942.6189067]         [Thread #14]      Translating reads...
[1602770961.6312714]         [Thread #14]      Running DIAMOND...
[1602770967.2462165]         [Thread #14]      Converting DIAMOND...
[1602770967.351344]          [Thread #14]      Parsing DIAMOND...
[1602770967.4964015]         [Thread #14]      Annotating...
[1602770967.9056714]         [Thread #14]      Analyzing...
[1602770968.1853125]         [Thread #14]      Create read mapping...
[1602770983.1099856]         [Thread #14]    - [Thread #14] finished
[1602771007.3707523]         [Thread #17]    - [Thread #17] running on [1/28] CPUs
[1602771007.3707945]         [Thread #17]      Creating output directories...
[1602771007.372334]          [Thread #17]      Translating reads...
[1602771026.310725]          [Thread #17]      Running DIAMOND...
[1602771031.8894992]         [Thread #17]      Converting DIAMOND...
[1602771032.0143006]         [Thread #17]      Parsing DIAMOND...
[1602771032.1553252]         [Thread #17]      Annotating...
[1602771032.518427]          [Thread #17]      Analyzing...
[1602771032.9446921]         [Thread #17]      Create read mapping...
[1602771046.7403476]         [Thread #17]    - [Thread #17] finished
[1602771028.5721984]         [Thread #18]    - [Thread #18] running on [1/28] CPUs
[1602771028.5723534]         [Thread #18]      Creating output directories...
[1602771028.573995]          [Thread #18]      Translating reads...
[1602771047.2021852]         [Thread #18]      Running DIAMOND...
[1602771052.8783226]         [Thread #18]      Converting DIAMOND...
[1602771052.994474]          [Thread #18]      Parsing DIAMOND...
[1602771053.2117653]         [Thread #18]      Annotating...
[1602771053.624646]          [Thread #18]      Analyzing...
[1602771053.9397693]         [Thread #18]      Create read mapping...
[1602771067.775193]          [Thread #18]    - [Thread #18] finished
[1602771069.8377123]         [Thread #20]    - [Thread #20] running on [1/28] CPUs
[1602771069.8377924]         [Thread #20]      Creating output directories...
[1602771069.8395689]         [Thread #20]      Translating reads...
[1602771089.8810403]         [Thread #20]      Running DIAMOND...
[1602771095.4035504]         [Thread #20]      Converting DIAMOND...
[1602771095.6365128]         [Thread #20]      Parsing DIAMOND...
[1602771095.7970483]         [Thread #20]      Annotating...
[1602771095.993538]          [Thread #20]      Analyzing...
[1602771096.14684]           [Thread #20]      Create read mapping...
[1602771111.1124423]         [Thread #20]    - [Thread #20] finished
[1602771113.2966938]         [Thread #22]    - [Thread #22] running on [1/28] CPUs
[1602771113.2967663]         [Thread #22]      Creating output directories...
[1602771113.2982466]         [Thread #22]      Translating reads...
[1602771131.8336062]         [Thread #22]      Running DIAMOND...
[1602771137.3891706]         [Thread #22]      Converting DIAMOND...
[1602771137.5245936]         [Thread #22]      Parsing DIAMOND...
[1602771137.6627014]         [Thread #22]      Annotating...
[1602771137.836796]          [Thread #22]      Analyzing...
[1602771138.0290055]         [Thread #22]      Create read mapping...
[1602771153.7959383]         [Thread #22]    - [Thread #22] finished
[1602771155.8490283]         [Thread #24]    - [Thread #24] running on [1/28] CPUs
[1602771155.8490772]         [Thread #24]      Creating output directories...
[1602771155.8506973]         [Thread #24]      Translating reads...
[1602771174.7468712]         [Thread #24]      Running DIAMOND...
[1602771180.398509]          [Thread #24]      Converting DIAMOND...
[1602771180.5086699]         [Thread #24]      Parsing DIAMOND...
[1602771180.649342]          [Thread #24]      Annotating...
[1602771180.9076703]         [Thread #24]      Analyzing...
[1602771181.1561513]         [Thread #24]      Create read mapping...
[1602771196.7685122]         [Thread #24]    - [Thread #24] finished
[1602771177.0896997]         [Thread #25]    - [Thread #25] running on [1/28] CPUs
[1602771177.0897818]         [Thread #25]      Creating output directories...
[1602771177.091256]          [Thread #25]      Translating reads...
[1602771196.71146]           [Thread #25]      Running DIAMOND...
[1602771202.4611406]         [Thread #25]      Converting DIAMOND...
[1602771202.588882]          [Thread #25]      Parsing DIAMOND...
[1602771202.8026907]         [Thread #25]      Annotating...
[1602771203.155001]          [Thread #25]      Analyzing...
[1602771203.445752]          [Thread #25]      Create read mapping...
[1602771217.8417447]         [Thread #25]    - [Thread #25] finished
[1602771198.9539328]         [Thread #26]    - [Thread #26] running on [1/28] CPUs
[1602771198.9540157]         [Thread #26]      Creating output directories...
[1602771198.9568026]         [Thread #26]      Translating reads...
[1602771217.7965426]         [Thread #26]      Running DIAMOND...
[1602771223.4713514]         [Thread #26]      Converting DIAMOND...
[1602771223.604522]          [Thread #26]      Parsing DIAMOND...
[1602771223.7676337]         [Thread #26]      Annotating...
[1602771224.003556]          [Thread #26]      Analyzing...
[1602771224.3556437]         [Thread #26]      Create read mapping...
[1602771239.5391119]         [Thread #26]    - [Thread #26] finished
[1602771241.6663795]         [Thread #28]    - [Thread #28] running on [1/28] CPUs
