 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602784605.568462]      *** Running mifaser with up to 28 parallel thread(s)
[1602789073.982494]      *** Post-processing...
[1602784605.5692]        *** Input: Uncompressed file ERR599105_cut20M.fastq
[1602784605.569224]          Converting ERR599105_cut20M.fastq from fastq to fasta format...
[1602784678.5248592]         Getting input file statistics...
[1602784678.526579]          Input file size: 3418MB
[1602784690.1875844]         Input file reads: 20000000
[1602784692.1754115]         [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602784692.1755123]         [Thread #1]      Creating output directories...
[1602784692.1786761]         [Thread #1]      Translating reads...
[1602784707.6418009]         [Thread #1]      Running DIAMOND...
[1602784713.3352504]         [Thread #1]      Converting DIAMOND...
[1602784713.4425192]         [Thread #1]      Parsing DIAMOND...
[1602784713.6048944]         [Thread #1]      Annotating...
[1602784713.7212205]         [Thread #1]      Analyzing...
[1602784713.9518223]         [Thread #1]      Create read mapping...
[1602784729.650681]          [Thread #1]    - [Thread #1] finished
[1602784709.892373]          [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602784709.8924603]         [Thread #2]      Creating output directories...
[1602784709.8945014]         [Thread #2]      Translating reads...
[1602784729.5731456]         [Thread #2]      Running DIAMOND...
[1602784735.308101]          [Thread #2]      Converting DIAMOND...
[1602784735.4082038]         [Thread #2]      Parsing DIAMOND...
[1602784735.5627868]         [Thread #2]      Annotating...
[1602784735.881249]          [Thread #2]      Analyzing...
[1602784736.167062]          [Thread #2]      Create read mapping...
[1602784750.3435328]         [Thread #2]    - [Thread #2] finished
[1602784731.92399]           [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602784731.9240348]         [Thread #3]      Creating output directories...
[1602784731.9257257]         [Thread #3]      Translating reads...
[1602784751.3186567]         [Thread #3]      Running DIAMOND...
[1602784757.0848598]         [Thread #3]      Converting DIAMOND...
[1602784757.2035112]         [Thread #3]      Parsing DIAMOND...
[1602784757.3287797]         [Thread #3]      Annotating...
[1602784757.465802]          [Thread #3]      Analyzing...
[1602784757.7518005]         [Thread #3]      Create read mapping...
[1602784772.6310825]         [Thread #3]    - [Thread #3] finished
[1602784753.477816]          [Thread #4]    - [Thread #4] running on [1/28] CPUs
