 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602774789.519044]      *** Running mifaser with up to 28 parallel thread(s)
[1602774834.43377]       *** Post-processing...
[1602770518.0536828]     *** Input: Uncompressed file ERR599115_cut20M.fastq
[1602770518.053708]          Converting ERR599115_cut20M.fastq from fastq to fasta format...
[1602770592.3252852]         Getting input file statistics...
[1602770592.3268402]         Input file size: 3351MB
[1602770604.9199338]         Input file reads: 20000000
[1602770624.2367578]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602770624.2368455]         [Thread #2]      Creating output directories...
[1602770624.2408478]         [Thread #2]      Translating reads...
[1602770642.6140943]         [Thread #2]      Running DIAMOND...
[1602770648.7845333]         [Thread #2]      Converting DIAMOND...
[1602770648.8678553]         [Thread #2]      Parsing DIAMOND...
[1602770649.1227422]         [Thread #2]      Annotating...
[1602770649.355793]          [Thread #2]      Analyzing...
[1602770649.5555022]         [Thread #2]      Create read mapping...
[1602770663.7331874]         [Thread #2]    - [Thread #2] finished
[1602770644.923197]          [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602770644.9232821]         [Thread #3]      Creating output directories...
[1602770644.9264936]         [Thread #3]      Translating reads...
[1602770663.4524257]         [Thread #3]      Running DIAMOND...
[1602770669.6317906]         [Thread #3]      Converting DIAMOND...
[1602770669.7345924]         [Thread #3]      Parsing DIAMOND...
[1602770669.8937764]         [Thread #3]      Annotating...
[1602770670.1589675]         [Thread #3]      Analyzing...
[1602770670.2898428]         [Thread #3]      Create read mapping...
[1602770684.701755]          [Thread #3]    - [Thread #3] finished
[1602770665.7175457]         [Thread #4]    - [Thread #4] running on [1/28] CPUs
[1602770665.717627]          [Thread #4]      Creating output directories...
[1602770665.7211573]         [Thread #4]      Translating reads...
[1602770684.6341429]         [Thread #4]      Running DIAMOND...
[1602770691.1242378]         [Thread #4]      Converting DIAMOND...
[1602770691.228319]          [Thread #4]      Parsing DIAMOND...
[1602770691.4006052]         [Thread #4]      Annotating...
[1602770691.5478563]         [Thread #4]      Analyzing...
[1602770691.6733146]         [Thread #4]      Create read mapping...
[1602770706.2132704]         [Thread #4]    - [Thread #4] finished
[1602770708.203777]          [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602770708.203865]          [Thread #6]      Creating output directories...
[1602770708.2335114]         [Thread #6]      Translating reads...
[1602770726.8586211]         [Thread #6]      Running DIAMOND...
[1602770733.0503304]         [Thread #6]      Converting DIAMOND...
[1602770733.1479354]         [Thread #6]      Parsing DIAMOND...
[1602770733.3058672]         [Thread #6]      Annotating...
[1602770733.4591825]         [Thread #6]      Analyzing...
[1602770733.7451003]         [Thread #6]      Create read mapping...
[1602770747.978504]          [Thread #6]    - [Thread #6] finished
[1602770771.254352]          [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602770771.2544324]         [Thread #9]      Creating output directories...
[1602770771.2578886]         [Thread #9]      Translating reads...
[1602770789.615559]          [Thread #9]      Running DIAMOND...
[1602770795.8093584]         [Thread #9]      Converting DIAMOND...
[1602770795.9238858]         [Thread #9]      Parsing DIAMOND...
[1602770796.123209]          [Thread #9]      Annotating...
[1602770796.2000825]         [Thread #9]      Analyzing...
[1602770796.5013115]         [Thread #9]      Create read mapping...
[1602770810.3958728]         [Thread #9]    - [Thread #9] finished
[1602770791.8102171]         [Thread #10]    - [Thread #10] running on [1/28] CPUs
[1602770791.8102994]         [Thread #10]      Creating output directories...
[1602770791.8134253]         [Thread #10]      Translating reads...
[1602770810.3372793]         [Thread #10]      Running DIAMOND...
[1602770816.5159004]         [Thread #10]      Converting DIAMOND...
[1602770816.599602]          [Thread #10]      Parsing DIAMOND...
[1602770816.7207816]         [Thread #10]      Annotating...
[1602770816.8536336]         [Thread #10]      Analyzing...
[1602770816.8642373]         [Thread #10]      Create read mapping...
[1602770831.2836347]         [Thread #10]    - [Thread #10] finished
[1602770812.529368]          [Thread #11]    - [Thread #11] running on [1/28] CPUs
[1602770812.5294485]         [Thread #11]      Creating output directories...
[1602770812.532253]          [Thread #11]      Translating reads...
[1602770831.210535]          [Thread #11]      Running DIAMOND...
[1602770837.369479]          [Thread #11]      Converting DIAMOND...
[1602770837.46841]           [Thread #11]      Parsing DIAMOND...
[1602770837.617548]          [Thread #11]      Annotating...
[1602770837.8292465]         [Thread #11]      Analyzing...
[1602770837.8714418]         [Thread #11]      Create read mapping...
[1602770852.142009]          [Thread #11]    - [Thread #11] finished
[1602770833.4559724]         [Thread #12]    - [Thread #12] running on [1/28] CPUs
[1602770833.4560142]         [Thread #12]      Creating output directories...
[1602770833.4588482]         [Thread #12]      Translating reads...
[1602770852.1154203]         [Thread #12]      Running DIAMOND...
[1602770858.385257]          [Thread #12]      Converting DIAMOND...
[1602770858.479414]          [Thread #12]      Parsing DIAMOND...
[1602770858.6200075]         [Thread #12]      Annotating...
[1602770858.714456]          [Thread #12]      Analyzing...
[1602770858.7922196]         [Thread #12]      Create read mapping...
[1602770872.9804442]         [Thread #12]    - [Thread #12] finished
[1602770854.2580142]         [Thread #13]    - [Thread #13] running on [1/28] CPUs
[1602770854.258096]          [Thread #13]      Creating output directories...
[1602770854.2614484]         [Thread #13]      Translating reads...
