 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602789296.513749]      *** Running mifaser with up to 28 parallel thread(s)
[1602793753.406911]      *** Post-processing...
[1602789296.514449]      *** Input: Uncompressed file ERR599125_cut20M.fastq
[1602789296.51447]           Converting ERR599125_cut20M.fastq from fastq to fasta format...
[1602789374.4383836]         Getting input file statistics...
[1602789374.4393752]         Input file size: 3407MB
[1602789386.709972]          Input file reads: 20000000
[1602789388.9258966]         [Thread #1]    - [Thread #1] running on [1/28] CPUs
[1602789388.9259849]         [Thread #1]      Creating output directories...
[1602789388.9304852]         [Thread #1]      Translating reads...
[1602789404.7231154]         [Thread #1]      Running DIAMOND...
[1602789410.7339447]         [Thread #1]      Converting DIAMOND...
[1602789410.8248646]         [Thread #1]      Parsing DIAMOND...
[1602789411.1166425]         [Thread #1]      Annotating...
[1602789411.3206115]         [Thread #1]      Analyzing...
[1602789411.4941308]         [Thread #1]      Create read mapping...
[1602789426.510521]          [Thread #1]    - [Thread #1] finished
[1602789406.7891195]         [Thread #2]    - [Thread #2] running on [1/28] CPUs
[1602789406.7892056]         [Thread #2]      Creating output directories...
[1602789406.7912974]         [Thread #2]      Translating reads...
[1602789426.4463649]         [Thread #2]      Running DIAMOND...
[1602789432.5261889]         [Thread #2]      Converting DIAMOND...
[1602789432.6138985]         [Thread #2]      Parsing DIAMOND...
[1602789432.787662]          [Thread #2]      Annotating...
[1602789432.916283]          [Thread #2]      Analyzing...
[1602789433.1964386]         [Thread #2]      Create read mapping...
[1602789448.889196]          [Thread #2]    - [Thread #2] finished
[1602789428.740769]          [Thread #3]    - [Thread #3] running on [1/28] CPUs
[1602789428.740855]          [Thread #3]      Creating output directories...
[1602789428.7425644]         [Thread #3]      Translating reads...
[1602789448.869378]          [Thread #3]      Running DIAMOND...
[1602789454.913012]          [Thread #3]      Converting DIAMOND...
[1602789455.0054953]         [Thread #3]      Parsing DIAMOND...
[1602789455.187913]          [Thread #3]      Annotating...
[1602789455.333718]          [Thread #3]      Analyzing...
[1602789455.570527]          [Thread #3]      Create read mapping...
[1602789472.4560578]         [Thread #3]    - [Thread #3] finished
