EC number,accuracy,seqsim
1.14.-.-,0.31,9.691313131313132
1.5.99.14,0.5,22.396363636363635
1.1.1.271,0.53,16.26909090909091
1.20.4.1,0.21,25.32141414141414
1.11.1.-,0.19,20.38161616161616
1.1.1.175,0.86,26.503673469387756
1.6.5.6,0.84,23.27591836734694
1.14.14.-,0.34,13.558367346938775
1.14.13.113,0.63,12.657171717171718
1.2.1.10,0.85,16.36080808080808
1.14.11.44,0.51,17.69818181818182
1.14.12.17,0.62,11.78969696969697
5.1.1.-; 1.-.-.-,0.24,8.88326530612245
1.2.1.38,0.89,9.458989898989898
1.1.3.45; 1.3.3.14,0.36,13.421224489795918
1.7.2.4,0.66,12.266262626262627
1.4.3.16,0.67,10.589494949494949
1.1.1.1; 1.2.1.3,0.36,12.246060606060606
1.1.5.4,0.89,10.106060606060606
1.6.5.11,0.11,14.903030303030302
1.10.3.9,0.95,12.670909090909092
1.14.12.18,0.57,23.39757575757576
1.3.98.1,0.52,14.581224489795918
1.1.1.50,0.76,19.899591836734693
1.8.1.2,0.73,10.304040404040403
1.14.12.10,0.47,22.3620202020202
1.3.4.1,0.34,14.602020202020203
1.2.1.3,0.89,12.614141414141415
1.3.7.15,0.44,10.37858585858586
1.2.4.4,0.25,17.292323232323234
1.14.15.3,0.52,15.886262626262626
1.4.1.13,0.42,9.574747474747475
1.1.1.309,0.41,18.166060606060608
1.11.1.23,0.36,22.345306122448978
1.97.1.-,0.42,16.98868686868687
1.4.4.2,0.86,8.95010101010101
1.3.7.11,0.32,14.670204081632653
1.3.1.-; 1.3.1.91,0.67,11.18
1.2.7.11,0.26,10.07979797979798
1.14.99.53,0.2,24.547755102040817
1.1.1.100,0.92,12.63858585858586
1.14.11.36,0.65,17.584242424242426
1.2.-.-,0.53,14.052727272727273
1.4.1.3,0.76,13.405656565656566
1.17.7.4,0.82,9.188080808080809
1.8.4.11; 1.8.4.12,0.78,17.782040816326532
1.1.1.267,0.81,9.734747474747476
1.18.6.1,0.85,10.527878787878787
1.14.12.13,0.18,23.224489795918366
1.17.9.1,0.43,13.789090909090909
1.3.3.11,0.71,13.586060606060606
1.14.18.1,0.54,16.016767676767678
1.2.1.12,0.96,14.334747474747475
1.4.1.-,0.81,12.505050505050505
1.14.13.167,0.56,14.308571428571428
1.3.5.1,0.43,13.777777777777779
1.14.99.57,0.45,31.91030303030303
1.1.1.-; 1.1.1.24,0.58,17.18969696969697
1.13.11.54; 1.13.11.53,0.52,11.47010101010101
1.3.5.2,0.94,11.065858585858585
1.13.11.15,0.54,17.904489795918366
1.14.12.1,0.3,16.48181818181818
