EC number,accuracy,bit_score,num_matches,alignment_length,percent_identity
1.1.1.22,0.66,926.2,1127.6,1321.8,0.8530394490950515
,,,,,
1.5.1.5; 3.5.4.9,0.9468468468468468,41.888444698267655,475.2549019607843,875.2804111936036,0.5440476967968609
1.5.99.13,0.52,,,,
1.2.7.1,0.59,762.0,957.0,1152.0,0.8307291666666666
1.14.99.57,0.48,318.0,318.0,318.0,1.0
1.2.5.2,0.6,,,,
1.17.1.8,0.9213698630136986,-76.770412642669,388.5421422300264,805.0460930640912,0.4836717154904983
1.7.99.1,0.8180952380952381,236.07619047619045,998.4095238095238,1704.9,0.5862625253774705
1.1.5.2,0.3,,,,
1.1.1.95,0.58,,,,
1.2.1.3,0.8384615384615385,869.4102564102565,1198.1282051282049,1501.0,0.8011758907518097
1.3.1.108,0.3,,,,
1.3.5.1,0.4342857142857143,102.66666666666669,457.66666666666674,770.6666666666665,0.6012690810592202
1.17.99.6,0.86,,,,
1.14.13.2,0.49,,,,
1.1.1.127,0.97,,,,
1.1.1.47,0.92,,,,
1.1.1.90,0.51,,,,
1.17.5.2,0.62,,,,
1.1.1.37,0.9589189189189188,76.66788990825687,561.6862385321101,995.0165137614681,0.5651627380263258
1.5.98.1,0.6653333333333333,203.51282051282055,533.7820512820513,841.5512820512822,0.6348319214793189
1.1.1.290,0.8140000000000001,-149.04444444444445,566.2,1197.8444444444444,0.4732936134114061
1.14.14.-,0.48,,,,
1.14.12.13,0.22,,,,
1.1.1.309,0.4866666666666667,,,,
1.13.11.16,0.8636363636363636,309.3333333333333,637.2666666666668,950.2,0.6707135251191366
1.1.1.27,0.7942857142857143,10.666666666666666,504.0,955.3333333333335,0.5282863996244472
1.14.15.35,0.7533333333333333,,,,
1.12.98.3,0.205,-571.0,479.3,1435.1,0.3777671758136999
1.1.1.3,0.336,308.6666666666667,818.3333333333335,1292.0,0.6366908173085654
1.3.1.25,0.76,,,,
1.-.-.-; 1.5.1.34,0.596,,,,
1.12.2.1,0.66,471.33333333333326,1189.6666666666667,1749.0,0.6802943012046345
1.1.1.18,0.6,,,,
1.7.1.13,0.8556521739130435,-204.6878787878788,227.7525252525253,616.7565656565656,0.4009318828637341
1.1.1.36,0.8866666666666667,-31.0,364.0,741.0,0.4912280701754386
1.10.3.-,0.3942857142857143,-634.8333333333334,333.6666666666667,1164.1666666666667,0.2919416879775711
1.14.11.36,0.76,727.0,818.0,900.0,0.9088888888888887
1.8.4.11; 1.8.4.12,0.84,,,,
1.17.1.-,0.5511111111111111,976.0,983.0,990.0,0.9929292929292928
1.14.15.15,0.74,,,,
1.13.11.27,0.425,1045.0,1046.0,1047.0,0.9990448901623686
1.13.11.11,0.8181818181818182,315.32727272727266,699.6909090909091,1042.3272727272729,0.6959885219589468
1.7.2.7,0.3,,,,
1.7.2.2,0.8733333333333333,361.66666666666674,953.0,1499.333333333333,0.6354152643926092
1.8.7.3; 1.8.98.4,0.36,,,,
1.14.12.-,0.46,,,,
1.3.1.14,0.84,,,,
1.8.5.5,0.5533333333333333,,,,
1.14.13.-,0.6633333333333333,-95.9,825.5,1630.8,0.5218969062217637
1.14.11.36; 1.14.11.-,0.42,,,,
1.3.1.-,0.67,-183.83636363636364,507.4909090909091,1106.5272727272727,0.4682462280981991
1.7.1.15,0.9833333333333332,323.0,325.0,327.0,0.9938837920489296
1.2.1.10,0.92,,,,
1.14.14.18,0.41,,,,
1.5.1.36,0.46,,,,
1.1.1.175,0.86,,,,
1.17.4.1,0.8254545454545454,439.26666666666665,715.9333333333333,974.6,0.7345798357078089
1.1.1.407,0.56,,,,
1.8.5.-,0.92,453.8181818181818,750.4743083003953,1024.505928853755,0.7352232923915369
1.1.5.12,0.42,,,,
1.3.4.1,0.38,,,,
1.14.12.3; 1.14.12.11,0.5933333333333334,564.0,564.0,564.0,1.0
1.1.1.346,0.86,260.0,552.0,832.0,0.6635705928011214
1.12.7.2,0.46,,,,
1.3.7.3,0.36615384615384616,162.36363636363637,474.7272727272728,780.0545454545454,0.6087388558479564
1.3.5.2,0.9117241379310344,234.96305418719209,665.667487684729,1068.795566502463,0.6241246006592447
1.3.1.34,0.72,,,,
1.1.1.362,0.94,,,,
1.2.1.41,0.8413888888888889,-61.45961369622476,650.1716417910447,1320.6233538191395,0.4930233790462358
1.5.5.2,0.345,226.66666666666663,581.3333333333334,921.0,0.6323705438459536
1.12.99.-,0.5333333333333333,39.0,766.0,1433.0,0.5343690524226771
1.14.13.220,0.62,,,,
1.1.1.86,0.9704166666666668,220.54067321178118,625.778167367929,1015.9294062646097,0.6163605366055223
1.8.98.-,0.64,,,,
1.14.12.10,0.17,,,,
1.14.11.-,0.8278048780487804,84.17840054682159,411.0321257689679,714.4169514695832,0.5848246140272652
1.1.1.203,0.48,346.0,596.0,828.0,0.7198067632850241
1.14.15.3,0.4533333333333333,,,,
1.1.1.377,0.5,,,,
1.1.1.25,0.8781176470588236,-102.46281240590186,408.0873230954532,858.4938271604939,0.4770288528268181
1.11.1.15,0.825,-102.5225576111652,244.40506329113927,548.8886725089257,0.4467361785041493
1.1.1.11,0.6,244.0,829.0,1396.0,0.5938728150231036
1.15.1.1,0.9557894736842104,-102.98333333333332,284.325,622.7333333333332,0.4599069949265359
1.1.3.45; 1.3.3.14,0.32,,,,
1.13.11.3,0.88,,,,
1.7.7.1,0.5,,,,
1.2.4.1,0.4761904761904762,-370.0571428571429,756.2952380952382,1768.8190476190475,0.5266174928761492
1.5.1.42,0.76,,,,
1.2.4.4,0.29,1070.0,1087.0,1104.0,0.9846014492753624
1.2.1.67,0.76,,,,
5.1.1.-; 1.-.-.-,0.24,,,,
1.14.12.15,0.49,1212.0,1227.0,1242.0,0.9879227053140096
1.1.1.1; 1.2.1.3,0.4733333333333333,,,,
