epoch,train_loss,valid_loss,accuracy,time
0,0.537587,0.912152,0.561804,00:42
1,0.526481,0.824892,0.572940,00:42
2,0.519794,0.851246,0.569599,00:42
3,0.517246,0.753561,0.584354,00:42
4,0.511167,0.835814,0.584076,00:42
5,0.500568,0.816823,0.588252,00:42
6,0.490257,0.831416,0.583519,00:42
7,0.492051,0.845654,0.581292,00:42
8,0.482288,0.818303,0.584911,00:42
9,0.484705,0.838235,0.586860,00:42
epoch,train_loss,valid_loss,accuracy,time
0,0.544879,0.927353,0.561804,00:43
1,0.531117,0.833629,0.572940,00:42
2,0.527280,0.865987,0.569599,00:42
3,0.523675,0.739778,0.584354,00:42
4,0.512843,0.833693,0.584076,00:42
5,0.503793,0.816202,0.588252,00:42
6,0.491883,0.832213,0.583519,00:42
7,0.485223,0.851203,0.581292,00:42
8,0.486831,0.822459,0.584911,00:42
9,0.482524,0.842878,0.586860,00:42
epoch,train_loss,valid_loss,accuracy,time
0,0.470449,0.878176,0.581013,00:45
1,0.435829,1.041320,0.570156,00:45
2,0.400014,1.074593,0.577116,00:45
3,0.348763,1.165831,0.570156,00:46
4,0.335037,1.227034,0.569878,00:46
epoch,train_loss,valid_loss,accuracy,time
0,0.474998,0.896618,0.581013,00:45
1,0.436520,1.079923,0.570156,00:45
2,0.391035,1.105133,0.577116,00:45
3,0.351448,1.202653,0.570156,00:46
4,0.333949,1.266480,0.569878,00:46
epoch,train_loss,valid_loss,accuracy,time
0,0.330068,1.167239,0.574053,01:17
1,0.303619,1.197913,0.576002,01:17
2,0.268558,1.310200,0.576837,01:17
3,0.246293,1.370224,0.577394,01:17
4,0.238437,1.391199,0.574889,01:17
epoch,train_loss,valid_loss,accuracy,time
0,0.333725,1.208045,0.574053,01:17
1,0.314836,1.239296,0.576002,01:17
2,0.277379,1.359703,0.576837,01:17
3,0.245793,1.416685,0.577394,01:17
4,0.234465,1.438208,0.574889,01:16
epoch,train_loss,valid_loss,accuracy,time
0,0.233568,1.396895,0.573497,01:36
1,0.225653,1.510392,0.581292,01:36
2,0.203604,1.541390,0.581849,01:36
3,0.191152,1.605499,0.585189,01:36
4,0.181306,1.660944,0.583797,01:36
epoch,train_loss,valid_loss,accuracy,time
0,0.248992,1.448696,0.573497,01:36
1,0.224269,1.570614,0.581292,01:36
2,0.214757,1.607741,0.581849,01:36
3,0.211974,1.666854,0.585189,01:36
4,0.207235,1.723039,0.583797,01:36
epoch,train_loss,valid_loss,accuracy,time
0,0.549627,0.768029,0.583797,00:41
1,0.528076,0.870386,0.562361,00:41
2,0.521945,0.817775,0.555958,00:41
3,0.516944,0.762974,0.574332,00:41
4,0.516695,0.846863,0.573497,00:41
5,0.518923,0.823378,0.568485,00:41
6,0.509622,0.811715,0.572383,00:41
7,0.503361,0.788560,0.566815,00:41
8,0.509346,0.764160,0.576837,00:41
9,0.501968,0.878744,0.585189,00:41
10,0.499274,0.853893,0.573497,00:41
11,0.490802,0.916266,0.579621,00:41
12,0.493274,0.864247,0.570156,00:41
13,0.490068,0.832791,0.567929,00:41
14,0.479200,0.884210,0.578786,00:41
15,0.468290,0.918834,0.574889,00:41
16,0.474519,0.937407,0.573218,00:41
17,0.478119,0.918050,0.574610,00:41
18,0.473455,0.926918,0.575167,00:41
19,0.473383,0.929954,0.577116,00:41
epoch,train_loss,valid_loss,accuracy,time
0,0.546492,0.767887,0.583797,00:41
1,0.532237,0.889563,0.562361,00:41
2,0.525177,0.825910,0.555958,00:41
3,0.519515,0.755205,0.574332,00:41
4,0.514348,0.843355,0.573497,00:41
5,0.515854,0.829041,0.568485,00:41
6,0.511159,0.795909,0.572383,00:41
7,0.501396,0.785221,0.566815,00:41
8,0.507531,0.758326,0.576837,00:41
9,0.502580,0.883787,0.585189,00:41
10,0.496399,0.866250,0.573497,00:41
11,0.491904,0.930769,0.579621,00:41
12,0.494678,0.871441,0.570156,00:41
13,0.488106,0.845021,0.567929,00:41
14,0.482934,0.895465,0.578786,00:41
15,0.477776,0.930696,0.574889,00:41
16,0.467737,0.953335,0.573218,00:41
17,0.471716,0.933665,0.574610,00:41
18,0.473289,0.941890,0.575167,00:41
19,0.469756,0.943844,0.577116,00:41
epoch,train_loss,valid_loss,accuracy,time
0,0.468981,0.939358,0.579621,00:44
1,0.453766,0.983101,0.576002,00:44
2,0.433313,1.013754,0.577116,00:44
3,0.417474,1.027949,0.576002,00:44
4,0.391133,1.075868,0.579621,00:44
5,0.355594,1.182016,0.572940,00:44
6,0.320726,1.344944,0.571548,00:44
7,0.286844,1.461541,0.565702,00:44
8,0.277552,1.373488,0.551503,00:44
9,0.232886,1.446225,0.564310,00:44
10,0.218700,1.618360,0.562361,00:44
11,0.195626,1.719659,0.565702,00:44
12,0.169062,1.828445,0.563196,00:44
13,0.147500,1.870796,0.565423,00:44
14,0.140672,1.750693,0.567929,00:44
15,0.136887,1.857155,0.567929,00:44
16,0.122658,1.997242,0.574889,00:44
17,0.119227,1.994463,0.573218,00:44
18,0.122563,2.046131,0.571548,00:44
19,0.118291,1.985723,0.572105,00:44
epoch,train_loss,valid_loss,accuracy,time
0,0.465800,0.959173,0.579621,00:44
1,0.459882,1.013792,0.576002,00:44
2,0.441856,1.038984,0.577116,00:44
3,0.421103,1.073734,0.576002,00:44
4,0.399745,1.127376,0.579621,00:44
5,0.363001,1.265139,0.572940,00:44
6,0.324827,1.391880,0.571548,00:44
7,0.295472,1.528578,0.565702,00:44
8,0.259018,1.426240,0.551503,00:44
9,0.240627,1.510745,0.564310,00:44
10,0.212223,1.698829,0.562361,00:44
11,0.193970,1.788818,0.565702,00:44
12,0.178008,1.898311,0.563196,00:44
