epoch,train_loss,valid_loss,accuracy,time
0,7.598710,#na#,01:32
epoch,train_loss,valid_loss,accuracy,time
0,7.600203,#na#,01:32
epoch,train_loss,valid_loss,accuracy,time
0,7.049192,7.039359,0.000915,10:30
1,7.068662,7.062666,0.000768,10:31
2,6.961413,7.235985,0.000895,10:33
3,6.723424,7.508470,0.000963,10:33
4,6.559102,7.683857,0.000924,10:34
5,6.256375,7.947536,0.000885,10:33
6,6.226533,8.126920,0.000885,10:34
7,5.954547,8.413730,0.000856,10:34
8,5.890281,8.609551,0.000851,10:35
9,5.831790,8.739079,0.000861,10:31
10,5.976864,8.652422,0.000856,10:34
11,6.016181,8.651108,0.000910,10:35
12,5.916722,8.700619,0.000817,10:34
13,5.867494,9.080071,0.000846,10:34
14,5.799525,9.024446,0.000587,10:28
15,5.801869,9.121002,0.000963,10:33
16,5.846461,9.217338,0.000880,10:35
17,5.875477,9.075863,0.000885,10:29
18,5.899702,9.063624,0.000890,10:30
19,5.912586,9.252732,0.000797,10:36
20,5.953145,9.268379,0.000875,10:35
21,6.032663,9.205129,0.000812,10:33
22,6.145518,9.143541,0.000905,10:36
23,6.282656,9.017661,0.000895,10:35
24,6.437820,8.766369,0.001012,10:34
25,6.623367,8.395536,0.000900,10:31
26,6.951914,7.921676,0.000890,10:35
27,7.444510,7.521235,0.000978,10:34
28,7.643459,7.342349,0.000890,10:35
29,7.564419,7.323154,0.000895,10:37
epoch,train_loss,valid_loss,accuracy,time
0,7.078500,7.038139,0.000915,10:30
1,7.089633,7.062823,0.000768,10:31
2,7.004856,7.234570,0.000895,10:33
3,6.800659,7.508912,0.000963,10:33
4,6.650303,7.684704,0.000924,10:34
5,6.377076,7.948184,0.000885,10:33
6,6.432872,8.127982,0.000885,10:34
7,6.194147,8.414062,0.000856,10:34
8,6.150503,8.610011,0.000851,10:35
9,6.086512,8.738789,0.000861,10:31
10,6.139467,8.652405,0.000856,10:34
11,6.187617,8.650311,0.000910,10:34
12,6.057655,8.697934,0.000817,10:34
13,6.080088,9.070251,0.000846,10:34
14,6.023097,9.017102,0.000587,10:28
15,6.044133,9.112596,0.000963,10:33
16,6.085558,9.216136,0.000880,10:35
17,6.115149,9.069180,0.000885,10:29
18,6.122002,9.059507,0.000890,10:30
19,6.090241,9.242302,0.000797,10:35
20,6.088053,9.254422,0.000875,10:35
21,6.115568,9.202309,0.000812,10:33
22,6.163520,9.140193,0.000905,10:36
23,6.237689,9.013972,0.000895,10:35
24,6.313046,8.764716,0.001012,10:34
25,6.374402,8.394262,0.000900,10:31
26,6.522007,7.920569,0.000890,10:35
27,6.816967,7.519917,0.000978,10:34
28,6.977031,7.340811,0.000890,10:35
29,6.935600,7.321500,0.000895,10:36
epoch,train_loss,valid_loss,accuracy,time
0,7.724648,#na#,01:28
epoch,train_loss,valid_loss,accuracy,time
0,7.728574,#na#,01:31
epoch,train_loss,valid_loss,accuracy,time
0,7.786689,#na#,01:33
epoch,train_loss,valid_loss,accuracy,time
0,7.694000,#na#,01:41
