epoch,train_loss,valid_loss,accuracy,time
0,9.292411,#na#,03:02
epoch,train_loss,valid_loss,accuracy,time
0,3.154669,2.714903,0.521695,18:05
1,3.133505,2.700840,0.527814,17:45
2,3.199368,2.714527,0.522034,18:12
3,3.204459,2.710531,0.523937,17:29
4,3.052042,2.663325,0.531751,17:33
5,3.183703,2.655466,0.531332,17:27
6,3.133586,2.611415,0.539062,17:26
7,2.929938,2.564932,0.545646,18:37
8,2.951083,2.537114,0.549857,18:13
9,2.938443,2.529846,0.551449,18:40
epoch,train_loss,valid_loss,accuracy,time
0,2.714740,2.366327,0.574590,19:03
1,2.629879,2.258020,0.592202,20:16
2,2.797545,2.226489,0.599861,19:11
3,2.744017,2.169167,0.608122,18:32
4,2.616559,2.110654,0.618277,20:14
5,2.656432,2.069689,0.626431,18:46
6,2.485743,2.010695,0.637109,19:49
7,2.410316,1.971429,0.642525,18:45
8,2.358437,1.956531,0.646152,20:18
9,2.321234,1.952818,0.647132,18:48
epoch,train_loss,valid_loss,accuracy,time
0,2.260111,1.867124,0.661931,35:08
1,2.161119,1.719379,0.688134,32:08
2,2.019339,1.579244,0.712165,34:51
3,1.797375,1.455183,0.733573,31:48
4,1.721431,1.355797,0.752141,32:16
5,1.547660,1.269244,0.767298,34:46
6,1.419074,1.201056,0.780548,32:26
7,1.291565,1.155791,0.788810,35:44
8,1.281866,1.133637,0.792813,33:11
9,1.264608,1.130753,0.793595,32:06
epoch,train_loss,valid_loss,accuracy,time
0,1.173875,1.128555,0.793557,42:19
1,1.153112,1.117807,0.795319,42:17
2,1.155576,1.098966,0.799163,45:36
3,1.036870,1.085282,0.801282,44:20
4,0.963484,1.081585,0.802059,44:20
