epoch,train_loss,valid_loss,accuracy,time
0,11.659739,#na#,02:44
epoch,train_loss,valid_loss,accuracy,time
0,3.424457,2.611771,0.571566,16:54
1,3.138107,2.533451,0.584297,17:00
2,3.277930,2.593744,0.572576,16:28
3,3.164052,2.529453,0.586872,17:29
4,3.156649,2.496463,0.591209,16:30
5,3.107856,2.449417,0.597364,16:04
6,2.944044,2.379860,0.610782,17:25
7,3.181156,2.321418,0.618404,16:29
8,2.897190,2.266235,0.628820,16:44
9,2.948221,2.247935,0.630999,16:58
epoch,train_loss,valid_loss,accuracy,time
0,2.457961,1.961629,0.675039,18:40
1,2.338685,1.750625,0.704012,16:43
2,2.360523,1.669194,0.717348,16:56
3,2.273280,1.586711,0.728074,17:15
4,2.094210,1.518553,0.740105,16:43
5,2.134964,1.455536,0.748961,18:24
6,2.048109,1.403151,0.757996,17:14
7,1.981732,1.362268,0.764552,18:39
8,1.875949,1.333076,0.769692,17:15
9,1.882109,1.329996,0.769981,16:42
epoch,train_loss,valid_loss,accuracy,time
0,1.755727,1.254752,0.782246,30:10
1,1.556285,1.102046,0.805673,30:28
2,1.343881,0.960412,0.828018,33:01
3,1.246004,0.850394,0.847824,29:16
4,1.038083,0.764178,0.862485,30:55
5,1.029668,0.694844,0.874374,31:01
6,0.894543,0.647537,0.882936,29:55
7,0.781110,0.617095,0.888228,29:18
8,0.662686,0.601621,0.891458,31:19
9,0.683119,0.597892,0.892113,30:24
epoch,train_loss,valid_loss,accuracy,time
0,0.640975,0.599207,0.891661,40:49
1,0.696413,0.587389,0.893672,42:35
2,0.610831,0.573813,0.895963,41:07
3,0.596643,0.566058,0.897598,42:14
4,0.627496,0.563607,0.898060,41:38
