epoch,train_loss,valid_loss,accuracy,time
0,12.266233,#na#,03:15
epoch,train_loss,valid_loss,accuracy,time
0,11.887115,#na#,02:47
epoch,train_loss,valid_loss,accuracy,time
0,2.962130,3.995230,0.402500,24:31
1,3.122419,4.127530,0.378864,23:07
2,3.012650,4.045754,0.386380,23:52
3,2.990982,4.005293,0.391769,24:32
4,3.027782,4.010834,0.392667,23:46
5,2.913677,3.978653,0.395450,24:59
6,3.068130,3.974954,0.398007,23:40
7,2.931099,3.959599,0.401285,24:38
8,2.874475,3.952314,0.401597,25:07
9,2.766985,3.968607,0.400255,24:10
epoch,train_loss,valid_loss,accuracy,time
0,2.743621,3.953008,0.401884,24:27
1,2.572398,3.959642,0.399685,24:23
2,2.421515,3.983780,0.394144,25:29
3,2.349406,4.003502,0.393301,24:52
4,2.150666,4.015298,0.391138,24:06
5,2.018754,4.023425,0.388457,25:01
6,2.134496,4.018838,0.390454,24:16
7,2.043258,4.026860,0.390498,24:59
8,2.029713,4.046323,0.389179,25:23
9,1.976649,4.032748,0.389762,24:42
epoch,train_loss,valid_loss,accuracy,time
0,2.033214,4.033420,0.388989,40:31
1,1.904980,4.013757,0.392246,41:12
2,1.833283,4.017933,0.396966,41:41
3,1.615871,4.020599,0.399331,40:39
4,1.500251,4.020668,0.407087,41:12
5,1.403743,4.043321,0.409719,41:03
6,1.381093,4.052907,0.412939,39:45
7,1.374235,4.066240,0.413656,41:54
8,1.339856,4.068455,0.413229,43:06
9,1.405776,4.078088,0.414082,42:28
epoch,train_loss,valid_loss,accuracy,time
0,1.301174,4.048523,0.414318,53:30
1,1.264328,4.047943,0.415280,49:22
2,1.260008,4.055976,0.414750,49:56
3,1.289936,4.065854,0.417556,48:39
4,1.302144,4.086841,0.416963,53:41
5,1.327838,4.107205,0.418226,53:24
6,1.247553,4.089150,0.419574,49:12
7,1.292469,4.080648,0.419154,53:39
8,1.215581,4.071464,0.419771,53:58
9,1.286374,4.104201,0.418317,53:22
epoch,train_loss,valid_loss,accuracy,time
0,10.592490,#na#,03:10
epoch,train_loss,valid_loss,accuracy,time
0,3.135756,4.028585,0.400409,23:53
1,3.136210,4.130362,0.376967,23:50
2,2.981458,4.052518,0.388752,23:33
3,3.059392,4.027709,0.391843,25:09
4,2.865499,4.014639,0.392392,24:24
5,2.794582,3.996490,0.396727,24:06
6,2.886865,3.989060,0.396509,24:30
7,2.759598,3.968134,0.399332,25:21
8,2.784746,3.958338,0.400235,24:31
9,2.817750,3.966403,0.400013,25:23
epoch,train_loss,valid_loss,accuracy,time
0,2.639264,3.944977,0.401775,26:40
1,2.653760,3.946239,0.401083,25:16
2,2.329975,3.972366,0.396497,24:36
3,2.348935,3.997346,0.393621,26:10
4,2.268224,4.014620,0.394310,26:23
5,2.176565,4.031846,0.391390,24:45
6,2.249615,4.028442,0.392444,25:15
7,2.034892,4.033330,0.391367,25:48
8,2.151271,4.047654,0.391229,26:00
9,2.087855,4.033675,0.390783,25:43
epoch,train_loss,valid_loss,accuracy,time
0,2.029380,4.030498,0.388202,41:29
1,1.890865,4.016932,0.391620,42:24
2,1.769779,4.026174,0.395859,43:00
3,1.685428,4.022561,0.403175,41:21
4,1.511806,4.047403,0.407835,41:25
5,1.455821,4.040421,0.409764,41:50
6,1.352521,4.041358,0.413333,42:50
7,1.368972,4.049287,0.413930,39:57
8,1.452056,4.092336,0.414607,43:03
9,1.315384,4.067650,0.415197,40:16
epoch,train_loss,valid_loss,accuracy,time
0,1.355162,4.073421,0.415561,52:05
1,1.327626,4.079041,0.415248,49:03
2,1.386900,4.082767,0.416202,52:53
3,1.274890,4.053155,0.417383,51:40
4,1.265868,4.067462,0.418340,51:21
5,1.251846,4.070239,0.417892,51:31
6,1.264531,4.092443,0.418500,48:59
7,1.264856,4.066360,0.418847,49:44
8,1.218760,4.101077,0.418242,48:53
9,1.287276,4.105068,0.418284,52:04
