"name";"temp_final";"dif_final";"cluster"
"Abiotrophia defectiva";37;0;2
"Abyssicoccus albus";28;0;1
"Abyssivirga alkaniphila";28;0;1
"Acanthopleuribacter pedis";25;0;1
"Acaricomes phytoseiuli";25;0;1
"Acetanaerobacterium elongatum";31;0;1
"Acetatifactor muris";37;0;2
"Acetitomaculum ruminis";37;0;2
"Acetivibrio ethanolgignens";37;0;2
"Acetoanaerobium pronyense";35;0;2
"Acetoanaerobium sticklandii";35;0;2
"Acetobacter aceti";30;1;1
"Acetobacter cerevisiae";27;1;1
"Acetobacter cibinongensis";30;0;1
"Acetobacter estunensis";28;0;1
"Acetobacter fabarum";28;0;1
"Acetobacter ghanensis";30;0;1
"Acetobacter indonesiensis";27.5;2.5;1
"Acetobacter lambici";28;0;1
"Acetobacter lovaniensis";28;0;1
"Acetobacter malorum";28;0;1
"Acetobacter musti";28;0;1
"Acetobacter nitrogenifigens";28;0;1
"Acetobacter oeni";26.5;1.5;1
"Acetobacter orientalis";30;0;1
"Acetobacter orleanensis";28;0;1
"Acetobacter pasteurianus";30;1.27272727272727;1
"Acetobacter pomorum";30;0;1
"Acetobacter senegalensis";35;0;2
"Acetobacter sp.";26.5;1.5;1
"Acetobacter syzygii";30;0;1
"Acetobacter tropicalis";30;0;1
"Acetobacterium bakii";20;0;1
"Acetobacterium carbinolicum";30;0;1
"Acetobacterium dehalogenans";25;0;1
"Acetobacterium fimetarium";30;0;1
"Acetobacterium malicum";30;0;1
"Acetobacterium paludosum";20;0;1
"Acetobacterium sp.";30;0;1
"Acetobacterium tundrae";20;0;1
"Acetobacterium wieringae";30;0;1
"Acetobacterium woodii";30;0;1
"Acetobacteroides hydrogenigenes";37;0;2
"Acetohalobium arabaticum";37;0;2
"Acetomicrobium flavidum";55;0;3
"Acetomicrobium hydrogeniformans";55;0;3
"Acetomicrobium mobile";55;0;3
"Acetomicrobium thermoterrenum";50;0;2
"Acetonema longum";30;0;1
"Acetonema sp.";30;0;1
