name,temp_final,dif_final,cluster
Abiotrophia defectiva,37,0,2
Absidia coerulea,24,0,1
Absidia corymbifera,30,0,1
Absidia glauca,24,0,1
Absidia pseudocylindrospora,24,0,1
Absidia repens,24,0,1
Absidia spinosa,27,0,1
Acanthopleuribacter pedis,25,0,1
Acaricomes phytoseiuli,25,0,1
Acetatifactor muris,37,0,2
Acetitomaculum ruminis,37,0,2
Acetivibrio cellulolyticus,37,0,2
Acetivibrio ethanolgignens,37,0,2
Acetobacter aceti,26,0,1
Acetobacter cerevisiae,27,1,1
Acetobacter cibinongensis,30,0,1
Acetobacter estunensis,28,0,1
Acetobacter fabarum,28,0,1
Acetobacter ghanensis,30,0,1
Acetobacter indonesiensis,27.5,2.5,1
Acetobacter lambici,28,0,1
Acetobacter lovaniensis,28,0,1
Acetobacter malorum,28,0,1
Acetobacter nitrogenifigens,28,0,1
Acetobacter oeni,25,0,1
Acetobacter orientalis,30,0,1
Acetobacter orleanensis,28,0,1
Acetobacter pasteurianus,28,0.857142857,1
Acetobacter pomorum,30,0,1
Acetobacter senegalensis,35,0,2
Acetobacter syzygii,30,0,1
Acetobacter tropicalis,30,0,1
Acetobacterium bakii,20,0,1
Acetobacterium carbinolicum,30,0,1
Acetobacterium dehalogenans,25,0,1
Acetobacterium fimetarium,30,0,1
Acetobacterium malicum,30,0,1
Acetobacterium paludosum,20,0,1
Acetobacterium sp.,30,0,1
Acetobacterium tundrae,20,0,1
Acetobacterium wieringae,30,0,1
Acetobacterium woodii,30,0,1
Acetohalobium arabaticum,37,0,2
Acetomicrobium faecale,70,0,3
Acetomicrobium flavidum,55,0,3
Acetonema longum,30,0,1
Acetonema sp.,30,0,1
Acholeplasma laidlawii,37,0,2
Achromobacter denitrificans,30,0,1
Achromobacter immobilis,30,0,1
Achromobacter insolitus,28,0,1
Achromobacter piechaudii,30,0,1
Achromobacter ruhlandii,30,0,1
Achromobacter sp.,28,0.8,1
Achromobacter spanius,28,0,1
Achromobacter xylosoxidans subsp. xylosoxidans,30,2.055555556,1
Aciculoconidium aculeatum,25,0,1
Acidaminobacter hydrogenoformans,30,0,1
Acidaminococcus fermentans,37,0,2
Acidaminococcus intestini,37,0,2
Acidianus ambivalens,80,0,3
Acidianus brierleyi,72.5,2.5,3
Acidianus infernus,88,0,3
Acidianus sulfidivorans,70,0,3
Acidicaldus organivorans,50,0,2
Acidicapsa borealis,20,0,1
Acidicapsa ligni,25,0,1
Acidiferrobacter thiooxydans,30,0,1
Acidihalobacter ferrooxidans,35,0,2
Acidilobus aceticus,80,0,3
Acidilobus saccharovorans,80,0,3
Acidimicrobium ferrooxidans,45,0,2
Acidiphilium acidophilum,30,0,1
Acidiphilium cryptum,29,2.75,1
Acidiphilium multivorum,30,0,1
Acidiplasma aeolicum,40,0,2
Acidiplasma cupricumulans,55,0,3
Acidisoma sibiricum,20,0,1
Acidisoma tundrae,20,0,1
Acidisphaera rubrifaciens,30,0,1
Aciditerrimonas ferrireducens,50,0,2
Acidithiobacillus albertensis,30,0,1
Acidithiobacillus caldus,41,4,2
Acidithiobacillus ferridurans,30,0,1
Acidithiobacillus ferrivorans,27.5,2.5,1
Acidithiobacillus ferrooxidans,29,1.6,1
Acidithiobacillus sp.,45,0,2
Acidithiobacillus thiooxidans,28,1.4,1
Acidobacterium capsulatum,30,0,1
Acidobacterium sp.,25,0,1
Acidocella aminolytica,37,0,2
Acidocella aromatica,30,0,1
Acidomonas methanolica,30,0,1
Acidovorax anthurii,28,0,1
Acidovorax avenae subsp. avenae,25,0,1
Acidovorax caeni,28,0,1
Acidovorax cattleyae,28,0,1
Acidovorax citrulli,28,0,1
Acidovorax defluvii,30,0,1
Acidovorax delafieldii,29,1,1
Acidovorax facilis,30,0,1
Acidovorax konjaci,28,0,1
Acidovorax radicis,30,0,1
Acidovorax soli,28,0,1
Acidovorax sp.,29,1,1
Acidovorax temperans,28,0,1
Acidovorax valerianellae,28,0,1
Acidovorax wautersii,28,0,1
Aciduliprofundum boonei,70,0,3
Acinetobacter baumannii,30,1.75,1
Acinetobacter baylyi,30,0,1
Acinetobacter beijerinckii,28,0,1
Acinetobacter bereziniae,30,0,1
Acinetobacter bouvetii,30,0,1
Acinetobacter brisouii,28,0,1
Acinetobacter calcoaceticus,30,0.5,1
Acinetobacter genomospecies 3,28,0,1
Acinetobacter gerneri,30,0,1
Acinetobacter guillouiae,30,0,1
Acinetobacter gyllenbergii,37,0,2
Acinetobacter haemolyticus,28,0,1
Acinetobacter indicus,30,0,1
Acinetobacter johnsonii,28,0,1
Acinetobacter junii,30,0.666666667,1
