"name";"temp_final";"dif_final";"cluster"
" ";20;1.41176470588235;2
"  ";10;1.25;1
"Acanthopeltis hirsuta";15;0;1
"Acaryochloris marina";25;0;2
"Acaryochloris tomasi";20;0;2
"Acetabularia parvula";15;0;1
"Achnanthes kuwaitensis";20;0;2
"Achnanthes subconstricta";10;0;1
"Achnanthidium convergens";15;0;1
"Achnanthidium minutissimum";15;1.66666666666667;1
"Acinetospora crinita";15;5;1
"Acrochaete sp. ";20;0;2
"Acrochaetium pacificum";15;0;1
"Acrochaetium secundatum";15;0;1
"Acrochaetium sp.";15;0;1
"Acrosiphonia spinescens";10;0;1
"Acrothrix pacifica";10;0;1
"Actinastrum hantzschii";20;0;2
"Actinophrys sol";20;0;2
"Actinotrichia fragilis";15;0;1
"Adenocystis sp. no data ";10;0;1
"Adenoides eludens";20;0;2
"Ahnfeltiopsis divaricata";10;0;1
"Ahnfeltiopsis flabelliformis";15;0;1
"Ahnfeltiopsis sp. no data ";15;0;1
"Akashiwo sanguinea";20;0;2
"Akkesiphycus lubricus";10;0;1
"Alaria crassifolia";10;0;1
"Alaria esculenta";10;0;1
"Alexandrium catenella";20;0;2
"Alexandrium fraterculum";20;0;2
"Alexandrium hiranoi";20;0;2
"Alexandrium insuetum";20;0;2
"Alexandrium ostenfeldii";15;0;1
"Alexandrium sp. ";20;0;2
"Alexandrium tamiyavanichii";20;0;2
"Allapsa brevifila";20;0;2
"Allapsa ocior";20;0;2
"Allapsa scotia";15;0;1
"Amphidinium carterae";20;0;2
"Amphidinium klebsii";20;0;2
"Amphidinium operculatum";20;0;2
"Amphidinium sp. ";20;0;2
"Amphidinium testudo";20;0;2
"Anabaena cylindrica";20;0;2
"Anabaena variabilis";20;0;2
"Anabaenopsis circularis";20;0;2
"Anabaenopsis sp. ";20;0;2
"Anacystis marina";20;0;2
"Analipus japonicus";10;0;1
"Analipus sp. ";10;0;1
"Analipus sp. no data ";10;0;1
"Angulamoeba microcystivorans";20;0;2
"Ankistrodesmus angustus";20;0;2
"Ankistrodesmus braunii";20;0;2
"Ankistrodesmus falcatus";20;0;2
"Ankistrodesmus nannoselene";20;0;2
"Ankistrodesmus sp. ";15;0;1
"Antithamnion defectum";15;0;1
"Antithamnion nipponicum";10;0;1
"Antithamnion sp. no data ";10;0;1
"Apatococcus lobatus";20;0;2
"Aphanizomenon  flos";20;0;2
"Aphanizomenon  gracile";20;0;2
"Aphanizomenon flos";20;1.4;2
"Aphanizomenon sp. ";20;0;2
"Aphanocapsa montana";20;0;2
"Aphanothece elabens";25;0;2
"Apiocystis brauniana";15;0;1
"Arthrocladia villosa";10;0;1
"Arthrospira platensis";20;0;2
"Arthrospira sp. ";20;0;2
"Asparagopsis taxiformis";20;1.66666666666667;2
"Asperococcus bullosus";12.5;2.5;1
"Asterionellopsis glacialis";12.5;2.5;1
"Asterochloris cf. glomerata";20;0;2
"Asterococcus superbus";20;0;2
"Asterodinium gracile";20;0;2
"Asteronema ferruginea";15;0;1
"Asteronema sp. no data ";10;0;1
"Astrephomene gubernaculifera";20;0;2
"Astrephomene perforata";20;0;2
"Asulcocephalium miricentonis";20;0;2
"Audouinella purpurea";10;0;1
"Aulacoseira ambigua";20;0;2
"Aulacoseira granulata";17.5;2.5;2
"Aulacoseira pusilla";20;0;2
"Aulosira laxa";20;0;2
"Aurearena cruciata";25;0;2
"Auxenochlorella protothecoides";20;0;2
"Bangiopsis sp. ";20;0;2
"Basichlamys sacculifera";20;0;2
"Bathycoccus  prasinos";15;0;1
"Batrachospermum atrum";20;0;2
"Batrachospermum helminthosum";20;0;2
"Batrachospermum turfosum";20;0;2
"Batrachospermum virgato";20;0;2
"Battersia arctica";4;0;0
"Bicosoeca sp. ";20;0;2
"Bigelowiella natans";20;0;2
"Blastophysa rhizopus";10;1.66666666666667;1
"Blastphysa rhizopus";15;0;1
"Blidingia minima";20;0;2
"Blidingia sp. sp. no data ";10;0;1
"Bodanella lauterborni";15;0;1
"Bodo saltans";15;0;1
"Botrydiopsis arrhiza";20;0;2
"Botrydiopsis sp. ";20;0;2
"Botrydium granulatum";20;0;2
"Botryocladia uvarioides";15;0;1
"Botryococcus braunii";20;0;2
"Botrytella micromora";10;0;1
"Brachiomonas submarina";15;0;1
"Bracteacoccus giganteus";20;0;2
"Bracteacoccus sp.  ";20;0;2
"Branchioglossum bipinnatifidum";15;0;1
"Breviolum minutum";20;0;2
"Bryopsis corticulans";15;0;1
"Bryopsis plumosa";10;0;1
"Bulboplastis apyrenoidosa";20;0;2
"Bumilleriopsis petersiana";20;0;2
"Cafeteria roenbergensis";15;0;1
"Calcidiscus leptoporus";17.5;2.5;2
"Caloglossa leprieurii";15;0;1
"Caloglossa vieillardii";15;0;1
"Calothrix brevissima";20;0;2
