name,temp_final,dif_final,cluster
Nocardia fusca,30,0,3
Rhodobacter sanguinis,37,0,4
Abiotrophia defectiva,37,0,4
Acaricomes phytoseiuli,25,0,2
Acetobacter aceti,30,0,3
Acetobacter aceti aceti,30,0,3
Acetobacter cerevisiae,30,0,3
Acetobacter cibinongensis,30,0,3
Acetobacter malorum,30,0,3
Acetobacter oeni,25,0,2
Acetobacter orientalis,30,0,3
Acetobacter pasteurianus,30,0,3
Acetobacter pasteurianus pasteurianus,30,0,3
Acetobacter pomorum,30,0,3
Acetobacter syzygii,30,0,3
Acholeplasma laidlawii,37,0,4
Acholeplasma vituli,37,0,4
Achromobacter animicus,30,0,3
Achromobacter insolitus,37,0,4
Achromobacter insuavis,33.5,3.5,4
Achromobacter insulatus,30,0,3
Achromobacter piechaudii,30,2.333333333,3
Achromobacter pulmonis,30,0,3
Achromobacter ruhlandii,30,0,3
Achromobacter sp.,30,0,3
Achromobacter spanius,37,2.333333333,4
Achromobacter spiritinus,30,0,3
Achromobacter xylosoxidans denitrificans,30,0.388888889,3
Achromobacter xylosoxidans xylosoxidans,30,0.25,3
Acidaminobacter hydrogenoformans,30,0,3
Acidaminococcus fermentans,37,0,4
Acidaminococcus intestini,37,0,4
Acidiphilium acidophilum,26,0,2
Acidipropionibacterium acidipropionici,30,0,3
Acidipropionibacterium jensenii,33.5,3.5,4
Acidipropionibacterium microaerophilum,30,0,3
Acidipropionibacterium thoenii,30,0,3
Acidipropionibacterium thoenii pb identification 16S,30,0,3
Acidithiobacillus thiooxidans,25,0,2
Acidomonas methanolica,30,0,3
Acidovorax anthurii,30,0,3
Acidovorax avenae avenae,25,1.666666667,2
Acidovorax avenae cattleyae,30,0,3
Acidovorax avenae citrulli,25,0,2
Acidovorax defluvii,30,0,3
Acidovorax delafieldii,25,0,2
Acidovorax facilis,25,0,2
Acidovorax konjaci,30,0,3
Acidovorax temperans,27.5,2.5,3
Acidovorax valerianellae,25,0,2
Acinetobacter baumannii,30,0.114754098,3
Acinetobacter baylyi,30,0,3
Acinetobacter beijerinckii,30,0,3
Acinetobacter bereziniae,30,0,3
Acinetobacter bohemicus,30,0,3
Acinetobacter boissieri,30,0,3
Acinetobacter bouvetii,30,0,3
Acinetobacter brisouii,30,0,3
Acinetobacter calcoaceticus,30,0,3
Acinetobacter courvalinii,30,0,3
Acinetobacter dispersus,30,0,3
Acinetobacter genomospecies  3,30,0,3
Acinetobacter genomospecies  6,30,0,3
Acinetobacter genomospecies  9,30,0,3
Acinetobacter genomospecies 13,30,0,3
Acinetobacter genomospecies 15 BJ,30,0,3
Acinetobacter genomospecies 16,30,0,3
Acinetobacter genomospecies 17,30,0,3
Acinetobacter genomospecies 3,30,0,3
Acinetobacter genomospecies 9,30,0,3
Acinetobacter gerneri,30,0,3
Acinetobacter guillouiae,30,0,3
Acinetobacter gyllenbergii,30,0,3
Acinetobacter haemolyticus,30,0.411764706,3
Acinetobacter harbinensis,30,0,3
Acinetobacter indicus,30,0,3
Acinetobacter johnsonii,30,0,3
Acinetobacter junii,30,0,3
Acinetobacter kookii,30,0,3
Acinetobacter kyonggiensis,30,0,3
Acinetobacter lwoffii,30,0,3
Acinetobacter marinus,30,0,3
Acinetobacter modestus,30,0,3
Acinetobacter nectaris,25,0,2
Acinetobacter nosocomialis,30,0,3
Acinetobacter oryzae,30,0,3
Acinetobacter parvus,30,1.714285714,3
Acinetobacter pittii,30,0,3
Acinetobacter pittii-like,30,0,3
Acinetobacter proteolyticus,30,0,3
Acinetobacter puyangensis,30,0,3
Acinetobacter radioresistens,30,0,3
Acinetobacter rudis,30,0,3
Acinetobacter schindleri,30,0,3
Acinetobacter seifertii,30,0,3
Acinetobacter seohaensis,30,0,3
Acinetobacter soli,30,0,3
Acinetobacter sp.,30,0,3
Acinetobacter tandoii,30,0,3
Acinetobacter tjernbergiae,30,0,3
Acinetobacter towneri,30,0,3
Acinetobacter ursingii,30,0,3
Acinetobacter variabilis,30,0,3
Acinetobacter venetianus,30,0,3
Acinetobacter vivianii,30,0,3
Actinoallomurus spadix,37,0,4
Actinoalloteichus cyanogriseus,30,0,3
Actinoalloteichus hymeniacidonis,30,0,3
Actinobacillus arthritidis,37,0,4
Actinobacillus capsulatus,37,0,4
Actinobacillus delphinicola,37,0,4
Actinobacillus equuli,37,0,4
Actinobacillus equuli  equuli,37,0,4
Actinobacillus equuli  haemolyticus,37,0,4
Actinobacillus hominis,37,0,4
Actinobacillus indolicus,37,0,4
Actinobacillus lignieresii,37,0,4
Actinobacillus minor,37,0,4
Actinobacillus muris,37,0,4
Actinobacillus pleuropneumoniae,37,0,4
Actinobacillus porcinus,37,0,4
Actinobacillus rossii,37,0,4
Actinobacillus scotiae,37,0,4
Actinobacillus seminis,37,0,4
Actinobacillus succinogenes,30,0,3
Actinobacillus suis,37,0,4
Actinobacillus ureae,37,0,4
Actinobaculum lemanensis,37,0,4
Actinobaculum schaalii,37,0,4
