scientific_name,temp,dif,taxid
Eupenicillium meridianum,24.0,0.0,
Mesonia ostreae,18.0,0.0,861110
Actinoplanes regularis,28.0,0.0,52697
Conyzicola nivalis,20.0,0.0,1477021
Streptomyces paradoxus,28.0,0.0,66375
Mycoplasmopsis adleri,37.0,0.0,
Streptomyces griseorubiginosus,28.0,0.0,67304
Phacidium lacerum,23.5,1.5,380017
Salmonella enterica enterica Braenderup,30.0,0.0,
Peridinium pseudolaeve,15.0,0.0,142112
Desulfofaba gelida,5.0,0.0,84981
Nocardia zapadnayensis,28.0,0.0,1124754
Eolimna minima,15.0,0.0,137466
Dermacoccus nishinomiyaensis,29.33333333333333,0.25,1274
Pseudanabaena yagii,20.0,0.0,2661615
Streptomyces purpurogeneiscleroticus,28.0,0.0,68259
Streptomyces termitum,28.0,0.0,67368
Gonium viridistellatum,20.0,0.0,51704
Hydrogenibacillus schlegelii,60.0,2.0,1484
Legionella lansingensis,37.0,0.0,45067
Legionella pneumophila pneumophila 10,37.0,0.0,
Streptococcus pneumoniae 21,37.0,0.0,
Methanosaeta harundinacea,37.0,0.0,301375
Thioprofundum lithotrophicum,50.0,0.0,571898
Candida tropicalis,25.0,1.25,5482
Leptospira santarosai Naparuca,29.0,0.0,
Denitrovibrio acetiphilus,30.0,0.0,118000
Colletotrichum musae,24.0,0.0,5464
Staphylococcus sciuri subsp. sciuri,37.0,0.0,147467
Methylocystis bryophila,22.0,0.0,655015
Cellvibrio fibrivorans,28.0,0.0,126350
Paraoerskovia marina,28.0,0.0,545619
Acidobacteriaceae sp.,25.0,1.6666666666666698,
Lutimaribacter litoralis,25.0,0.0,1010611
Blastopirellula sp.,28.0,0.0,2024826
Mannheimia varigena,37.0,0.0,85404
Geodermatophilus telluris,28.0,0.0,1190417
Salmonella enterica enterica Tananarive,30.0,0.0,
Marinomonas pollencensis,21.0,0.0,491954
Sulfurovum denitrificans,30.0,0.0,2201018
Elizabethkingia endophytica ,30.0,0.0,
Vischeria punctata,20.0,0.0,643629
Aureimonas jatrophae,28.0,0.0,1166073
Borrelia mayonii,30.0,0.0,1674146
Flavobacterium chilense,28.0,0.0,946677
Oudemansiella platyphylla,20.0,0.0,
Cercomonas magna,20.0,0.0,686730
Nesterenkonia populi,28.0,0.0,1591087
Anabaenopsis circularis,20.0,0.0,109266
Amphibacillus marinus,30.0,0.0,872970
Bacillus praedii,28.0,0.0,1742358
Mycogone perniciosa,21.0,0.0,494059
Leptospira borgpetersenii Pina,29.0,0.0,
Calothrix parasitica,20.0,0.0,1973486
Methylopila jiangsuensis,28.0,0.0,586230
Leptospira kirschneri Bogvere,29.0,0.0,
Yersinia frederiksenii,30.0,0.3333333333333333,29484
Acremonium murorum,24.0,0.0,
Erythrobacter arachoides,18.0,0.0,1850444
Thermovibrio guaymasensis,75.0,0.0,240167
Mesomycoplasma bovoculi,37.0,0.0,
