ncbi_genbank_assembly_accession,ncbi_assembly_name,ncbi_biosample,ncbi_organism_name,parsed_genome_accession,dataset
GCA_002350705.1,ASM235070v1,SAMN06456497,Ruminococcaceae bacterium UBA2857,GCA_002350705.1,train
GCA_900322155.1,Rumen uncultured genome RUG763,SAMEA104666710,uncultured Clostridiales bacterium,GCA_900322155.1,train
GCA_002477805.1,ASM247780v1,SAMN06454830,Catabacter sp. UBA7584,GCA_002477805.1,train
none,none,none,none,GCA_003543635.1,train
GCA_002308795.1,ASM230879v1,SAMN06457806,Mageeibacillus sp. UBA1255,GCA_002308795.1,train
GCA_002308995.1,ASM230899v1,SAMN06457551,Clostridiales bacterium UBA1234,GCA_002308995.1,train
GCA_000875945.1,TWA4_1,SAMN02991544,Lachnospiraceae bacterium TWA4,GCF_000875945.1,train
GCA_000022065.1,ASM2206v1,SAMN00623037,[Clostridium] cellulolyticum H10,GCF_000022065.1,train
GCA_002315735.1,ASM231573v1,SAMN06456007,Clostridiales bacterium UBA1738,GCA_002315735.1,train
GCA_002252565.1,ASM225256v1,SAMN07426283,Clostridiales bacterium SK-Y3,GCF_002252565.1,train
GCA_002472145.1,ASM247214v1,SAMN06454583,Clostridiales bacterium UBA7285,GCA_002472145.1,train
GCA_900129995.1,IMG-taxon 2585428077 annotated assembly,SAMN02745135,Caloranaerobacter azorensis DSM 13643,GCF_900129995.1,train
GCA_000472665.1,ASM47266v1,SAMN02440712,Acetobacterium dehalogenans DSM 11527,GCF_000472665.1,train
GCA_001515955.1,41k,SAMN04126954,Clostridia bacterium BRH_c25,GCA_001515955.1,train
GCA_001623875.1,ASM162387v1,SAMN04621187,Clostridium magnum DSM 2767,GCF_001623875.1,train
GCA_002398065.1,ASM239806v1,SAMN06454670,Firmicutes bacterium UBA4915,GCA_002398065.1,train
GCA_000213255.1,ASM21325v1,SAMN02232034,Mahella australiensis 50-1 BON,GCF_000213255.1,train
GCA_900129115.1,IMG-taxon 2582581276 annotated assembly,SAMN02745195,Thermoanaerobacter uzonensis DSM 18761,GCF_900129115.1,train
GCA_900129075.1,IMG-taxon 2582581265 annotated assembly,SAMN02746089,Caldanaerobius fijiensis DSM 17918,GCF_900129075.1,train
GCA_000166775.1,ASM16677v1,SAMN00713565,Caldicellulosiruptor kronotskyensis 2002,GCF_000166775.1,train
GCA_001562425.1,ASM156242v1,SAMN04038071,Fervidicola ferrireducens,GCF_001562425.1,train
GCA_002376045.1,ASM237604v1,SAMN06451006,Firmicutes bacterium UBA3567,GCA_002376045.1,train
GCA_900102215.1,IMG-taxon 2634166350 annotated assembly,SAMN04488542,Fontibacillus panacisegetis,GCF_900102215.1,train
GCA_000615945.1,ASM61594v1,SAMD00012480,Bacillus mannanilyticus JCM 10596,GCF_000615945.1,train
GCA_001049895.1,Rubeoparvulum massiliensis,SAMEA3375520,Rubeoparvulum massiliense,GCF_001049895.1,train
GCA_002706795.1,ASM270679v1,SAMN05913073,Brevibacillus laterosporus DSM 25,GCF_002706795.1,train
GCA_000466385.1,ASM46638v1,SAMN02436721,Aneurinibacillus aneurinilyticus ATCC 12856,GCF_000466385.1,train
GCA_001730235.1,ASM173023v1,SAMN05731676,Vulcanibacillus modesticaldus,GCF_001730235.1,train
GCA_900114055.1,IMG-taxon 2675903228 annotated assembly,SAMN05421852,Thermoflavimicrobium dichotomicum,GCF_900114055.1,train
GCA_003050565.1,ASM305056v1,SAMN07514367,Brockia lithotrophica,GCA_003050565.1,train
GCA_001311905.1,ASM131190v1,SAMD00000444,Calditerricola satsumensis JCM 14719,GCF_001311905.1,train
GCA_002159075.1,ASM215907v1,SAMN05223356,Bacillus thermozeamaize,GCA_002159075.1,train
GCA_001742305.1,ASM174230v1,SAMN05771867,Desulfuribacillus stibiiarsenatis,GCF_001742305.1,train
GCA_900142255.1,IMG-taxon 2667527379 annotated assembly,SAMN05443507,Alicyclobacillus montanus,GCF_900142255.1,train
GCA_002804065.1,ASM280406v1,SAMN08045872,Kyrpidia sp. EA-1,GCF_002804065.1,train
GCA_003148565.1,ASM314856v1,SAMN08770176,Tumebacillus permanentifrigoris,GCF_003148565.1,train
GCA_002479415.1,ASM247941v1,SAMN06455578,Firmicutes bacterium UBA7523,GCA_002479415.1,train
GCA_001512835.1,ASM151283v1,SAMN03778952,Clostridia bacterium DTU022,GCA_001512835.1,train
GCA_002216005.1,ASM221600v1,SAMN07203980,Natranaerobius trueperi,GCF_002216005.1,train
GCA_002408465.1,ASM240846v1,SAMN06455104,Firmicutes bacterium UBA5286,GCA_002408465.1,train
GCA_900111575.1,IMG-taxon 2602042032 annotated assembly,SAMN03080614,Anaerobranca gottschalkii DSM 13577,GCF_900111575.1,train
GCA_002345475.1,ASM234547v1,SAMN06457356,Firmicutes bacterium UBA2296,GCA_002345475.1,train
GCA_002391465.1,ASM239146v1,SAMN06455012,Firmicutes bacterium UBA3910,GCA_002391465.1,train
GCA_001513495.1,ASM151349v1,SAMN03794756,Clostridiales bacterium DTU087,GCA_001513495.1,train
GCA_002919235.1,ASM291923v1,SAMN08158218,Clostridia bacterium,GCA_002919235.1,train
GCA_001544015.1,ASM154401v1,SAMD00034894,Limnochorda pilosa,GCF_001544015.1,train
GCA_002399235.1,ASM239923v1,SAMN06451266,Firmicutes bacterium UBA4881,GCA_002399235.1,train
GCA_002408345.1,ASM240834v1,SAMN06453845,Firmicutes bacterium UBA5301,GCA_002408345.1,train
GCA_002427165.1,ASM242716v1,SAMN06456607,Firmicutes bacterium UBA5473,GCA_002427165.1,train
GCA_002398515.1,ASM239851v1,SAMN06450885,Firmicutes bacterium UBA4981,GCA_002398515.1,train
none,none,none,none,GCA_003456765.1,train
