From	To
B4EUW6	UniRef50_Q8CX44
Q8FPR0	UniRef50_Q9ZBS0
Q2J9A9	UniRef50_Q9X7S0
Q0BEH0	UniRef50_Q3JRF0
Q9AE11	UniRef50_Q9AE11
Q57911	UniRef50_Q57911
B2TUH4	UniRef50_Q8XEA7
Q39W61	UniRef50_B5E8N4
Q8RDN0	UniRef50_Q8RDN0
B8GUJ4	UniRef50_Q5SL87
Q9X199	UniRef50_Q9PB58
O50314	UniRef50_O50314
Q9X6C9	UniRef50_Q9X6C9
Q49YE4	UniRef50_Q49YE4
Q0I5H8	UniRef50_P44039
A5F502	UniRef50_Q8EKN9
Q7VVF1	UniRef50_Q1LS73
A7MSC7	UniRef50_P33038
A1JR10	UniRef50_Q8XAK8
A7GZP9	UniRef50_Q9PMT7
A8A962	UniRef50_A8A962
Q5E279	UniRef50_Q9KUM8
Q8FPK4	UniRef50_C3PGQ7
A4SVB8	UniRef50_Q82WL9
B3PRG0	UniRef50_A1URV4
Q73AY2	UniRef50_P31113
A1VMB2	UniRef50_A1VMB2
Q68XZ5	UniRef50_A8EX77
Q14H07	UniRef50_Q603S2
A6U1R8	UniRef50_Q8GN53
B8J0S9	UniRef50_B8J0S9
Q83KB6	UniRef50_O52327
B0BCE0	UniRef50_Q5L6Z3
Q9X0D1	UniRef50_Q9X0D1
B7N1M2	UniRef50_A4WFL3
C3P665	UniRef50_Q81WE4
Q2YN95	UniRef50_Q9HTE9
A2S7R3	UniRef50_Q1LS73
Q8RC30	UniRef50_Q8RC30
Q1CBV8	UniRef50_Q8X743
Q21KT7	UniRef50_Q8EEU0
O34753	UniRef50_O34753
Q8Z9L5	UniRef50_P59395
Q0VQD6	UniRef50_Q886M3
B3PB58	UniRef50_C5BQT5
A1VJX7	UniRef50_A1VJX7
A4VPB2	UniRef50_Q6FE58
A7NC90	UniRef50_A0Q6D2
Q0WJ78	UniRef50_Q8XAK8
A0PVY7	UniRef50_Q8NTB0
Q65I08	UniRef50_Q65I08
B9JY52	UniRef50_Q6G2Q7
Q1H3S5	UniRef50_Q1H3S5
A5WH35	UniRef50_A6T3L3
A6WKY5	UniRef50_Q2J307
A4XLN3	UniRef50_B9MKD6
Q165E2	UniRef50_Q9I1W2
Q9PPN6	UniRef50_B5ZCB8
Q1RHY6	UniRef50_Q4UL77
B4E5M6	UniRef50_A8AQ53
B5Z3K3	UniRef50_A8AMC8
C0R4N4	UniRef50_Q1D6I9
Q13UC1	UniRef50_A1TUZ2
Q114I1	UniRef50_P16954
Q7VHS5	UniRef50_Q9PMG8
B7N7W4	UniRef50_P45066
O31982	UniRef50_O31982
B4EDZ8	UniRef50_B4EDZ8
P0DA74	UniRef50_P0C0F3
