From	To
P33912	AAC43253.1
O31158	AAB86577.1
Q05581	AAA26722.1
Q57366	AAB07230.1
Q57366	BAA07615.1
Q57366	AAC13660.1
P28861	AAA23805.1
P28861	AAB03056.1
P28861	AAC76906.1
P28861	BAE77386.1
P28861	AAA24189.1
P35340	AAB40807.1
P35340	AAC73707.2
P35340	BAA35236.1
P35340	BAA02486.1
P31101	CAA77767.1
P31101	AAS96488.1
P06632	AAA83534.1
Q9RGD9	AAF24745.1
Q9RGD9	AHW76438.1
P08692	AAA21096.1
P0A006	AAA25638.1
P0A006	AAP32334.1
P0A006	AAP32338.1
P0A006	AAP32346.1
P0A006	AAP32350.1
P36655	CAA85375.1
P36655	CAA54781.1
P36655	AAA97035.1
P36655	AAC77096.1
P36655	BAE78138.1
Q46444	CAA57464.1
P0A9J4	AAB40181.1
P0A9J4	AAC73528.1
P0A9J4	BAE76205.1
P0A9J4	AAA82703.1
Q8RN04	AAL90878.1
O08355	AAC04472.1
P9WPP7	CCP45058.1
Q53239	AAB05767.1
Q53239	ABP70488.1
P9WJM5	CCP42862.1
P43876	AAC22314.1
Q9AGP8	AAK16482.1
P46336	BAA21607.1
P46336	CAB16014.1
Q9KIZ4	AAF26924.1
Q9KIZ4	AAF62886.1
Q9I4D4	AAG04593.1
Q9FCA6	CAC01489.1
O69002	AAC15188.1
O69002	CEI17032.1
O69002	OTI62534.1
O69002	OZO15116.1
O69002	RCI74876.1
O69002	RMS55377.1
O69002	RPY65319.1
O69002	RTR67156.1
O69002	SOV31427.1
O69002	TEE12222.1
O69002	TEF39295.1
O69002	TEK64536.1
O69002	TEM19545.1
O69002	TEQ89971.1
O69002	TGB22664.1
O84835	AAC68425.1
P46852	AAA58237.1
P46852	AAC76464.1
P46852	BAE77854.1
P0ADU2	AAA69197.1
P0ADU2	AAC76065.1
P0ADU2	BAE77085.1
P08373	AAA23519.1
P08373	AAA24185.1
P08373	AAC43074.1
P08373	AAC76950.1
P08373	BAE77343.1
Q9RA47	BAA88680.1
Q8GI16	BAB32770.1
Q8GI16	BAC41549.1
Q46509	CAA54439.1
Q9F3S9	CAC08531.1
Q59I44	BAD91551.1
P9WG35	CCP44699.1
P0C278	CAB38558.1
Q00441	CAA42927.1
Q00441	AAA26496.1
Q00441	CAM00071.1
P50216	CAA50590.1
P50216	BAB98057.1
P50216	CAF19369.1
P21890	CAA51088.1
P21890	CAA37973.1
O87605	AAC64105.1
O87605	AAC68886.1
Q9JWM8	CAM07595.1
Q5SJC8	BAD70909.1
P14930	CAA32146.1
P14930	AAL89752.1
P48635	AAC45584.1
P48635	CAM00054.1
Q9Z4Z5	CAB38880.1
Q82IZ1	BAC70702.2
P81186	CAA77019.1
P81186	CAI72603.1
P81186	ACL48525.1
P95481	AAB97505.1
Q9ZBU1	CAA22381.1
P9WPP9	CCP43511.1
P0A017	CAA78910.1
Q6WZB0	AAP92493.1
P9WPN5	CCP44012.1
P9WPP3	CCP45047.1
P07788	AAB62305.1
P07788	BAA22774.1
P07788	CAB12449.1
P07788	CAA29165.1
P07788	CAA30392.1
P07788	AAC44642.1
P14900	CAA35933.1
P14900	CAA35611.1
P14900	CAA38865.1
P14900	AAA83858.1
P14900	AAC73199.1
P14900	BAB96656.1
Q02189	AAA27343.1
Q02189	AAK77915.1
P9WPL5	ACX47920.1
P9WPL5	CCP46340.1
Q72HW2	AAS81712.1
O33954	AAB66504.1
P18326	AAA26823.1
P39315	AAA97107.1
P39315	AAC77168.1
P39315	BAE78212.1
P00183	AAA25760.1
P00183	BAA00412.1
C4B644	BAH58688.1
Q93H81	BAB69309.1
Q93H81	GDY69739.1
Q93H81	GDY79997.1
Q988D3	BAB53017.1
O24782	BAA22987.1
Q9HWG9	AAG07605.1
P00381	AAA25237.1
Q8KM22	CAD33825.1
Q3JV82	ABA50149.1
P09546	AAB59985.1
P09546	AAC74099.1
P09546	BAA35791.1
P09546	CAA29141.1
Q2TDY4	AAY29689.1
Q55891	BAA10653.1
P9WPP1	CCP46367.1
B5MGF8	BAG70948.1
Q2JJF6	ABD03218.1
Q9HXE3	AAG07250.1
P56119	AAD08294.1
Q88IJ7	AAN68610.1
Q5ZRN7	AAU28891.1
P9WP15	CCP46369.1
B3TMR8	ACB46498.1
A6T923	ABR77094.1
Q2P9J6	BAE66781.1
Q83AB2	AAO91482.1
Q9WYI1	AAD35432.1
A0A0H3PBA4	EAQ72767.1
Q8EBV3	AAN56390.1
G0LAH5	CAZ95318.1
