Entry,uniref50id,EC number,Taxonomic lineage (SUPERKINGDOM),EMBL_CDS_id
P19938,UniRef50_P19938,2.6.1.21,Bacteria,AAA22252.1
Q82EU4,UniRef50_Q82EU4,2.5.1.16,Bacteria,BAC72231.1
Q7VE17,UniRef50_P27724,7.1.1.-,Bacteria,AAP99243.1
P0C7K7,UniRef50_Q4ZUD2,3.5.1.5,Bacteria,AAD28136.2
B7LZZ6,UniRef50_Q65V59,5.3.1.12,Bacteria,CAR00052.1
A1SL60,UniRef50_A1KAV7,4.2.1.19,Bacteria,ABL82545.1
Q9C6S7,UniRef50_Q94II3,2.1.1.-,Eukaryota,AAG50728.1
Q6A6A3,UniRef50_A0QQH7,6.3.4.4,Bacteria,AAT83710.1
Q5P5M6,UniRef50_Q8EJG1,4.1.1.98,Bacteria,CAI07386.1
P56913,UniRef50_P56913,7.1.1.-,Bacteria,AAK65487.1
Q736A5,UniRef50_Q81P62,2.6.1.9,Bacteria,AAS41907.1
Q8ZFY0,UniRef50_Q9PM72,4.3.2.10,Bacteria,CAL20189.1
Q27908,UniRef50_Q27908,4.2.1.1,Eukaryota,BAA11940.1
P23621,UniRef50_P23621,2.7.13.3,Bacteria,AAG08746.1
P0DPI0,UniRef50_P0DPI0,3.4.24.69,Bacteria,CAA63551.1
A0A075DVI9,UniRef50_J9MJK9,2.2.1.2,Eukaryota,AHY02994.1
A9L3H8,UniRef50_Q6LT49,3.6.4.12,Bacteria,ABX49588.1
Q55798,UniRef50_Q55798,4.1.2.50,Bacteria,BAA10550.1
Q184N9,UniRef50_Q81DH0,2.7.1.170,Bacteria,CAJ69944.2
Q8Z524,UniRef50_Q9KQM0,3.1.3.89,Bacteria,AAO68238.1
A6WR29,UniRef50_Q8EBQ9,6.3.4.2,Bacteria,ABS09268.1
Q86A67,UniRef50_F4KGQ0,4.1.2.13,Eukaryota,EAL70080.1
Q4ZN90,UniRef50_A4VQZ0,6.1.1.4,Bacteria,AAY39382.1
Q9LDN2,UniRef50_Q9LDN2,2.4.2.10; 4.1.1.23,Eukaryota,BAS76243.1
Q9Y3R4,UniRef50_Q9Y3R4,3.2.1.18,Eukaryota,AAI07054.1
Q9S7I6,UniRef50_Q9S7I6,2.7.11.1,Eukaryota,BAC42107.1
Q8YNP4,UniRef50_P74706,2.7.1.170,Bacteria,BAB76219.1
P9WFZ0,UniRef50_P9WFZ0,2.1.1.220,Bacteria,AAK46461.1
Q9FWT2,UniRef50_Q9FWT2,2.3.2.23,Eukaryota,AAL38900.1
Q8FBA7,UniRef50_P78055,4.1.2.-,Bacteria,AAN83333.1
P40320,UniRef50_P40320,2.5.1.6,Eukaryota,AAN10507.1
Q57GJ8,UniRef50_Q8FAJ1,2.7.1.194,Bacteria,AAX68164.1
B1YGD3,UniRef50_B1YGD3,2.7.4.9,Bacteria,ACB59510.1
Q8ZHG0,UniRef50_Q9I6J9,3.5.3.12,Bacteria,AAM86875.1
Q02YX1,UniRef50_Q02133,4.3.2.10,Bacteria,ABJ72851.1
Q6PHR2,UniRef50_Q6PHR2,2.7.11.1,Eukaryota,CAB96176.1
P0C0B8,UniRef50_Q8NZB5,2.7.7.7,Bacteria,AAZ52290.1
Q9PNK3,UniRef50_P56457,6.1.1.4,Bacteria,CAL35208.1
A9L9A0,UniRef50_P26304,7.1.1.-,Eukaryota,ABD48499.1
P42339,UniRef50_P42339,2.7.1.137,Eukaryota,AAB71971.1
Q9SYK0,UniRef50_Q9SYK0,3.2.1.52,Eukaryota,AEE27861.1
Q1GBM4,UniRef50_Q8DS47,2.7.7.6,Bacteria,CAI97222.1
Q6BMM5,UniRef50_Q5A761,3.1.13.4,Eukaryota,CAG88862.2
Q2J6Z2,UniRef50_A4FMH0,3.6.1.7,Bacteria,ABD12950.1
Q9V1N7,UniRef50_O74023,2.1.1.63,Archaea,CAB49312.1
B7V3E6,UniRef50_Q9WYZ1,3.4.25.2,Bacteria,CAW30197.1
Q8K387,UniRef50_Q70EL2,3.4.19.12,Eukaryota,AAH27768.1
Q1J450,UniRef50_A2RI02,3.6.3.-,Bacteria,ABF38911.1
A5VFP2,UniRef50_A5VFP2,3.6.1.7,Bacteria,ABQ71108.1
Q9X315,UniRef50_Q74P24,3.6.5.-,Bacteria,AAM26022.1
Q9M8R7,UniRef50_Q9M8R7,3.1.3.16,Eukaryota,ABI93935.1
Q00804,UniRef50_P20020,7.2.2.10,Eukaryota,CAA41792.1
Q9ZNE0,UniRef50_Q9ZNE0,4.2.1.36,Bacteria,AAS81889.1
Q7XTC7,UniRef50_Q7XTC7,3.1.3.16,Eukaryota,CAE01570.2
E0TIQ1,UniRef50_E0TIQ1,4.2.3.5,Bacteria,ADM89678.1
P30581,UniRef50_P30581,2.4.1.16,Eukaryota,AAA33304.1
P03923,UniRef50_P03923,7.1.1.2,Eukaryota,AAR94600.1
Q9NAS9,UniRef50_Q9NAS9,3.4.21.-,Eukaryota,CAB90818.1
B0VQ11,UniRef50_P51785,4.2.1.9,Bacteria,CAP02902.1
A1S454,UniRef50_Q8EHM3,2.1.1.166,Bacteria,ABL99160.1
O22927,UniRef50_Q9SJA9,3.1.1.-,Eukaryota,AAC16947.1
Q8ZC33,UniRef50_Q3ILB8,2.4.2.29,Bacteria,CAL21786.1
A0QQL0,UniRef50_A0QQL0,2.8.1.10,Bacteria,ABK71483.1
Q04B74,UniRef50_O07107,2.7.8.13,Bacteria,ABJ58298.1
O22975,UniRef50_O22975,2.3.1.51,Eukaryota,CAB51659.1
Q617Y0,UniRef50_Q21815,3.6.1.6,Eukaryota,CAP33210.3
B7NJT8,UniRef50_A7MIU0,2.6.1.82; 2.6.1.29,Bacteria,CAR19687.1
P27742,UniRef50_P27742,6.3.2.26,Eukaryota,CBF84349.1
B3DVC8,UniRef50_B3DVC8,3.2.2.-,Bacteria,ACD83281.1
P45359,UniRef50_P45359,2.3.1.9,Bacteria,AAK80816.1
B7LV30,UniRef50_P0A8F6,2.7.1.48,Bacteria,CAQ89655.1
A7GHH4,UniRef50_P45558,2.1.1.-,Bacteria,ABS42307.1
Q0AS12,UniRef50_Q0C4B4,2.7.1.130,Bacteria,ABI64925.1
Q0TXG3,UniRef50_Q0TXG3,6.3.4.4,Eukaryota,EAT76814.1
Q2FY67,UniRef50_Q49XV1,3.1.26.11,Bacteria,ABD30677.1
B9T3R0,UniRef50_B9HSR7,4.2.1.104,Eukaryota,EEF29508.1
P69826,UniRef50_P69827,2.7.1.197,Bacteria,AAA69100.1
Q1GIU7,UniRef50_Q163J4,6.3.2.4,Bacteria,ABF63419.1
A9HIW2,UniRef50_Q9RH76,4.3.3.7,Bacteria,CAP55822.1
Q9CBS3,UniRef50_Q8FPQ4,3.2.2.27,Bacteria,CAC30628.1
B7MYB5,UniRef50_Q83CA8,6.3.2.6,Bacteria,CAR09081.2
Q9V5E1,UniRef50_Q9V5E1,4.3.2.5,Eukaryota,AAF58870.1
B7ISQ9,UniRef50_Q81JG8,2.5.1.75,Bacteria,ACK97269.1
A8LPV7,UniRef50_Q89SB5,2.4.2.7,Bacteria,ABV93811.1
Q0HUL3,UniRef50_Q9KSF9,6.1.1.22,Bacteria,ABI43192.1
P04187,UniRef50_P04187,3.4.21.79,Eukaryota,AAB60470.1
Q65GS5,UniRef50_O34526,6.1.1.7,Bacteria,AAU41739.1
Q0W5R8,UniRef50_Q0W5R8,3.1.26.4,Archaea,CAJ36275.1
A2REY5,UniRef50_Q97RW5,2.5.1.75,Bacteria,CAM30411.1
Q7F1K9,UniRef50_Q7F1K9,3.5.3.26,Eukaryota,BAC83197.1
Q9V2B7,UniRef50_Q8U4K2,2.7.1.-,Archaea,CCE69533.1
A8CG87,UniRef50_P00626,3.1.1.4,Eukaryota,AAZ53181.1
A1RMN6,UniRef50_O42700,2.2.1.2,Bacteria,ABM25931.1
Q10751,UniRef50_P12821,3.2.1.-; 3.4.15.1,Eukaryota,AAA75554.1
B2LMP8,UniRef50_P26288,7.1.1.-,Eukaryota,ACB86581.1
P60472,UniRef50_Q6D8D8,2.5.1.31,Bacteria,AAB08603.1
Q9R118,UniRef50_Q92743,3.4.21.-,Eukaryota,EDL17689.1
A1TM53,UniRef50_A1TM53,2.1.1.45,Bacteria,ABM32041.1
P70079,UniRef50_P09605,2.7.3.2,Eukaryota,CAA64778.1
Q9SZM3,UniRef50_Q9SZM3,2.7.11.1,Eukaryota,CAB37563.1
P36888,UniRef50_P36888,2.7.10.1,Eukaryota,AAA18947.1
O22193,UniRef50_O22193,2.3.2.27,Eukaryota,ANM61792.1
