From	To
Q60HE5	BAD51970.1
A0A1D6F9Y9	ONM27923.1
A0A1D6F9Y9	ACF85239.1
A0A1D6F9Y9	ACL53859.1
A0A1D6F9Y9	ACR36247.1
O25376	AAD07727.1
C4L9J3	ACQ93946.1
Q2U059	BAE65056.1
Q9RUV2	AAF10851.1
Q6A912	AAT82754.1
Q2FDP9	ABD21676.1
B5R233	CAR33826.1
P08201	CAA32416.1
P08201	AAA58162.1
P08201	AAC76390.1
P08201	BAE77925.1
Q47XL6	AAZ24699.1
A8FP38	ABV53225.1
O18480	AAB88282.1
Q5S3I2	AAV53700.1
M1VWN5	CCE31582.1
P16544	AAA26688.1
P16544	CAC44199.1
Q44256	AAC45716.1
Q987C6	BAB53277.1
A0A084R1K1	KFA70086.1
Q9S7A0	AAF00627.1
Q9S7A0	AAF05851.1
Q9S7A0	AEE74011.1
A0RMR7	ABK81775.1
Q05555	AAA31371.1
P9WLL7	CCP44848.1
Q00408	CAA43508.1
Q1ACM1	ABA61933.1
Q609J2	AAU92481.1
C1DRI9	ACO77727.1
Q8NZX0	AAL98230.1
A9AGI1	ABX14423.1
A9AGI1	BAG44423.1
Q5R8A4	CAH92006.1
A8GW95	ABV79122.1
Q7TWV3	SIU01919.1
Q8E981	AAN57372.1
Q73XV0	AAS04525.1
Q5PIN6	AAV76108.1
Q8HXQ1	BAC20349.1
Q8HXQ1	BAE73025.1
Q7MLM1	BAC94170.1
A0KT69	ABK46988.1
Q28S09	ABD54503.1
B1JXT8	ACA90200.1
Q6GB05	CAG42566.1
Q0CUL0	EAU37586.1
Q9SIY8	AAM77221.1
Q9SIY8	AAD25671.1
Q9SIY8	AEC09819.1
B2SSW3	ACD59802.1
P54950	BAA08327.1
P54950	CAB15988.1
P19130	BAA03666.1
Q9ZJJ9	AAD06894.1
P42327	CAA80989.1
Q604U5	AAU91450.1
Q8RWY1	AAG60147.1
Q8RWY1	AEE31374.1
Q8RWY1	AEE31376.1
Q8RWY1	ANM60042.1
Q8RWY1	AAM13854.1
Q8RWY1	AAM91659.1
Q8RWY1	BAD93744.1
P22871	AAA24820.1
P22871	AAA64981.1
Q12P60	ABE54766.1
Q93X62	CAC41370.1
P70551	AAC52767.1
P70551	BAA25186.1
Q5RCN6	CAH90471.1
P32695	AAC43143.1
P32695	AAC77019.3
P32695	BAE78051.1
P07262	AAB03898.1
P07262	AAA34642.1
P07262	CAA99706.1
P07262	DAA11134.1
A4FND4	CAM05559.1
A7FDL9	ABS49769.1
P25539	CAA45735.1
P25539	AAB40170.1
P25539	AAC73517.1
P25539	BAE76194.1
Q7UBC5	AAN45578.2
Q7UBC5	AAP18620.1
Q2YBT6	ABB73785.1
P57880	AAK02904.1
P9WQF6	AAK45138.1
B7UQ98	CAS08881.1
A2SL36	ABM96275.1
Q9I8W8	AAF80471.1
P94365	BAA11728.1
P94365	CAB15901.1
P56302	BAA57916.1
Q0DS59	ABF95769.1
Q0DS59	BAF11929.1
Q0DS59	BAS84037.1
Q0DS59	EEE58998.1
Q0DS59	EEE58999.1
O26344	AAB84748.1
P0A389	CAA70689.1
Q12SX8	ABE53448.1
A8GKQ1	ABV43691.1
A6WWG6	ABS13320.1
Q9KAP6	BAB05960.1
Q02PB3	ABJ12188.1
P0A1F8	AAB69392.1
P0A1F8	AAL22399.1
A0KST2	ABK46851.1
Q1JPJ0	ABF57319.1
A5CWD1	BAF61748.1
P49378	AAA99507.1
P49378	CAH00016.1
Q6M0Z1	CAF29683.1
Q8BS35	BAC30271.1
Q8BS35	BAC30675.1
Q8BS35	BAC34143.1
Q8BS35	BAE37216.1
Q60049	CAA42707.1
Q60049	AAB25458.1
Q60049	BAD70248.1
O87386	CAC41470.1
O87386	AAC62216.1
O22373	AAB66812.1
A8GRD0	ABV75955.1
Q01738	AAC49277.1
Q01738	AAB61455.1
Q01738	AAB92262.1
Q31YD8	ABB66920.1
Q9Y140	AAF56927.1
Q9Y140	AAD38606.1
P60334	AAK53364.1
P60334	BAB23236.1
P60334	BAE28973.1
P60334	AAH13638.1
Q03AR1	ABJ69711.1
B8B7X6	EEC81643.1
A0A291P0C1	ATJ26742.1
O27113	AAB85530.1
Q8YGI8	AAL52352.1
Q9K936	BAB06533.1
O06914	AAC46065.1
O06914	AAD07258.1
P46806	AAA63101.1
P46806	CAC31510.1
P04406	CAA25833.1
P04406	AAA86283.1
P04406	AAA52518.1
P04406	AAA52496.1
P04406	AAA53191.1
P04406	CAA37794.1
P04406	AAF99678.1
P04406	AAG01996.1
P04406	BAB93466.1
P04406	AAP35539.1
P04406	AAP88932.1
P04406	CAG28599.1
P04406	EAW88787.1
P04406	AAH01601.1
P04406	AAH04109.1
P04406	AAH09081.1
P04406	AAH13310.1
P04406	AAH23632.1
P04406	AAH25925.1
P04406	AAH26907.1
P04406	AAH29618.1
P04406	AAH83511.1
B5F4R2	ACH48622.1
Q72Y09	AAS44113.1
Q96528	AAB07026.1
Q96528	AAC17731.1
Q96528	AAF79625.1
Q96528	AAF80611.1
Q96528	AEE29998.1
Q96528	AAM97090.1
Q96528	AAQ56816.1
A0A2H3D1U1	PBK84748.1
Q8CQ96	AAO03863.1
Q5XAX5	AAT87438.1
Q83RE8	AAN43145.2
Q83RE8	AAP17037.1
A4SFP8	ABP37307.1
Q2FHU5	ABD22802.1
Q2JHA7	ABD03212.1
Q5K2N1	CAH05260.1
Q8YFB1	AAL52792.1
Q5RAP5	CAH91165.1
P57907	AAK03202.1
A3QH80	ABO24828.1
P42492	AAA65274.1
Q8K9W3	AAM67739.1
P38038	AAA23650.1
P38038	AAA69274.1
P38038	AAC75806.1
P38038	BAE76841.1
P94132	AAC27118.1
P94132	CAG68525.1
P15279	AAA50289.1
P0CX08	AAB65017.1
P0CX08	DAA07585.1
Q8RG85	AAL94627.1
Q2MFP3	CAF32372.1
Q95JH7	BAB63206.1
B3PC77	ACE86124.1
B5EWK6	ACH50539.1
Q7NS40	AAQ61249.1
Q6GCV9	CAG41910.1
B1ZB15	ACB79250.1
Q3JNA7	ABA49570.1
Q0D154	EAU38976.1
Q8X5Y4	AAG56679.1
Q8X5Y4	BAB35822.1
O02858	CAB10004.1
Q8ZP65	AAL20599.1
A8FF15	ABV62832.1
B1XDW8	ACB05205.1
Q8PU50	AAM32195.1
Q5LCI2	CAH08183.1
E1V8J1	CBV43647.1
Q2N7E3	ABC64398.1
A0B577	ABK13851.1
Q11I83	ABG62892.1
P14263	AAA53284.1
P14263	AAA34316.1
A9N6R4	ABX67811.1
A1AHF3	ABJ03093.1
Q4JTI3	CAI37874.1
Q5GWI3	AAW76938.1
Q8XDF7	AAG58752.1
