From	To
Q5AQL1	UniRef50_P40825
A1S4U5	UniRef50_Q8ECL7
A7ZAL8	UniRef50_Q45601
A3KFX0	UniRef50_Q9BXI3
A9WV65	UniRef50_Q4JXF0
A8AJA6	UniRef50_Q8XT56
F4J3D9	UniRef50_F4J3D9
Q0TBX9	UniRef50_P33593
C0QJ86	UniRef50_C0QJ86
Q02Y14	UniRef50_Q9CFB4
P0A5L9	UniRef50_P0A5L9
A0PPW9	UniRef50_A0QUW7
P0A259	UniRef50_A7MFQ5
A7ZUH4	UniRef50_Q8X743
P0A9J2	UniRef50_P0A9J2
O05678	UniRef50_Q0SI65
Q00372	UniRef50_P06782
O25609	UniRef50_O25609
A0RCF8	UniRef50_Q8FFF4
Q66AT9	UniRef50_Q9ZDE5
Q5PJH7	UniRef50_Q2NRD3
B1VZ06	UniRef50_Q8NQX9
P76594	UniRef50_P76594
P63680	UniRef50_P50002
P58695	UniRef50_P39772
Q4FVL3	UniRef50_Q4FVL3
Q9YBQ6	UniRef50_Q9YBQ6
Q1MBS8	UniRef50_Q0BPL4
Q8PCJ9	UniRef50_Q8E9P8
Q83D67	UniRef50_Q83D67
Q57D07	UniRef50_O32513
A1TYU2	UniRef50_C5BGJ4
P59510	UniRef50_P59510
A8EU50	UniRef50_O25360
B7LZM2	UniRef50_A7MIU0
P38066	UniRef50_P38066
C3N558	UniRef50_P77978
Q6HFE9	UniRef50_Q81AC6
A2XK57	UniRef50_C5WR30
A1U4Z9	UniRef50_Q55054
Q6MCC8	UniRef50_Q6MCC8
Q2SJZ8	UniRef50_Q65VI3
Q5R6T1	UniRef50_Q15084
A8FQD4	UniRef50_Q9KV80
C0PZB4	UniRef50_Q1BHI7
A4SGW2	UniRef50_Q3B169
A4WWV6	UniRef50_A4WWV6
Q5N078	UniRef50_Q31LP5
Q9L082	UniRef50_Q9L082
A3NMF5	UniRef50_Q2T7N4
Q6F7W2	UniRef50_Q831Y0
B3QIV5	UniRef50_Q89LG9
P9WP50	UniRef50_P9WP50
P63735	UniRef50_P77885
P46976	UniRef50_P46976
A9KQC2	UniRef50_A9KQC2
A4W766	UniRef50_A4W766
Q0HQG3	UniRef50_Q8E9D9
Q7NUM8	UniRef50_Q9K1H7
A4JC08	UniRef50_B2U7A9
Q6LVR2	UniRef50_Q6LVR2
Q0BAC6	UniRef50_Q9JZI6
Q8VZN9	UniRef50_Q8VZN9
P34211	UniRef50_P34211
P59300	UniRef50_Q9JZF7
P63573	UniRef50_P38434
Q9SU94	UniRef50_Q9SU94
A0AJ38	UniRef50_Q8Y6U3
B0VU56	UniRef50_Q6FE71
Q9T9W7	UniRef50_P03897
Q0E0P0	UniRef50_Q0E0P0
A1K719	UniRef50_P44514
Q2FG95	UniRef50_Q4L6X7
P22168	UniRef50_P22168
Q0D4Z6	UniRef50_Q9SZT9
A6LLB7	UniRef50_A7HMT2
Q3Z5T9	UniRef50_P04787
Q92WB5	UniRef50_Q8UAW0
Q54CP1	UniRef50_Q54CP1
A1KVL2	UniRef50_Q2Y639
B9JCT4	UniRef50_Q8EEU0
P74268	UniRef50_P74268
O08593	UniRef50_Q13946
P32200	UniRef50_Q8X8X8
A5UZ80	UniRef50_A7NRU6
B2SFH9	UniRef50_Q2SK40
Q7MB46	UniRef50_Q0TJA7
A1D144	UniRef50_Q5AZ85
