ncbi_assembly_name,ncbi_genbank_assembly_accession,ncbi_bioproject,ncbi_biosample,ncbi_assembly_level,ncbi_organism_name,ncbi_refseq_category,ncbi_genome_representation,parsed_genome_accession,# assembly_accession,ftp_path,asm_name
ASM617v2,GCA_000006175.2,PRJNA224116,SAMN00000040,Complete Genome,Methanococcus voltae A3,representative genome,full,GCF_000006175.1,GCA_000006175.2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2,ASM617v2
ASM680v1,GCA_000006805.1,PRJNA224116,SAMN02604216,Complete Genome,Halobacterium salinarum NRC-1,representative genome,full,GCF_000006805.1,GCA_000006805.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,ASM680v1
ASM718v1,GCA_000007185.1,PRJNA294,SAMN02603235,Complete Genome,Methanopyrus kandleri AV19,na,full,GCA_000007185.1,GCA_000007185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1,ASM718v1
ASM722v1,GCA_000007225.1,PRJNA172,SAMN02604075,Complete Genome,Pyrobaculum aerophilum str. IM2,na,full,GCA_000007225.1,GCA_000007225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1,ASM722v1
ASM730v1,GCA_000007305.1,PRJNA224116,SAMN02604284,Complete Genome,Pyrococcus furiosus DSM 3638,representative genome,full,GCF_000007305.1,GCA_000007305.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1,ASM730v1
ASM734v1,GCA_000007345.1,PRJNA224116,SAMN03081414,Complete Genome,Methanosarcina acetivorans C2A,representative genome,full,GCF_000007345.1,GCA_000007345.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1,ASM734v1
ASM808v1,GCA_000008085.1,PRJNA9599,SAMN02603208,Complete Genome,Nanoarchaeum equitans Kin4-M,na,full,GCA_000008085.1,GCA_000008085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1,ASM808v1
ASM864v1,GCA_000008645.1,PRJNA224116,SAMN02603244,Complete Genome,Methanothermobacter thermautotrophicus str. Delta H,representative genome,full,GCF_000008645.1,GCA_000008645.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1,ASM864v1
ASM866v1,GCA_000008665.1,PRJNA224116,SAMN02603985,Complete Genome,Archaeoglobus fulgidus DSM 4304,representative genome,full,GCF_000008665.1,GCA_000008665.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1,ASM866v1
ASM996v1,GCA_000009965.1,PRJNA224116,SAMD00061071,Complete Genome,Thermococcus kodakarensis KOD1,representative genome,full,GCF_000009965.1,GCA_000009965.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/965/GCA_000009965.1_ASM996v1,ASM996v1
ASM1100v1,GCA_000011005.1,PRJDA20361,SAMD00060931,Complete Genome,Methanocella paludicola SANAE,na,full,GCA_000011005.1,GCA_000011005.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/005/GCA_000011005.1_ASM1100v1,ASM1100v1
ASM1108v1,GCA_000011085.1,PRJNA224116,SAMN02603385,Complete Genome,Haloarcula marismortui ATCC 43049,na,full,GCF_000011085.1,GCA_000011085.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/085/GCA_000011085.1_ASM1108v1,ASM1108v1
ASM1110v1,GCA_000011105.1,PRJNA224116,SAMD00061090,Complete Genome,Pyrococcus horikoshii OT3,representative genome,full,GCF_000011105.1,GCA_000011105.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/105/GCA_000011105.1_ASM1110v1,ASM1110v1
ASM1112v1,GCA_000011125.1,PRJNA211,SAMD00061092,Complete Genome,Aeropyrum pernix K1,na,full,GCA_000011125.1,GCA_000011125.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/125/GCA_000011125.1_ASM1112v1,ASM1112v1
ASM1118v1,GCA_000011185.1,PRJNA224116,SAMD00061089,Complete Genome,Thermoplasma volcanium GSS1,representative genome,full,GCF_000011185.1,GCA_000011185.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/185/GCA_000011185.1_ASM1118v1,ASM1118v1
ASM1120v1,GCA_000011205.1,PRJNA224116,SAMD00061096,Complete Genome,Sulfurisphaera tokodaii str. 7,representative genome,full,GCF_000011205.1,GCA_000011205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/205/GCA_000011205.1_ASM1120v1,ASM1120v1
ASM1228v1,GCA_000012285.1,PRJNA224116,SAMN02603173,Complete Genome,Sulfolobus acidocaldarius DSM 639,representative genome,full,GCF_000012285.1,GCA_000012285.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/285/GCA_000012285.1_ASM1228v1,ASM1228v1
ASM1254v1,GCA_000012545.1,PRJNA224116,SAMN02604180,Complete Genome,Methanosphaera stadtmanae DSM 3091,representative genome,full,GCF_000012545.1,GCA_000012545.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/545/GCA_000012545.1_ASM1254v1,ASM1254v1
ASM1344v1,GCA_000013445.1,PRJNA224116,SAMN02598287,Complete Genome,Methanospirillum hungatei JF-1,representative genome,full,GCF_000013445.1,GCA_000013445.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/445/GCA_000013445.1_ASM1344v1,ASM1344v1
ASM1372v1,GCA_000013725.1,PRJNA224116,SAMN02598545,Complete Genome,Methanococcoides burtonii DSM 6242,representative genome,full,GCF_000013725.1,GCA_000013725.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/725/GCA_000013725.1_ASM1372v1,ASM1372v1
ASM1494v1,GCA_000014945.1,PRJNA15765,SAMN02598350,Complete Genome,Methanothrix thermoacetophila PT,na,full,GCA_000014945.1,GCA_000014945.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/945/GCA_000014945.1_ASM1494v1,ASM1494v1
ASM1514v1,GCA_000015145.1,PRJNA224116,SAMN02604082,Complete Genome,Hyperthermus butylicus DSM 5456,representative genome,full,GCF_000015145.1,GCA_000015145.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/145/GCA_000015145.1_ASM1514v1,ASM1514v1
ASM1520v1,GCA_000015205.1,PRJNA224116,SAMN02598374,Complete Genome,Pyrobaculum islandicum DSM 4184,na,full,GCF_000015205.1,GCA_000015205.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/205/GCA_000015205.1_ASM1520v1,ASM1520v1
ASM1522v1,GCA_000015225.1,PRJNA224116,SAMN02598366,Complete Genome,Thermofilum pendens Hrk 5,na,full,GCF_000015225.1,GCA_000015225.1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/225/GCA_000015225.1_ASM1522v1,ASM1522v1
