# assembly_accession,asm_name,ftp_path,index,ncbi_assembly_level,ncbi_assembly_name,ncbi_bioproject,ncbi_biosample,ncbi_genbank_assembly_accession,ncbi_genome_representation,ncbi_organism_name,ncbi_refseq_category,parsed_genome_accession,srr_accession
GCA_000006175.2,ASM617v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2,GCA_000006175.2,Complete Genome,ASM617v2,PRJNA224116,SAMN00000040,GCA_000006175.2,full,Methanococcus voltae A3,representative genome,GCF_000006175.1,
GCA_000006805.1,ASM680v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/805/GCA_000006805.1_ASM680v1,GCA_000006805.1,Complete Genome,ASM680v1,PRJNA224116,SAMN02604216,GCA_000006805.1,full,Halobacterium salinarum NRC-1,representative genome,GCF_000006805.1,
GCA_000007185.1,ASM718v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/185/GCA_000007185.1_ASM718v1,GCA_000007185.1,Complete Genome,ASM718v1,PRJNA294,SAMN02603235,GCA_000007185.1,full,Methanopyrus kandleri AV19,na,GCA_000007185.1,
GCA_000007225.1,ASM722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/225/GCA_000007225.1_ASM722v1,GCA_000007225.1,Complete Genome,ASM722v1,PRJNA172,SAMN02604075,GCA_000007225.1,full,Pyrobaculum aerophilum str. IM2,na,GCA_000007225.1,
GCA_000007305.1,ASM730v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/305/GCA_000007305.1_ASM730v1,GCA_000007305.1,Complete Genome,ASM730v1,PRJNA224116,SAMN02604284,GCA_000007305.1,full,Pyrococcus furiosus DSM 3638,representative genome,GCF_000007305.1,
GCA_000007345.1,ASM734v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/345/GCA_000007345.1_ASM734v1,GCA_000007345.1,Complete Genome,ASM734v1,PRJNA224116,SAMN03081414,GCA_000007345.1,full,Methanosarcina acetivorans C2A,representative genome,GCF_000007345.1,
GCA_000008085.1,ASM808v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1,GCA_000008085.1,Complete Genome,ASM808v1,PRJNA9599,SAMN02603208,GCA_000008085.1,full,Nanoarchaeum equitans Kin4-M,na,GCA_000008085.1,
GCA_000008645.1,ASM864v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/645/GCA_000008645.1_ASM864v1,GCA_000008645.1,Complete Genome,ASM864v1,PRJNA224116,SAMN02603244,GCA_000008645.1,full,Methanothermobacter thermautotrophicus str. Delta H,representative genome,GCF_000008645.1,
GCA_000008665.1,ASM866v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/665/GCA_000008665.1_ASM866v1,GCA_000008665.1,Complete Genome,ASM866v1,PRJNA224116,SAMN02603985,GCA_000008665.1,full,Archaeoglobus fulgidus DSM 4304,representative genome,GCF_000008665.1,
GCA_000009965.1,ASM996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/965/GCA_000009965.1_ASM996v1,GCA_000009965.1,Complete Genome,ASM996v1,PRJNA224116,SAMD00061071,GCA_000009965.1,full,Thermococcus kodakarensis KOD1,representative genome,GCF_000009965.1,
