Entry,uniref50id,EC number,Taxonomic lineage (SUPERKINGDOM),EMBL_CDS_id
P9WKD5,UniRef50_Q9CCE3,1.10.3.-,Bacteria,CCP44925.1
Q6FFZ7,UniRef50_C9QZ64,1.14.99.46,Bacteria,CAG67010.1
B2UX78,UniRef50_A0PXA4,1.2.1.41,Bacteria,ACD53888.1
Q3SV33,UniRef50_B8EKI5,1.8.1.2,Bacteria,ABA03858.1
B1M4X4,UniRef50_B1M4X4,1.7.1.17,Bacteria,ACB26435.1
P9WPN3,UniRef50_P9WPN3,1.14.-.-,Bacteria,CCP44153.1
B7NHY6,UniRef50_A5F9G1,1.2.1.72,Bacteria,CAR19458.1
P61502,UniRef50_P53653,1.15.1.1,Bacteria,BAA25701.1
P61502,UniRef50_P53653,1.15.1.1,Bacteria,AAS80537.1
B5F728,UniRef50_Q7N8W9,1.17.7.4,Bacteria,ACH52122.1
B4E5N5,UniRef50_Q2S0M9,1.1.1.86,Bacteria,CAR52658.1
Q82LU9,UniRef50_Q82LU9,1.3.1.86,Bacteria,BAC69622.1
Q9KSB4,UniRef50_Q9KSB4,1.13.-.-,Bacteria,AAF94503.1
P08717,UniRef50_P07328,1.18.6.1,Bacteria,AAA26141.1
P32021,UniRef50_P32021,1.13.12.19; 1.14.20.7,Bacteria,BAA02477.1
B2I0I3,UniRef50_P27505,1.3.3.11,Bacteria,ACC57108.1
Q9CII4,UniRef50_Q9CII4,1.1.1.27,Bacteria,AAK04474.1
P16855,UniRef50_P16855,1.18.6.1,Bacteria,AAA22172.1
P45153,UniRef50_Q6LUK7,1.17.1.8,Bacteria,AAC22955.1
O84375,UniRef50_O84375,4.2.1.10; 1.1.1.25,Bacteria,AAC67966.1
B1J0W5,UniRef50_Q8FKI8,1.2.1.8,Bacteria,ACA78933.1
Q7WHE8,UniRef50_Q7WHE8,1.13.11.11,Bacteria,CAE33752.1
Q88Q83,UniRef50_Q88Q83,1.4.3.19,Bacteria,AAN66238.1
Q9V2B0,UniRef50_Q5JE27,1.3.7.11,Archaea,CAB49088.1
Q9V2B0,UniRef50_Q5JE27,1.3.7.11,Archaea,CCE69540.1
B2JDU4,UniRef50_Q2T0L2,1.3.1.98,Bacteria,ACC69720.1
P54981,UniRef50_P54981,1.3.99.-,Bacteria,BAA09537.1
P54981,UniRef50_P54981,1.3.99.-,Bacteria,AAA91950.1
P54981,UniRef50_P54981,1.3.99.-,Bacteria,CAA64850.1
Q1QBB6,UniRef50_Q6FDH0,1.4.1.21,Bacteria,ABE75037.1
Q9HJL5,UniRef50_Q6L0C3,1.1.1.37,Archaea,AAG28562.1
Q9HJL5,UniRef50_Q6L0C3,1.1.1.37,Archaea,CAC12081.1
A9L340,UniRef50_P44427,1.1.1.37,Bacteria,ABX50969.1
Q3YUR5,UniRef50_Q8EAC7,1.7.2.2,Bacteria,AAZ90747.1
Q49Y37,UniRef50_Q5HNV1,1.1.1.25,Bacteria,BAE18307.1
Q985W3,UniRef50_Q9A345,1.17.7.4,Bacteria,BAB53590.1
Q9ZN36,UniRef50_P56063,1.1.1.42,Bacteria,AAD05607.1
Q9KDJ5,UniRef50_Q9KDJ5,1.4.3.16,Bacteria,BAB04937.1
Q47K28,UniRef50_P61433,1.3.1.98,Bacteria,AAZ44803.1
Q51698,UniRef50_Q51698,1.3.99.16,Bacteria,CAA88754.1
P25996,UniRef50_P25996,1.3.1.14,Bacteria,AAA21272.1
P25996,UniRef50_P25996,1.3.1.14,Bacteria,CAB13428.1
C3LRB7,UniRef50_P17845,1.8.1.2,Bacteria,ACP04697.1
A0PVY7,UniRef50_Q8NTB0,1.3.1.98,Bacteria,ABL06506.1
A6U3E1,UniRef50_C8WR67,1.1.1.86,Bacteria,ABR52959.1
Q8CNI5,UniRef50_Q2FF06,1.2.1.3,Bacteria,AAO05319.1
P00393,UniRef50_P00393,1.6.99.3,Bacteria,CAA23586.1
P00393,UniRef50_P00393,1.6.99.3,Bacteria,AAC74193.1
P00393,UniRef50_P00393,1.6.99.3,Bacteria,BAA35924.1
A4IYT2,UniRef50_B0U030,1.1.1.94,Bacteria,ABO47083.1
D2AC38,UniRef50_Q89Q06,1.5.1.42,Bacteria,ADA73356.1
P95607,UniRef50_P95607,1.13.11.1,Bacteria,CAA67941.1
C1AF78,UniRef50_Q0S6R1,1.4.3.5,Bacteria,BAH26907.1
C1KWT0,UniRef50_C8WR67,1.1.1.86,Bacteria,CAS05755.1
P74935,UniRef50_P74935,1.2.1.41,Bacteria,AAB39980.1
P74935,UniRef50_P74935,1.2.1.41,Bacteria,AAC65335.1
B7GGI1,UniRef50_P18579,1.3.1.98,Bacteria,ACJ34190.1
Q48FR2,UniRef50_Q885Q1,1.8.4.12,Bacteria,AAZ35748.1
D2PT98,UniRef50_A0QQJ4,1.1.98.2,Bacteria,ADB29414.1
A1W3D7,UniRef50_Q89ND7,1.14.11.-,Bacteria,ABM40762.1
B7L4F3,UniRef50_Q8ZRX8,1.17.1.8,Bacteria,CAU95917.1
O93662,UniRef50_O93662,1.11.1.6,Archaea,CAA06774.1
O93662,UniRef50_O93662,1.11.1.6,Archaea,AAZ69791.1
Q126D2,UniRef50_A9BNL9,1.7.1.13,Bacteria,ABE45610.1
Q7TXK2,UniRef50_Q9CD87,1.3.1.-,Bacteria,SIU01599.1
C1FSW2,UniRef50_A7FWA9,1.1.1.25,Bacteria,ACO85685.1
P55480,UniRef50_P55480,1.-.-.-,Bacteria,AAB92451.1
Q47CW6,UniRef50_Q47CW6,1.97.1.-,Bacteria,AAZ47315.1
A4TNP2,UniRef50_Q8YFY2,1.1.99.1; 1.2.1.8,Bacteria,ABP40904.1
Q0I1Q0,UniRef50_Q6FAK7,1.17.99.6,Bacteria,ABI24521.1
Q4FMH0,UniRef50_Q46N53,1.1.-.-,Bacteria,AAZ21619.1
A7HXX4,UniRef50_Q1MDH2,1.7.1.13,Bacteria,ABS64757.1
B8HSK3,UniRef50_P95463,1.3.7.7,Bacteria,ACL45986.1
P34956,UniRef50_E0TW66,1.10.3.-,Bacteria,AAA22687.1
P34956,UniRef50_E0TW66,1.10.3.-,Bacteria,CAA51594.1
P34956,UniRef50_E0TW66,1.10.3.-,Bacteria,CAB15842.1
Q2SMM6,UniRef50_Q086I8,1.17.1.8,Bacteria,ABC28098.1
Q9KNI1,UniRef50_Q9KNI1,4.2.1.17; 5.1.2.3; 5.3.3.8; 1.1.1.35,Bacteria,AAF95897.1
P55979,UniRef50_P55979,1.11.1.15,Bacteria,AAD07205.1
A4QDY8,UniRef50_Q59279,1.2.1.38,Bacteria,BAF54448.1
Q8EUY2,UniRef50_Q8RG85,1.3.1.14,Bacteria,BAC44579.1
Q8KIL1,UniRef50_Q8KIL1,1.1.99.22,Bacteria,BAC02909.1
Q68XZ3,UniRef50_Q92JQ6,1.3.1.-,Bacteria,AAU03499.1
P9WQC4,UniRef50_P0A4X1,1.1.1.2,Bacteria,AAK47460.1
Q6F9I9,UniRef50_Q6F9I9,1.21.98.4,Bacteria,CAG69275.1
Q46045,UniRef50_P69740,1.12.99.6,Bacteria,BAA05929.1
Q0HYB4,UniRef50_Q8EAZ9,1.8.1.2,Bacteria,ABI41891.1
Q8P272,UniRef50_P54154,1.8.4.11,Bacteria,AAL97226.1
Q2YY44,UniRef50_Q5WH73,1.8.4.12,Bacteria,CAI80967.1
Q1RC02,UniRef50_Q8X9S9,1.7.1.17,Bacteria,ABE07112.1
Q5GUY0,UniRef50_Q9PHC7,1.3.3.3,Bacteria,AAW77493.1
B7KV80,UniRef50_B1ZGD8,1.3.-.-,Bacteria,ACK82751.1
A6WQ07,UniRef50_Q8ECR2,1.1.1.290,Bacteria,ABS08896.1
Q13SL2,UniRef50_Q63Z34,2.1.1.61; 1.5.-.-,Bacteria,ABE32927.1
Q7VMX4,UniRef50_P70718,1.1.1.44,Bacteria,AAP95728.1
A1JRY4,UniRef50_Q8ZLN1,1.1.1.25,Bacteria,CAL13903.1
A3NZS3,UniRef50_A2SD47,1.2.1.70,Bacteria,ABN91520.1
Q9CKL8,UniRef50_P39185,1.9.6.1,Bacteria,AAK03678.1
P0A863,UniRef50_Q8ZE42,1.11.1.15,Bacteria,AAN80262.1
Q89EM9,UniRef50_Q89EM9,1.8.4.12,Bacteria,BAC52309.1
Q83PZ3,UniRef50_Q8X8F9,1.1.1.25,Bacteria,AAN44776.2
Q83PZ3,UniRef50_Q8X8F9,1.1.1.25,Bacteria,AAP18585.1
Q3IZ83,UniRef50_P93052,1.1.1.37,Bacteria,ABA80151.2
B8HBS2,UniRef50_A1R8A6,1.2.1.70,Bacteria,ACL40460.1
A3QAT3,UniRef50_Q2JZT8,1.11.1.21,Bacteria,ABO22581.1
Q8ZAX7,UniRef50_Q8ZAX7,1.3.1.-,Bacteria,CAL22243.1
Q8ZAX7,UniRef50_Q8ZAX7,1.3.1.-,Bacteria,AAM83807.1
Q8ZAX7,UniRef50_Q8ZAX7,1.3.1.-,Bacteria,AAS64037.1
B7KVX2,UniRef50_Q8YJE7,1.1.1.37,Bacteria,ACK82788.1
Q746G0,UniRef50_Q97Y45,1.8.4.11,Bacteria,AAS82425.1
Q9PET6,UniRef50_Q9HYF4,1.1.5.4,Bacteria,AAF83752.1
A5IT63,UniRef50_P54377,1.4.4.2,Bacteria,ABQ49386.1
A1AD59,UniRef50_P39185,1.9.6.1,Bacteria,ABJ01599.1
B9JBW0,UniRef50_Q8UC86,1.1.1.267,Bacteria,ACM28006.1
Q3IRN3,UniRef50_Q12UJ7,1.4.1.24,Archaea,CAI49210.1
Q8PDQ6,UniRef50_Q8PDQ6,1.14.13.-; 1.14.13.113,Bacteria,AAM39598.1
Q5GRK4,UniRef50_Q73IP1,1.17.7.3,Bacteria,AAW71370.1
Q2G993,UniRef50_P61616,1.3.1.98,Bacteria,ABD25580.1
P65465,UniRef50_Q5LYN3,1.3.1.98,Bacteria,AAM99993.1
B7URL9,UniRef50_Q8XAS9,1.1.1.38,Bacteria,CAS09161.1
Q5L9K3,UniRef50_Q8A625,1.17.7.4,Bacteria,CAH09224.1
B5YPX9,UniRef50_Q8ZPR4,1.1.1.282,Bacteria,ACI35337.1
A5EV79,UniRef50_A5EV79,1.3.5.2,Bacteria,ABQ13775.1
B1KFN0,UniRef50_Q8EAP2,1.1.1.38,Bacteria,ACA85196.1
B8F6W7,UniRef50_Q8EKN9,1.1.1.94,Bacteria,ACL33069.1
P49250,UniRef50_P46883,1.4.3.21,Bacteria,BAA01060.1
Q53586,UniRef50_Q53586,1.13.11.27,Bacteria,AAA50231.1
Q53586,UniRef50_Q53586,1.13.11.27,Bacteria,BAB69150.1
Q53586,UniRef50_Q53586,1.13.11.27,Bacteria,BAC72861.1
A3N1U6,UniRef50_P44427,1.1.1.37,Bacteria,ABN74382.1
B1X6K1,UniRef50_A7ME22,1.6.5.2,Bacteria,ACB04411.1
A1WBZ2,UniRef50_A1TKF1,1.1.1.25,Bacteria,ABM43767.1
B0UCF0,UniRef50_P93052,1.1.1.37,Bacteria,ACA16623.1
B7NDX8,UniRef50_P25924,2.1.1.107; 1.3.1.76; 4.99.1.4,Bacteria,CAR14978.1
A9I769,UniRef50_Q2SZJ3,1.14.99.60,Bacteria,CAP44380.1
Q1AVQ0,UniRef50_Q1AVQ0,1.5.1.5; 3.5.4.9,Bacteria,ABG04528.1
P30008,UniRef50_P30008,1.8.7.1,Bacteria,CAA77809.1
