Entry	Entry name	Length	EC number	Cross-reference (Pfam)	Taxonomic lineage (SUPERKINGDOM)
Q46G04	ACDA1_METBF	806	1.2.7.4	PF12838;PF03063;	Archaea
O59651	KATG2_HALMA	731	1.11.1.21	PF00141;	Archaea
Q6L047	GLCD2_PICTO	359	1.1.1.360	PF08240;PF16912;	Archaea
P72579	OFOB_SULSP	305	1.2.7.11	PF12367;PF02775;	Archaea
Q96Y68	OFOB1_SULTO	305	1.2.7.11	PF12367;PF02775;	Archaea
Q9UXR8	HEM1_METKA	404	1.2.1.70	PF00745;PF05201;PF01488;	Archaea
P72578	OFOA_SULSP	632	1.2.7.11	PF01558;PF01855;	Archaea
P13203	GLCDH_THEAC	361	1.1.1.47; 1.1.1.120; 1.1.1.48	PF08240;PF16912;	Archaea
P29082	SOR_ACIAM	309	1.13.11.55	PF07682;	Archaea
Q58085	RIB7_METJA	224	1.1.1.302	PF01872;	Archaea
Q58130	LEU3_METJA	333	1.1.1.85; 1.1.1.n5; 1.1.1.83	PF00180;	Archaea
Q96XT4	OFOB2_SULTO	304	1.2.7.11	PF12367;PF02775;	Archaea
Q60176	MDH_METJA	313	1.1.1.375	PF02866;PF00056;	Archaea
A3MUY9	DHE2_PYRCJ	424	1.4.1.2	PF00208;PF02812;	Archaea
Q9HK01	GADH_THEAC	493	1.2.1.89	PF00171;	Archaea
Q703W7	GLCDH_THETK	347	1.1.1.47	PF08240;PF16912;	Archaea
Q977U7	GLCDH_HALMT	357	1.1.1.47	PF08240;PF16912;	Archaea
P72010	G1PDH_METTH	347	1.1.1.261	PF13685;	Archaea
E7FHU4	HYD1D_PYRFU	261	1.12.1.3	PF01058;	Archaea
E0SRA9	ILVC_IGNAA	335	1.1.1.383	PF01450;PF07991;	Archaea
Q55080	CP119_SULAC	368	1.14.-.-; 1.11.1.7	PF00067;	Archaea
O57693	GAPN_THETE	501	1.2.1.90	PF00171;	Archaea
E7FI44	HYD1A_PYRFU	428	1.12.1.3	PF00374;	Archaea
Q2VEQ7	DDH_HALMT	308	1.1.1.-	PF02826;	Archaea
Q9YER2	G1PDH_AERPE	352	1.1.1.261	PF13685;	Archaea
Q5JGC2	PANE_THEKO	309	1.1.1.169	PF02558;PF08546;	Archaea
Q0VCA8	3HAO_BOVIN	286	1.13.11.6	PF06052;	Eukaryota
Q1LCS4	3HAO_CUPMC	174	1.13.11.6	PF06052;	Bacteria
B2HI26	ACDH2_MYCMM	308	1.2.1.10	PF09290;PF01118;	Bacteria
