From	To
Q5AQL1	EAA66836.1
Q5AQL1	CBF84773.1
A1S4U5	ABL99401.1
A7ZAL8	ABS76044.1
A3KFX0	EDL30387.1
A3KFX0	AAI47309.1
A3KFX0	AAI47310.1
A3KFX0	AAI47731.1
A3KFX0	AAI47734.1
A9WV65	ABY25086.1
A8AJA6	ABV13569.1
F4J3D9	CAB66104.1
F4J3D9	AEE79658.1
F4J3D9	AEE79659.2
Q0TBX9	ABG71550.1
C0QJ86	ACN15899.1
Q02Y14	ABJ73158.1
P0A5L9	SIU02223.1
A0PPW9	ABL04388.1
P0A259	AAC38647.1
P0A259	AAL20121.1
A7ZUH4	ABV21083.1
P0A9J2	AAG58374.1
P0A9J2	BAB37542.1
O05678	CAB08290.1
O05678	CAC31732.1
Q00372	AAB48642.1
Q00372	CAG62709.1
O25609	AAD07998.1
O25609	AAC46348.1
O25609	AAC46350.1
A0RCF8	ABK84901.1
Q66AT9	CAH21279.1
Q5PJH7	AAV78787.1
B1VZ06	BAG18761.1
P76594	AAC75637.1
P76594	BAE76754.1
P76594	BAA10925.1
P63680	BAB95892.1
P58695	CAC99974.1
Q4FVL3	AAZ17945.1
Q9YBQ6	BAA80542.1
Q1MBS8	CAK09605.1
Q8PCJ9	AAM40041.1
Q83D67	AAO90406.1
Q57D07	AAX74477.1
A1TYU2	ABM17911.1
P59510	AAO15766.1
P59510	CAD56159.3
P59510	CAD56160.2
P59510	EAW57861.1
A8EU50	ABV67474.1
B7LZM2	CAR00034.1
P38066	CAA84853.1
P38066	CAA52759.1
P38066	CAA79741.1
P38066	DAA07086.1
C3N558	ACP55133.1
Q6HFE9	AAT60512.1
A2XK57	EAY91217.1
A1U4Z9	ABM20068.1
Q6MCC8	CAF23771.1
Q2SJZ8	ABC29026.1
Q5R6T1	CAH92529.1
A8FQD4	ABV35057.1
C0PZB4	ACN45397.1
A4SGW2	ABP37721.1
A4WWV6	ABP71870.1
Q5N078	BAD80292.1
Q9L082	CAB87208.1
A3NMF5	ABN85657.1
Q6F7W2	CAG69853.1
B3QIV5	ACF01458.1
P9WP50	AAK45364.1
P63735	AAK33764.1
P63735	AAZ51260.1
P46976	AAB00114.1
P46976	AAB09752.1
P46976	CAA56073.1
P46976	AAD31084.1
P46976	AAD52093.1
P46976	CAG38784.1
P46976	EAW78894.1
P46976	EAW78895.1
P46976	EAW78896.1
P46976	EAW78898.1
P46976	EAW78900.1
P46976	EAW78901.1
P46976	AAH00033.1
A9KQC2	ABX40431.1
A4W766	ABP59546.1
Q0HQG3	ABI44642.1
Q7NUM8	AAQ60339.1
A4JC08	ABO53811.1
