P0CW05	AAM30191.1
B5XI22	ACI61684.1
Q0AF73	ABI60009.1
B1Z872	ACB80392.1
A5US51	ABQ89454.1
Q0T128	ABF04987.1
Q5H1F6	AAW75215.1
Q8P2X6	AAL96923.1
Q1LCS4	ABF12052.1
B8HSZ5	ACL42792.1
A1VAA0	ABM27366.1
B2HI26	ACC43426.1
B2VIV0	CAO96247.1
A4VJT7	ABP79238.1
B1J0S8	ACA78896.1
B8DG74	ACK40082.1
C4K8H4	ACQ68830.1
Q49YE2	BAE18199.1
Q8FFJ5	AAN81286.1
B1W3W2	BAG19618.1
C0PWX3	ACN44955.1
Q8Y6V8	CAC99651.1
B5XUP2	ACI11143.1
P63414	AAL00657.1
Q3BVM0	CAJ23093.1
A7MXZ9	ABU72170.1
B2A865	ACB84431.1
A9MYQ4	ABX67082.1
A4YKW6	CAL74542.1
Q6MT35	CAE77201.1
B2FNY8	CAQ46842.1
Q89AK3	AAO26999.1
A4F5Q5	CAL99379.1
Q2K3L0	ABC92576.1
Q03IX7	ABJ66845.1
Q11DU2	ABG64433.1
Q6YR57	BAD04244.1
A0QQK1	ABK74906.1
A0QQK1	AFP37248.1
B2VIP6	CAO96240.1
Q9Z8U5	AAD18392.1
Q9Z8U5	AAF73681.1
Q9Z8U5	BAA98449.1
Q9Z8U5	AAP98178.1
Q9I3W8	AAG04765.1
Q70AC7	AAA03174.1
Q70AC7	CAE54442.1
Q9CE35	AAK06111.1
Q2YUI2	CAI81645.1
B1I9A0	ACA36993.1
B4T1M4	ACF63211.1
Q9Z431	AAD13221.1
Q5L6A8	CAH63820.1
Q9KT07	AAF94257.1
A7FDG2	ABS48969.1
Q65UI5	AAU37375.1
Q6HCT2	AAT60899.1
Q9L298	CAB70654.1
Q87MZ4	BAC60345.1
Q6G9K9	CAG43067.1
A7ZHS5	ABV17488.1
Q9K0X1	AAF40873.1
A8I5S8	BAF88314.1
Q17WY3	CAJ99843.1
C1CTV0	ACO23870.1
P0CZ51	BAC63398.1
A5FQM9	ABQ17492.1
Q9KMT5	AAF96146.1
B2UDV1	ACD25291.1
Q8YX57	BAB73315.1
A7ZDP4	EAT97613.1
Q5HMP3	AAW54933.1
Q68VV0	AAU04242.1
Q9RVU3	AAF10506.1
B2TWJ8	ACD09127.1
A5UQ40	ABQ88743.1
Q0VPA8	CAL16990.1
Q64Z48	BAD47228.1
Q7V3Y9	CAE22370.1
A1T739	ABM12989.1
Q7V1M1	CAE19303.1
Q8A6L0	AAO76978.1
A7ME43	ABU77627.1
Q3BNH4	CAJ25689.1
Q9HSB8	AAG18889.1
P71011	CAD23199.1
P71011	CAB02509.1
P71011	CAB09700.1
P71011	CAB15764.1
Q5NNZ8	AAA74034.1
Q5NNZ8	AAV89562.1
P0A388	BAA00529.1
Q7VW48	CAE42692.1
Q3KMX6	AAX50296.1
C1F4B7	ACO34361.1
Q9X2F4	AAD36898.1
A5N376	EDK35572.1
Q5HG16	AAW38184.1
P54741	BAA08229.2
P54741	CAD55483.1
Q21YG7	ABD69186.1
A0R611	ABK70967.1
A0R611	AFP42644.1
Q28RK6	ABD54656.1
P9WQB9	CCP45895.1
P71348	AAC21948.1
Q7VQT0	CAD83563.1
Q89VS2	BAC46238.1
Q9F8I0	ABB13915.1
Q9F8I0	AAG23602.1
Q12RW2	ABE53814.1
D4GU73	ADE04487.1
D4GU73	ELY33654.1
Q8G1M4	AAN29618.1
Q8G1M4	AEM18035.1
Q0TSS9	ABG82585.1
O08445	CAA70140.1
O08445	CCC78013.1
Q221R3	ABD68240.1
Q1H1N8	ABE49599.1
Q9UY47	CAB50565.1
Q9UY47	CCE71129.1
B7IVH6	ACK93411.1
A5VI51	ABQ82525.1
Q52309	CAA48288.1
Q9L4U6	AAF73455.1
P59284	AAN29449.1
P59284	AEM17862.1
Q5NH94	CAG45206.1
A8GQR1	ABV75736.1
Q6GBM4	CAG42347.1
Q3J3L4	ABA78620.1
C3K0A8	CAY50985.1
P63884	AAN81856.1
O84049	AAC67636.1
Q47BG9	AAZ47812.1
Q92VC6	CAC49182.1
Q03IX8	ABJ66844.1
Q1GFQ4	ABF64512.1
A2SLS6	ABM96515.1
Q11EH0	ABG64205.1
O68109	AAC16199.1
O68109	ADE85774.1
A3DH20	ABN53249.1
Q65LN0	AAU22686.1
Q65LN0	AAU40034.1
A9M929	ABX61593.1
Q1MSD5	CAJ54090.1
A1W1D6	EAQ72526.1
A6X259	ABS15313.1
Q9F9L1	AAG17001.1
A7IFB7	ABS66710.1
Q17YA2	CAJ99374.1
Q97CT1	BAB59162.1
A8Z072	ABX28946.1
Q87GM3	BAC62635.1
B5ZA60	ACI27040.1
A1WSK3	ABM60610.1
Q5WTG8	CAH16796.1
Q04777	AAA22223.1
Q04777	CAB07786.1
Q04777	CAB15617.1
Q1RF23	ABE06041.1
A5D1P3	BAF59845.1
Q0K7F5	CAJ94066.1
B3WEJ2	CAQ66793.1
P0A4S2	CAA06682.1
P0A4S2	AAK99334.1
A0LFQ9	ABK16261.1
Q8E5T9	CAD46535.1
A2RH77	AAC12966.1
A2RH77	CAL96613.1
P54918	BAA10510.1
A8MJ41	ABW19823.1
A0PY66	ABK61063.1
Q9HY69	AAC36876.1
Q9HY69	AAG06930.1
Q9HY69	AAW77927.1
B5EYC3	ACH51150.1
A6LPC4	ABR32204.1
A0PNJ1	ABL03910.1
Q9RYP0	AAF12490.1
Q11JE6	ABG62479.1
Q2YWU2	CAI80523.1
A6QFH7	BAF67109.1
Q12XX8	ABE51698.1
Q5HHB7	AAW37939.1
Q65SA3	AAU38157.1
P77425	AAB93857.1
P77425	AAB40268.1
P77425	AAC73618.1
P77425	BAE76294.1
Q8Z116	CAD06938.1
Q8Z116	AAO71959.1
B9DZK4	BAH05679.1
B2IHZ4	ACB96040.1
Q51372	AAA91126.1
Q51372	AAG06934.1
P56109	AAD07246.1
A3D3E8	ABN61261.1
B2HD59	ACC41196.1
A8AN29	ABV14892.1
Q92PK6	CAC46317.1
B1X998	ACB04714.1
Q8ZK29	AAL23296.1
B5XZ17	ACI10659.1
Q51392	AAB09781.1
Q51392	AAG06936.1
P9WJW3	AAB06751.1
P9WJW3	CCP44074.1
C0Q502	ACN46385.1
P0A155	AAN68052.1
A8G978	ABV39668.1
C5BH95	ACR68031.1
C9RGE3	ACX72645.1
B7KPN8	ACK83624.1
B2IP79	ACB90150.1
A3PE89	ABO18064.1
A1JNW9	CAL12212.1
D2TRT2	CBG90344.1
P58363	AAG58344.1
P58363	BAB37512.1
B1JBZ0	ACA74066.1
Q4L9V7	BAE03568.1
Q2RG64	ABC20575.1
Q8Z125	CAD06927.1
Q8Z125	AAO71948.1
Q8DT95	AAN59125.1
B5F0U8	ACH50629.1
A5GDA7	ABQ24447.1
Q8ZH86	CAL19688.1
Q8ZH86	AAM86712.1
Q8ZH86	AAS63012.1
A5ESP9	ABQ39193.1
Q884U6	AAO55508.1
Q16AA4	ABG31089.1
Q8YAS5	CAC98253.1
A9IZG7	CAK02545.1
Q817C7	AAP11536.1
Q9PKW2	AAF39210.1
Q0TGT7	ABG69842.1
Q8Z542	CAD07530.1
Q8Z542	AAO68272.1
A1AJF5	ABJ03795.1
A6SUN9	ABR88454.1
A6VU51	ABR69980.1
B0K4D9	ABY91972.1
Q92YG5	AAK65573.1
Q47V03	AAZ27705.1
A4TRH3	ABP41885.1
C1KV84	CAS03842.1
Q8G999	CAD13391.1
Q49ZR6	BAE17708.1
Q5WWU5	CAH15594.1
Q725C1	AAT02840.1
B7VL95	CAV17926.1
B7JY20	ACK65984.1
B4TQH6	ACF89760.1
Q6G545	CAF26911.1
A4QDY8	BAF54448.1
Q9LBQ3	BAA92524.1
B6HZ42	BAG75586.1
Q8U2K7	AAL80951.1
Q3SUR0	ABA03981.1
B7L4I4	CAU95948.1
P54895	CAA20791.1
P54895	CAA47283.1
B1JVU7	ACA89827.1
C1C8G8	ACO17017.1
B6I1Z5	BAG79080.1
Q0SY35	ABF06030.1
A5UIB2	ABR00518.1
Q15ZX4	ABG38564.1
A8ZWU1	ABW68422.1
B1KR25	ACA84842.1
A7HPE1	ABS61774.1
Q8ZKL6	AAL22962.1
A5GSD0	CAK27789.1
Q1IKJ1	ABF42609.1
Q970U9	BAK54607.1
Q0TH83	ABG69696.1
Q08A18	ABI69897.1
B2V345	ACD53160.1
Q20YZ3	ABD89643.1
A7ZYL1	ABV05365.1
Q8YNI3	BAB76281.1
Q0TH85	ABG69694.1
