From	To
P9WKD5	UniRef50_Q9CCE3
Q6FFZ7	UniRef50_C9QZ64
B2UX78	UniRef50_A0PXA4
Q3SV33	UniRef50_B8EKI5
B1M4X4	UniRef50_B1M4X4
P9WPN3	UniRef50_P9WPN3
B7NHY6	UniRef50_A5F9G1
P61502	UniRef50_P53653
B5F728	UniRef50_Q7N8W9
B4E5N5	UniRef50_Q2S0M9
P04967	UniRef50_P09144
Q82LU9	UniRef50_Q82LU9
Q9YH64	UniRef50_Q06367
Q9KSB4	UniRef50_Q9KSB4
P08717	UniRef50_P07328
P32021	UniRef50_P32021
Q7SXA6	UniRef50_Q7SXA6
B2I0I3	UniRef50_P27505
P35571	UniRef50_Q64521
P11412	UniRef50_P11412
Q2L956	UniRef50_P62090
Q07540	UniRef50_Q07540
Q9CII4	UniRef50_Q9CII4
Q9VYY4	UniRef50_Q9VYY4
P16855	UniRef50_P16855
A6YGA4	UniRef50_Q85A82
P45153	UniRef50_Q6LUK7
O84375	UniRef50_O84375
Q70UN9	UniRef50_P48814
B1J0W5	UniRef50_Q8FKI8
Q7WHE8	UniRef50_Q7WHE8
Q88Q83	UniRef50_Q88Q83
Q9V2B0	UniRef50_Q5JE27
B2JDU4	UniRef50_Q2T0L2
P54981	UniRef50_P54981
A5PJN2	UniRef50_Q96HE7
Q9XFW3	UniRef50_Q9SN86
Q1QBB6	UniRef50_Q6FDH0
Q9HJL5	UniRef50_Q6L0C3
A9L340	UniRef50_P44427
Q03558	UniRef50_Q03558
Q3YUR5	UniRef50_Q8EAC7
N4WEA4	UniRef50_N4WEA4
Q68S07	UniRef50_P09144
Q49Y37	UniRef50_Q5HNV1
Q985W3	UniRef50_Q9A345
Q9ZN36	UniRef50_P56063
Q9KDJ5	UniRef50_Q9KDJ5
Q47K28	UniRef50_P61433
Q51698	UniRef50_Q51698
Q9PVE8	UniRef50_O42563
Q9MZS9	UniRef50_O15229
P25996	UniRef50_P25996
C3LRB7	UniRef50_P17845
A0PVY7	UniRef50_Q8NTB0
A0A142C7A2	UniRef50_A0A142C7A2
A6U3E1	UniRef50_C8WR67
Q8CNI5	UniRef50_Q2FF06
P00393	UniRef50_P00393
Q9MB94	UniRef50_Q41931
A4IYT2	UniRef50_B0U030
D2AC38	UniRef50_Q89Q06
P95607	UniRef50_P95607
Q04933	UniRef50_Q04933
C1AF78	UniRef50_Q0S6R1
C1KWT0	UniRef50_C8WR67
A0A2I7G3B0	UniRef50_A0A2I7G3B0
P74935	UniRef50_P74935
Q02972	UniRef50_Q02971
B7GGI1	UniRef50_P18579
Q48FR2	UniRef50_Q885Q1
D2PT98	UniRef50_A0QQJ4
A1W3D7	UniRef50_Q89ND7
B7L4F3	UniRef50_Q8ZRX8
O93662	UniRef50_O93662
Q126D2	UniRef50_A9BNL9
Q7TXK2	UniRef50_Q9CD87
C1FSW2	UniRef50_A7FWA9
P55480	UniRef50_P55480
Q47CW6	UniRef50_Q47CW6
D4B1Y1	UniRef50_D4B1Y1
A4TNP2	UniRef50_Q8YFY2
Q0I1Q0	UniRef50_Q6FAK7
Q4FMH0	UniRef50_Q46N53
A7HXX4	UniRef50_Q1MDH2
P42028	UniRef50_P42028
B8HSK3	UniRef50_P95463
Q9LUC6	UniRef50_Q9LUC6
P34956	UniRef50_E0TW66
Q2SMM6	UniRef50_Q086I8
Q9KNI1	UniRef50_Q9KNI1
P55979	UniRef50_P55979
A4QDY8	UniRef50_Q59279
Q8EUY2	UniRef50_Q8RG85
Q8KIL1	UniRef50_Q8KIL1
O59896	UniRef50_D0VWU3
Q68XZ3	UniRef50_Q92JQ6
P9WQC4	UniRef50_P0A4X1
Q9XHE8	UniRef50_Q9XHE6
Q6F9I9	UniRef50_Q6F9I9
Q46045	UniRef50_P69740
Q0HYB4	UniRef50_Q8EAZ9
P38787	UniRef50_P38787
Q8P272	UniRef50_P54154
Q5Z5S6	UniRef50_Q0DBF4
P41090	UniRef50_Q9S818
Q2YY44	UniRef50_Q5WH73
Q1RC02	UniRef50_Q8X9S9
Q5GUY0	UniRef50_Q9PHC7
B7KV80	UniRef50_B1ZGD8
A6WQ07	UniRef50_Q8ECR2
P23225	UniRef50_P23225
P97720	UniRef50_P15393
Q13SL2	UniRef50_Q63Z34
Q41266	UniRef50_Q41266
Q0C8L9	UniRef50_Q3S2U3
Q7VMX4	UniRef50_P70718
Q54QI4	UniRef50_Q87Z79
A1JRY4	UniRef50_Q8ZLN1
