From	To
P28861	AAA23805.1
P28861	AAB03056.1
P28861	AAC76906.1
P28861	BAE77386.1
P28861	AAA24189.1
P35340	AAB40807.1
P35340	AAC73707.2
P35340	BAA35236.1
P35340	BAA02486.1
P08692	AAA21096.1
P36655	CAA85375.1
P36655	CAA54781.1
P36655	AAA97035.1
P36655	AAC77096.1
P36655	BAE78138.1
P0A9J4	AAB40181.1
P0A9J4	AAC73528.1
P0A9J4	BAE76205.1
P0A9J4	AAA82703.1
P46852	AAA58237.1
P46852	AAC76464.1
P46852	BAE77854.1
P0ADU2	AAA69197.1
P0ADU2	AAC76065.1
P0ADU2	BAE77085.1
P08373	AAA23519.1
P08373	AAA24185.1
P08373	AAC43074.1
P08373	AAC76950.1
P08373	BAE77343.1
P14900	CAA35933.1
P14900	CAA35611.1
P14900	CAA38865.1
P14900	AAA83858.1
P14900	AAC73199.1
P14900	BAB96656.1
P09546	AAB59985.1
P09546	AAC74099.1
P09546	BAA35791.1
P09546	CAA29141.1
P17846	AAA23651.1
P17846	AAA69273.1
P17846	AAC75805.1
P17846	BAE76840.1
P17846	CAA68816.1
A0A0H2V7F2	AAN80428.1
P05050	AAA23416.1
P05050	AAA16409.1
P05050	AAC75272.1
P05050	BAA15995.1
P05050	AAA23414.1
Q46856	AAA69178.1
Q46856	AAC76047.1
Q46856	BAE77068.1
P75898	AAC74097.1
P75898	BAA35789.1
